Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
3.77,0.801,0.015,0.801,0.015,0.474,106.82604531510442,130.04909864447495,198.9508368082383,128.91168868137666,137.04104439410955,87.25280050885578,216.54734396247693,2.8084266721421685,148.0
3.78,0.801,0.014,0.801,0.014,0.479,106.4006643480233,129.53124355411532,199.08785135962407,127.58294918679223,133.13595011081563,86.81849491515312,214.7576811556084,2.793809525869091,148.0
3.79,0.801,0.014,0.801,0.014,0.478,106.461623182889,129.60545430960403,199.12296512000609,127.58238025293733,133.1265999635787,86.88228466765254,214.901279274727,2.7948305722095794,148.0
3.8,0.801,0.013,0.801,0.013,0.505,106.10658286008696,129.173231307932,199.63230704688783,126.262476896828,129.06684372213817,86.41279319312373,212.982794869629,2.776384892877517,148.0
3.81,0.801,0.013,0.801,0.013,0.509,106.19002469744156,129.27481267514625,199.75188998516347,126.27804371924368,129.0454969922166,86.47595100707123,213.12445740958415,2.7767198536904885,148.0
3.82,0.801,0.013,0.801,0.013,0.522,106.31454708628756,129.42640514852397,200.0233481074172,126.32122560304484,128.999305010463,86.5389892492764,213.2658424733901,2.775840029641401,148.0
3.83,0.801,0.013,0.801,0.013,0.527,106.40235771622986,129.53330504584503,200.15951108371004,126.33980689087626,128.97534738211644,86.6019084582433,213.40695132879108,2.776039083404231,148.0
3.84,0.81,0.013,0.81,0.013,0.524,106.65835954117075,129.8449594414253,200.91794849950065,126.47167196325854,128.8506651811406,86.80426104685105,213.5654426130287,2.771282420816847,148.0
3.85,0.818,0.013,0.818,0.013,0.517,106.87233315743477,130.10544906122496,201.52233191316392,126.57551596896324,128.75195731999705,86.99006989326648,213.72155738683952,2.76776609761035,148.0
3.86,0.818,0.012,0.818,0.012,0.505,106.29968015366032,129.40830627402127,201.3733619959246,125.0737095188741,124.72410160702586,86.4764022209132,211.64805410760025,2.7536473337641,148.0
3.87,0.818,0.013,0.818,0.013,0.503,106.93857792181018,130.18609486133414,201.39145442420056,126.53951158181198,128.76967498707123,87.11546221928309,214.00190521751185,2.7713475223186776,148.0
3.88,0.81,0.013,0.81,0.013,0.498,106.79878788072143,130.0159156808783,200.6866879863753,126.40441272793166,128.8806261416526,87.05469207310169,214.1260999530001,2.778226824589866,148.0
3.89,0.81,0.012,0.81,0.012,0.493,106.25835790163164,129.35800092372546,200.6535032841299,124.92543786391713,124.82965979792526,86.54016089841723,212.0475972094201,2.763164877468556,148.0
3.9,0.835,0.012,0.835,0.012,0.495,106.89086044128295,130.12800401547491,202.8295630751759,125.31813047520072,124.50889792616628,86.98185787159326,212.23311232429987,2.747231168046984,148.0
3.91,0.835,0.011,0.835,0.011,0.493,106.32070455199428,129.43390119373217,202.8477959993067,123.77543251371594,120.3567981170153,86.41744201477533,209.98196911507333,2.730723421047443,148.0
3.92,0.844,0.011,0.844,0.011,0.506,106.63735189548164,129.8193849162385,203.85845632842248,123.95573857265607,120.22398070302246,86.61243627769856,210.13438028022665,2.724082641058309,148.0
3.93,0.852,0.012,0.852,0.012,0.498,107.46873888738862,130.831508210734,204.43620401039192,125.59558228797827,124.27777599929392,87.42070350396521,212.67668662202112,2.7384117282965224,148.0
3.94,0.869,0.011,0.869,0.011,0.413,106.90328625661154,130.14313109500534,204.4876442677661,124.0620261897524,120.14394002444448,87.1004128129177,210.4505644691041,2.7216765916114256,148.0
3.95,0.869,0.013,0.869,0.013,0.417,108.20533920528564,131.72823903252169,204.604636296397,127.07729433353347,128.25642820491555,88.37877175258363,215.20888764218068,2.7560920734985026,148.0
3.96,0.869,0.013,0.869,0.013,0.533,108.7729093623545,132.4191940063446,206.54610050968864,127.42492981836186,127.9630174555057,88.44091574409833,215.346600148792,2.7422599714047484,148.0
3.97,0.895,0.014,0.895,0.014,0.57,110.11040288003905,134.04744698439538,209.27147627096687,129.30447842397967,131.40574791190247,89.4278372843748,217.617536039051,2.7380891680467294,148.0
3.98,0.92,0.014,0.92,0.014,0.563,110.66488692130784,134.72247103463567,211.18051592766844,129.64192615541245,131.11224346585814,89.84613329806761,217.8004873534844,2.724847153595507,148.0
3.99,0.954,0.015,0.954,0.015,0.528,111.82304543104615,136.13240313344753,213.3260508893589,131.35087615857597,134.49497917645002,90.89894202126018,219.96137187630427,2.724561326053287,148.0
4.0,0.997,0.016,0.997,0.016,0.517,113.22221241265434,137.83573685018789,216.4809143890297,133.18159185714356,137.59277401162709,92.03320831153516,222.0275543308432,2.716210206032,218.0
4.01,1.022,0.016,1.022,0.016,0.594,114.06795180854589,138.86533263649065,219.5374821240158,133.71380960865264,137.10461221640483,92.42614642967892,222.2085759007762,2.6951174938103497,218.0
4.02,1.056,0.016,1.056,0.016,0.574,114.69659033031316,139.6306317064682,221.7798718638259,134.10082073374713,136.75582303097664,92.92706669015244,222.40249630751967,2.680187801483947,218.0
4.03,1.099,0.018,1.099,0.018,0.589,116.60785270803656,141.9573859054358,225.1242539879406,137.08588053727118,143.04737020525545,94.44607441121744,226.04283247307688,2.683116621178022,218.0
4.04,1.116,0.019,1.116,0.019,0.585,117.44099959769262,142.97165168414756,226.32003557350936,138.4300836190759,146.13715226195873,95.14632871717932,227.80587700392516,2.6877925207438285,218.0
4.05,1.141,0.019,1.141,0.019,0.588,117.96502609410275,143.60959698412512,228.15947637882977,138.7415952575892,145.82372193704865,95.5159723477645,227.98577909730608,2.6761131208422486,218.0
4.06,1.175,0.021,1.175,0.021,0.63,119.67779485346674,145.69470677813342,231.12203721230887,141.42004855166232,151.6570996500252,96.78715285531636,231.16582552749816,2.6791121782284155,218.0
4.07,1.201,0.024,1.201,0.024,0.607,121.36372925615322,147.7471486596648,232.6236168648809,144.70405839807012,160.46029096149746,98.24190944684334,235.398244979446,2.700463672500515,218.0
4.08,1.218,0.025,1.218,0.025,0.643,122.24095270803905,148.81507286196057,234.2976094669729,145.94045212459136,163.0524751021131,98.8424675011358,236.8223943906372,2.6996778760334537,218.0
4.09,1.251,0.026,1.251,0.026,0.605,123.12408720954434,149.8901931246627,236.03327391726503,147.16245223324108,165.5740845317294,99.615000875853,238.2275540084835,2.6982390156505183,218.0
4.1,1.285,0.028,1.285,0.028,0.586,124.43490471817084,151.48597096125147,238.0621546037646,149.30042803603428,170.7630352338858,100.68572512953612,240.73015661359764,2.703234591451386,218.0
4.11,1.302,0.029,1.302,0.029,0.599,125.18533097969777,152.39953336658857,239.38558960593792,150.3870772879775,173.2171948179271,101.2392373853209,242.00347230576315,2.703908705494769,218.0
