File Name,File Key,Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14538_Raw02_result.csv,14538,1.36,8.914,0.1107,-0.004,158.8654586,193.4014278,432.590083,191.9488797,237.1568878,109.7529875,220.8588606,1.842809879,230.5,2,1,0.372193191,0.175482897,-0.629539727,0.183021777,-0.028471034,0.74201859,0.042727005
SCPT_14538_Raw02_result.csv,14538,1.38,9.254,0.1154,-0.0069,160.7162791,195.6546006,439.4449796,195.0992544,242.7727735,111.1779696,222.9393639,1.832754778,230.5,2,1,0.360610294,0.1639,-0.645261658,0.166742436,-0.051875055,0.729118615,0.033351039
SCPT_14538_Raw02_result.csv,14538,1.4,9.292,0.1154,-0.0069,161.0636753,196.0775178,440.7609416,195.9442672,243.6181253,111.6894684,223.7592057,1.830256726,230.5,2,1,0.358451077,0.161740782,-0.648251783,0.162420595,-0.055351077,0.724528445,0.029680363
SCPT_14538_Raw02_result.csv,14538,1.42,9.578,0.1257,-0.0079,163.9599753,199.6034482,446.5185596,200.7476004,255.8231186,113.4233282,227.1243652,1.838494794,230.5,2,1,0.340628517,0.143918223,-0.661230104,0.138202463,-0.1042354,0.709123776,0.014753131
SCPT_14538_Raw02_result.csv,14538,1.44,9.617,0.1257,-0.0079,164.3063294,200.0250967,447.8319906,201.5972801,256.6907268,113.9318445,227.9363267,1.836017997,230.5,2,1,0.338518315,0.14180802,-0.664167279,0.133978818,-0.1076211,0.704650448,0.011184541
SCPT_14538_Raw02_result.csv,14538,1.46,9.898,0.1366,-0.0073,167.1967956,203.5439251,453.4077486,206.4361579,269.3813608,115.6402862,231.2685993,1.844787833,230.5,2,1,0.321079327,0.124369033,-0.676540965,0.110259661,-0.155877211,0.68976647,-0.00332894
SCPT_14538_Raw02_result.csv,14538,1.48,10.081,0.1366,-0.0073,167.7573063,204.2262859,457.2077826,207.6221508,269.9012323,116.3851333,232.0975131,1.833539798,230.5,2,1,0.317732533,0.121022239,-0.684887092,0.104531017,-0.157805223,0.683346056,-0.006906736
SCPT_14538_Raw02_result.csv,14538,1.5,10.571,0.1348,-0.0072,168.368098,204.9698584,466.1934055,208.9223355,267.6126235,117.4919654,232.567481,1.800110744,230.5,2,1,0.31409822,0.117387926,-0.704349719,0.09828828,-0.149289638,0.673880911,-0.008929561
SCPT_14538_Raw02_result.csv,14538,1.52,10.571,0.1348,-0.0072,168.6467985,205.309146,466.8051154,209.6707599,268.5733598,117.9253886,233.3481317,1.800133497,230.5,2,1,0.312444284,0.11573399,-0.705660996,0.094712372,-0.152873235,0.670198738,-0.012280603
SCPT_14538_Raw02_result.csv,14538,1.54,10.688,0.1332,-0.0066,168.7479889,205.4323343,469.3813776,210.1612914,267.407785,118.4250351,233.7770536,1.789557366,230.5,2,1,0.31184445,0.115134156,-0.711164747,0.092375572,-0.148523915,0.665970717,-0.014117036
SCPT_14538_Raw02_result.csv,14538,1.56,10.7,0.1266,-0.0067,167.6408965,204.0845696,470.1825565,208.767512,260.6676969,118.3694754,232.9990233,1.772713226,230.5,2,1,0.318426692,0.121716398,-0.712870175,0.099029612,-0.122995542,0.666439982,-0.010783399
SCPT_14538_Raw02_result.csv,14538,1.58,10.801,0.1247,-0.0066,167.6152922,204.0533992,472.4690483,209.0663859,259.0980806,118.8010338,233.3083438,1.762161742,230.5,2,1,0.318579436,0.121869142,-0.717721376,0.097599025,-0.116955817,0.662800754,-0.01211008
SCPT_14538_Raw02_result.csv,14538,1.6,10.8,0.1213,-0.0071,167.1192763,203.4495537,473.0393736,208.612417,255.9551981,118.9423858,233.2122457,1.753520633,230.5,2,1,0.321543076,0.124832782,-0.718927765,0.099772796,-0.104751559,0.66161164,-0.011698102
SCPT_14538_Raw02_result.csv,14538,1.62,10.716,0.1215,-0.0077,167.3253981,203.7004847,472.2087048,209.1920003,257.2406384,119.2360382,233.98295,1.758876442,230.5,2,1,0.320310454,0.12360016,-0.717170197,0.09699837,-0.109761121,0.65914582,-0.014997387
SCPT_14538_Raw02_result.csv,14538,1.64,10.373,0.1217,-0.0092,167.2038169,203.5524727,466.9376949,209.1853923,259.1406569,119.1005484,234.7041218,1.779467945,230.5,2,1,0.321037334,0.12432704,-0.705944971,0.097029959,-0.117120129,0.660282782,-0.018074802
SCPT_14538_Raw02_result.csv,14538,1.66,10.145,0.1217,-0.0092,167.1574983,203.4960849,463.5453667,209.3421348,260.541042,119.1207132,235.3862781,1.793179605,230.5,2,1,0.321314391,0.124604097,-0.698653396,0.09628094,-0.122509537,0.660113487,-0.020977039
SCPT_14538_Raw02_result.csv,14538,1.68,9.806,0.121,-0.0092,166.7805584,203.0372015,458.1078568,208.9744906,261.3872324,118.8775432,235.864262,1.812322912,230.5,2,1,0.323571936,0.126861642,-0.686853789,0.098038672,-0.125752094,0.662156948,-0.023005616
SCPT_14538_Raw02_result.csv,14538,1.7,9.674,0.1275,-0.0099,168.2137367,204.7819404,456.2736203,211.519063,270.4246413,119.5548625,238.162369,1.837231147,230.5,2,1,0.315015449,0.118305155,-0.682841812,0.085935736,-0.159742607,0.656475496,-0.032701801
SCPT_14538_Raw02_result.csv,14538,1.72,9.626,0.1345,-0.0099,169.8041157,206.7180539,455.934922,214.3598124,279.7770506,120.3912391,240.5247926,1.857334253,230.5,2,1,0.30560535,0.108895056,-0.682099222,0.072594893,-0.193742176,0.649504097,-0.04257231
SCPT_14538_Raw02_result.csv,14538,1.74,9.492,0.1358,-0.0102,170.0824745,207.0569254,454.0176347,215.10371,282.5712572,120.6314944,241.5061155,1.869071852,230.5,2,1,0.303967399,0.107257105,-0.677885178,0.069130579,-0.203679894,0.647510465,-0.046643933
SCPT_14538_Raw02_result.csv,14538,1.76,8.944,0.1367,-0.0109,169.5124045,206.3629272,444.3178993,214.6158297,286.1414502,120.0493213,242.306856,1.907846246,230.5,2,1,0.307324755,0.110614461,-0.656289433,0.071401271,-0.216235407,0.652348193,-0.04995406
SCPT_14538_Raw02_result.csv,14538,1.78,8.944,0.1346,-0.0123,169.3500875,206.1653239,444.8098954,214.5874429,284.4803741,120.272379,242.5119865,1.902943228,230.5,2,1,0.308282766,0.111572472,-0.657396127,0.071533548,-0.210413405,0.650491867,-0.050800276
SCPT_14538_Raw02_result.csv,14538,1.8,8.736,0.1336,-0.0124,168.9932285,205.7308869,441.3159767,214.336008,284.7636051,120.1640434,242.920548,1.915090352,230.5,2,1,0.310392216,0.113681922,-0.649510257,0.072705948,-0.211408518,0.651393025,-0.052483564
SCPT_14538_Raw02_result.csv,14538,1.82,8.34,0.1282,-0.0127,167.377726,203.7641881,434.0355651,212.0822678,280.2409301,119.3219346,242.2143607,1.930599886,230.5,2,1,0.319997772,0.123287478,-0.632875616,0.083276607,-0.195398835,0.658425689,-0.04957226
SCPT_14538_Raw02_result.csv,14538,1.84,8.245,0.121,-0.0125,165.9692295,202.0494967,432.6082904,209.9824362,272.3463568,118.9158703,241.0463578,1.919452503,230.5,2,1,0.328448456,0.131738162,-0.629581815,0.093226972,-0.166823764,0.661834592,-0.044738409
SCPT_14538_Raw02_result.csv,14538,1.86,8.126,0.1128,-0.0117,164.2246502,199.9256611,430.6756302,207.3377426,263.0022361,118.3331263,239.4858188,1.906508254,230.5,2,1,0.339015554,0.142305259,-0.625104346,0.105901792,-0.131911672,0.666747111,-0.038243341
SCPT_14538_Raw02_result.csv,14538,1.88,8.05,0.1095,-0.0096,163.5691073,199.1276089,429.5952118,206.4938377,259.6755477,118.2332653,239.1929727,1.903095922,230.5,2,1,0.343015287,0.146304992,-0.622592535,0.109980292,-0.119182096,0.667591365,-0.037019781
SCPT_14538_Raw02_result.csv,14538,1.9,7.922,0.1066,-0.0095,162.8774083,198.2855405,427.4202292,205.6125134,256.9710225,118.0449435,238.9704662,1.904728035,230.5,2,1,0.347253041,0.150542747,-0.61751681,0.114257468,-0.108712463,0.669185433,-0.036089109
