Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
16,9.31,9.8,0.4900000000000002,3.2032500804043433,0.021967331720697644,0.07630848215414902,160.2147382314135,195.04402915128605,356.11667863752945,159.93955185786615,145.47549343368,142.39042330320802,290.88277769091997,2.158297895997575
17,9.81,10.67,0.8599999999999994,9.185711464523743,0.0267892969919241,0.029096795900526752,188.66965525701258,229.6847977041889,534.5491528291843,189.14062520421396,148.24413922471348,171.7330630039325,306.1220336606018,1.629168076133016
18,10.68,11.24,0.5600000000000005,3.4316385273114216,0.04105916784216043,0.06532344483026165,176.83612771581159,215.27876417577053,371.57665645185386,176.7626150183402,184.68096613578103,157.36089424770697,326.8326791321871,2.2917518843239573
19,11.25,11.78,0.5299999999999994,7.622922519208807,0.041374187610972654,0.013819428122295157,199.18019452588277,242.4802368141178,503.5381969189745,196.85429852750292,176.10384213858129,179.08210120940498,333.23606527103624,1.8496029538903196
20,11.79,12.28,0.4900000000000002,10.646928562775706,0.06319689291213523,0.049505576039986725,217.5520337836897,264.8459541714484,574.7202680973654,218.55556394124423,203.62707041380995,197.03855188106166,356.94115283941034,1.754710833170071
21,12.29,12.78,0.4900000000000002,5.641793400918902,0.04389297667493553,0.06816000833399043,196.4191164881787,239.11892442039132,453.3934853428906,191.34556712618453,183.275114712922,176.44576898161841,342.3337932680406,2.0500440904353976
22,12.79,14.13,1.3400000000000016,13.043853847776264,0.03915089730052137,0.05316479022122863,213.75221714335603,260.22009043539026,627.8491451475473,213.25400181192526,169.85647706103248,201.12114129779644,345.5194473303706,1.5533578581721483
23,14.14,14.72,0.5800000000000001,17.23403328131433,0.03298151583681266,0.10385695227481985,214.0512355698875,260.58411286768944,703.3927850866645,219.54083529542115,160.45311631557513,210.44646395532374,344.64416308582804,1.36545018557367
24,14.73,15.55,0.8200000000000003,10.60543535749769,0.0232203840545327,0.11198532173106723,205.9653379632844,250.74041143356348,587.3003093349666,197.23142646404048,145.4894862820341,193.1616739498514,332.10068706048133,1.6046844145511405
25,15.56,16.05,0.4900000000000002,2.1932778450617914,0.019949203801048743,0.2509854351093767,171.20823268833678,208.4274137075403,329.39153537010907,151.06854478641048,142.90654466220073,153.8469776808924,325.36033031128403,2.5254273650839756
26,16.06,16.55,0.490000000000002,8.560534508568068,0.03398148776123981,0.08753273801050127,214.10348547855205,260.6477214521506,545.1594499344615,199.3795788477087,164.3529921371976,197.33836361150978,355.00513250732166,1.8211660699855732
27,16.56,17.22,0.6600000000000001,13.001796085431026,0.05364705271513387,0.11822051962426004,233.77244330099546,284.59253967077717,641.6720058186223,225.27948799603948,191.31335967587083,219.81622225683273,381.2654406074439,1.6673812037733382
28,17.23,18.0,0.7699999999999996,7.882909647408985,0.03989714092329171,0.08186695786804069,218.69926748489112,266.24258650334605,534.5084832234014,202.51102365546637,176.66767706620473,201.91303916652646,369.4171043892808,1.9047333413224512
