Lag (m),Fitted_Semivariance
1.7,0.019645630549093376
1.72,0.019759574706958154
1.74,0.019873518864822935
1.76,0.019987463022687713
1.78,0.02010140718055249
1.8,0.020215351338417273
1.82,0.02032929549628205
1.84,0.020443239654146832
1.86,0.02055718381201161
1.8800000000000001,0.02067112796987639
1.9000000000000001,0.02078507212774117
1.92,0.020899016285605948
1.94,0.021012960443470726
1.96,0.021126904601335504
1.98,0.021240848759200286
2.0,0.021354792917065064
2.02,0.021433937142042076
2.04,0.021513081367019092
2.06,0.021592225591996105
2.08,0.021671369816973117
2.1,0.02175051404195013
2.12,0.021829658266927145
2.14,0.021908802491904158
2.16,0.02198794671688117
2.18,0.022067090941858186
2.2,0.0221462351668352
2.22,0.02222537939181221
2.24,0.022304523616789227
2.2600000000000002,0.02238366784176624
2.2800000000000002,0.022462812066743252
2.3000000000000003,0.022541956291720268
2.32,0.022621100516697277
2.34,0.022700244741674293
2.36,0.022779388966651305
2.38,0.022858533191628318
2.4,0.02293767741660533
2.42,0.023016821641582346
2.44,0.02309596586655936
2.46,0.02317511009153637
2.48,0.023254254316513387
2.5,0.0233333985414904
2.52,0.023388371156713425
2.54,0.02344334377193645
2.56,0.023498316387159473
2.58,0.0235532890023825
2.6,0.023608261617605524
2.62,0.02366323423282855
2.64,0.023718206848051572
2.66,0.023773179463274598
2.68,0.023828152078497623
2.7,0.02388312469372065
2.72,0.023938097308943675
2.74,0.023993069924166697
2.7600000000000002,0.024048042539389722
2.7800000000000002,0.024103015154612748
2.8000000000000003,0.024157987769835774
2.82,0.024212960385058796
2.84,0.02426793300028182
2.86,0.024322905615504847
2.88,0.02437787823072787
2.9,0.024432850845950895
2.92,0.02448782346117392
2.94,0.024542796076396946
2.96,0.02459776869161997
2.98,0.024652741306842994
3.0,0.02470771392206602
3.02,0.024745897231402064
3.04,0.024784080540738107
3.06,0.02482226385007415
3.08,0.024860447159410194
3.1,0.024898630468746238
3.12,0.02493681377808228
3.14,0.024974997087418325
3.16,0.02501318039675437
3.18,0.025051363706090412
3.2,0.025089547015426455
3.22,0.025127730324762503
3.24,0.025165913634098546
3.2600000000000002,0.02520409694343459
3.2800000000000002,0.025242280252770633
3.3000000000000003,0.025280463562106677
3.3200000000000003,0.02531864687144272
3.34,0.025356830180778764
3.36,0.025395013490114807
3.38,0.02543319679945085
3.4,0.025471380108786894
3.42,0.025509563418122938
3.44,0.02554774672745898
3.46,0.025585930036795025
3.48,0.02562411334613107
3.5,0.025662296655467112
3.52,0.025688818317315235
3.54,0.02571533997916336
3.56,0.02574186164101148
3.58,0.0257683833028596
3.6,0.025794904964707724
3.62,0.025821426626555847
3.64,0.02584794828840397
3.66,0.025874469950252093
3.68,0.025900991612100216
3.7,0.025927513273948335
3.72,0.02595403493579646
3.74,0.02598055659764458
3.7600000000000002,0.026007078259492705
3.7800000000000002,0.026033599921340828
3.8000000000000003,0.02606012158318895
3.8200000000000003,0.026086643245037074
3.84,0.026113164906885193
3.86,0.026139686568733316
3.88,0.02616620823058144
3.9,0.026192729892429562
3.92,0.026219251554277685
3.94,0.026245773216125805
3.96,0.026272294877973928
3.98,0.02629881653982205
4.0,0.026325338201670174
4.0200000000000005,0.026343759825133862
4.04,0.02636218144859755
4.0600000000000005,0.02638060307206124
4.08,0.02639902469552493
4.1,0.026417446318988617
4.12,0.026435867942452305
4.14,0.026454289565915994
4.16,0.026472711189379685
4.18,0.026491132812843373
4.2,0.02650955443630706
4.22,0.02652797605977075
4.24,0.026546397683234437
4.26,0.02656481930669813
