Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.79,1.3899,0.0638,0.0136,105.23007484215998,128.1061780687165,201.72164367255175,121.93316588478866,183.4915783488765,68.98392527120701,176.74379509045878,2.8221647368261875,569
0.8,1.355,0.0638,0.0136,104.87583172293256,127.67492557574398,200.024301881757,121.9748907768532,184.5361925272059,68.97253912919429,177.27380281720727,2.837969943117369,569
0.81,1.3279,0.0638,0.0096,104.61308537779868,127.35506045992882,198.6882761638672,122.0748829804733,185.4966370529252,69.01008907949422,177.80524879760304,2.8509215995078496,569
0.82,1.3279,0.0638,0.0096,104.77517006158496,127.55238094453824,198.9297772455806,122.45660651034112,186.0819170479912,69.24589035084387,178.35807320640217,2.851005010253694,569
0.83,1.3182,0.0638,0.0048,104.7694812012859,127.5454553754785,198.5572359502584,122.7231367499758,186.80662531666133,69.40631025736616,178.8961781810945,2.856079375228957,569
0.84,1.3176,0.0638,0.0006,104.9054305924038,127.7109589820568,198.70987043841396,123.08216546813036,187.40129685184584,69.6332101973182,179.43844687007962,2.85684089443877,569
0.85,1.319,0.0635,0.0006,105.03838573105683,127.8728174117214,199.02353255926167,123.36069006920091,187.49303206183305,69.84603449703737,179.8676826453031,2.854898352684481,569
0.86,1.3205,0.0629,-0.0022,105.11586498412112,127.9671399806692,199.3083443380358,123.52191134730266,187.1205882865513,70.02977426279654,180.17972165741685,2.851787432877987,569
0.87,1.328,0.0629,-0.0022,105.38673439012618,128.29689404015363,199.96889503592465,123.96417925490144,187.5732634910813,70.31252619917045,180.71507236669285,2.848356546084071,569
0.88,1.3434,0.0626,-0.0024,105.73035254782982,128.71521179735805,201.0769508913889,124.37671968173709,187.45054935405196,70.62545277262743,181.1412057782419,2.839918102968681,569
0.89,1.355,0.0616,-0.0034,105.89766820743311,128.91890042644033,201.95308720344931,124.4849196060359,186.2841881787346,70.84067692428417,181.2914282567781,2.830098449039441,569
0.9,1.355,0.0617,-0.0034,106.06330327486768,129.12054311723023,202.1766025746321,124.87493470388756,186.9739828107049,71.07063041402832,181.8429768660286,2.830648986958189,569
0.91,1.3783,0.0616,-0.0049,106.54427434372111,129.7060731140953,203.70409723375835,125.4264840896488,187.04313283077997,71.45490235250831,182.3366049208553,2.8198142527068355,569
0.92,1.3705,0.0607,-0.0051,106.42692172487912,129.56320905637455,203.48041859694672,125.3550942735606,186.25092574732025,71.52635306553601,182.484301891284,2.819188495632332,569
0.93,1.4054,0.0607,-0.007,107.0877634384771,130.3677120120591,205.64464237444292,126.0530663470922,186.3200471873836,72.00189667140197,183.01816255545583,2.8038250862733274,569
0.94,1.4248,0.0602,-0.0101,107.42432802554583,130.77744281370798,206.9100715824339,126.39397069114251,185.79931073619315,72.30934667060725,183.3354399818072,2.7932790337508075,569
0.95,1.4248,0.0597,-0.0101,107.48383466544792,130.84988567967574,207.1269501216109,126.54022649500652,185.50531762527484,72.47219534895667,183.62773168452756,2.7909571830015394,569
0.96,1.4287,0.0597,-0.0104,107.68200108550911,131.09113175627198,207.5553718658043,126.9143867989932,185.9538528947241,72.71208627519215,184.11857464682964,2.789362940912241,569
0.97,1.4267,0.0581,-0.0127,107.51270549124877,130.88503277195505,207.6314846572127,126.59519999354168,183.89747224327385,72.74294631400461,183.9492252735777,2.782713430313773,569
0.98,1.4306,0.057,-0.0145,107.5103088262407,130.8821150928148,208.0396202416315,126.51955822658714,182.5424538400083,72.86364765872474,183.9731814300712,2.775781400054858,569
0.99,1.4345,0.0551,-0.0151,107.36061034061834,130.69987345814403,208.4592713039391,126.10672404013286,179.83605733576937,72.89283968902147,183.6389291388191,2.764552819989771,569
1.0,1.4442,0.0541,-0.0158,107.4484158458007,130.80676711662693,209.19803364279815,126.10476643119776,178.5143211942922,73.05661286290865,183.67778866751533,2.755298847430283,569
