Depth,qc,fs_corrected,u
5.469997,1.83,0.0031,-0.0053
5.479997,1.579,0.0032,-0.0013
5.489997,1.4554,0.0032,-0.0001
5.499997,1.3241,0.0032,0.0014
5.509997,1.1966,0.0032,0.0022
5.519997,1.0846,0.0032,0.0034
5.529997,0.9996,0.0028,0.0056
5.539998,0.9185,0.0027,0.0078
5.549998,0.8944,0.0027,0.01
5.559998,0.8833,0.0026,0.0128
5.569998,0.8816,0.0027,0.0128
5.579998,1.014,0.0028,0.024
5.589999,1.1464,0.0038,0.0269
5.599999,1.4786,0.0061,0.0285
5.609999,1.6833,0.0082,0.0256
5.619999,1.8107,0.0109,0.0242
5.63,1.8107,0.0126,0.0236
5.64,1.9227,0.0135,0.0252
5.65,2.0425,0.0137,0.0269
5.66,2.0425,0.0138,0.0269
5.670001,2.0157,0.0136,0.0301
5.680001,2.0268,0.0134,0.0331
5.690001,2.038,0.012,0.0341
5.700001,2.0618,0.0116,0.0325
5.710001,2.2202,0.0116,0.0242
5.720002,2.3438,0.0116,0.0168
5.730002,2.4905,0.0115,0.014
5.740002,2.7648,0.0121,-0.0187
5.750002,2.7648,0.0126,-0.0187
5.760003,3.3403,0.0136,-0.0384
5.770003,3.433,0.0136,-0.0501
5.780003,3.3789,0.0182,-0.0504
5.790003,3.2746,0.02,-0.05
5.800004,3.1935,0.0202,-0.0496
5.810004,3.1394,0.0202,-0.0486
5.820004,3.1394,0.0201,-0.0486
5.830004,3.1544,0.02,-0.0464
5.840004,3.1694,0.02,-0.0442
5.850005,3.2051,0.0193,-0.0209
5.860005,3.3673,0.0192,-0.0378
5.870005,3.433,0.0192,-0.0505
5.880005,3.433,0.0192,-0.0505
5.890006,3.4098,0.0192,-0.0631
5.900006,3.3828,0.0192,-0.0676
5.910006,3.2939,0.0189,-0.0696
5.920006,3.2051,0.0185,-0.0689
5.930007,3.0738,0.0181,-0.0681
5.940007,2.9927,0.0184,-0.0663
5.950007,2.9927,0.0147,-0.0663
5.960007,2.9536,0.011,-0.0509
5.970007,2.9412,0.0101,-0.043
5.980008,2.9554,0.0099,-0.043
5.990008,2.9695,0.0105,-0.0314
6.000008,3.0622,0.011,-0.0352
6.010008,3.1472,0.0121,-0.0366
6.020009,3.2051,0.0153,-0.0308
6.030009,3.263,0.0188,-0.0452
6.040009,3.2669,0.0218,-0.0521
6.050009,3.3287,0.0218,-0.0524
6.060009,3.3287,0.0251,-0.0525
6.07001,3.4253,0.0265,-0.0524
6.08001,3.348,0.0269,-0.0523
6.09001,3.348,0.0243,-0.0523
6.10001,3.2988,0.0217,-0.0426
6.110011,3.2887,0.0197,-0.0424
6.120011,3.2989,0.0191,-0.0454
6.130011,3.3091,0.0185,-0.0573
6.140011,3.3326,0.019,-0.0651
6.150012,3.4407,0.0185,-0.0663
6.160012,3.4407,0.018,-0.0663
6.170012,3.684,0.0165,-0.0684
6.180012,3.7072,0.0139,-0.0683
6.190012,3.572,0.0131,-0.0681
6.200013,3.3326,0.0128,-0.0677
6.210013,2.9849,0.0124,-0.0663
6.220013,2.6257,0.0124,-0.0623
6.230013,2.2549,0.0109,-0.0569
6.240014,1.9691,0.01,-0.0513
6.250014,1.776,0.01,-0.0386
6.260014,1.776,0.0088,-0.0386
6.270014,1.5906,0.0088,-0.0302
6.280015,1.5017,0.008,-0.029
6.290015,1.3975,0.0079,-0.0284
6.300015,1.2854,0.0079,-0.0284
6.310015,1.2043,0.0079,-0.0258
6.320015,1.2007,0.0079,-0.0229
6.330016,1.2003,0.0079,-0.0229
6.340016,1.2255,0.0075,-0.0155
6.350016,1.2507,0.0065,-0.0141
6.360016,1.2507,0.0062,-0.0141
6.370017,1.5635,0.0058,-0.0156
6.380017,1.5635,0.0058,-0.0162
6.390017,1.5326,0.0058,-0.016
