Depth,qc,fs_corrected,u
3.17,0.767,0.015,0.117
3.18,0.767,0.016,0.118
3.19,0.767,0.016,0.119
3.2,0.767,0.016,0.119
3.21,0.767,0.016,0.12
3.22,0.775,0.016,0.12
3.23,0.775,0.016,0.121
3.24,0.775,0.016,0.122
3.25,0.775,0.016,0.123
3.26,0.775,0.016,0.124
3.27,0.784,0.016,0.124
3.28,0.784,0.016,0.125
3.29,0.792,0.017,0.126
3.3,0.792,0.018,0.127
3.31,0.801,0.018,0.128
3.32,0.801,0.018,0.129
3.33,0.809,0.018,0.129
3.34,0.809,0.018,0.13
3.35,0.809,0.018,0.131
3.36,0.801,0.018,0.132
3.37,0.801,0.018,0.133
3.38,0.801,0.019,0.134
3.39,0.801,0.019,0.134
3.4,0.801,0.019,0.135
3.41,0.801,0.019,0.136
3.42,0.801,0.019,0.137
3.43,0.809,0.019,0.138
3.44,0.809,0.019,0.139
3.45,0.801,0.019,0.139
3.46,0.809,0.019,0.14
3.47,0.809,0.0188,0.142
3.48,0.809,0.0186,0.143
3.49,0.818,0.0184,0.144
3.5,0.826,0.0182,0.144
3.51,0.826,0.018,0.145
3.52,0.826,0.019,0.146
3.53,0.835,0.019,0.147
3.54,0.835,0.02,0.149
3.55,0.843,0.02,0.149
3.56,0.843,0.019,0.15
3.57,0.843,0.019,0.151
3.58,0.843,0.02,0.153
3.59,0.843,0.02,0.154
3.6,0.835,0.02,0.154
3.61,0.826,0.02,0.155
3.62,0.826,0.02,0.156
3.63,0.826,0.019,0.157
3.64,0.818,0.019,0.158
3.65,0.815,0.02,0.168
3.66,0.811,0.019,0.178
3.67,0.808,0.019,0.188
3.68,0.804,0.019,0.198
3.69,0.801,0.018,0.208
3.7,0.801,0.018,0.209
3.71,0.792,0.018,0.21
3.72,0.792,0.018,0.211
3.73,0.792,0.018,0.212
3.74,0.801,0.018,0.213
3.75,0.801,0.018,0.215
3.76,0.801,0.017,0.215
3.77,0.801,0.017,0.216
3.78,0.801,0.017,0.216
3.79,0.801,0.017,0.217
3.8,0.801,0.018,0.219
3.81,0.809,0.018,0.22
3.82,0.809,0.019,0.22
3.83,0.809,0.019,0.221
3.84,0.818,0.019,0.222
3.85,0.826,0.02,0.224
3.86,0.835,0.02,0.225
3.87,0.843,0.021,0.225
3.88,0.843,0.021,0.226
3.89,0.843,0.021,0.228
3.9,0.852,0.021,0.229
3.91,0.852,0.021,0.23
3.92,0.86,0.022,0.231
3.93,0.869,0.022,0.233
3.94,0.877,0.021,0.235
3.95,0.886,0.022,0.236
3.96,0.894,0.022,0.236
3.97,0.894,0.022,0.238
3.98,0.894,0.022,0.24
3.99,0.894,0.022,0.241
4.0,0.894,0.022,0.243
4.01,0.894,0.023,0.244
4.02,0.894,0.023,0.245
4.03,0.894,0.022,0.246
4.04,0.894,0.023,0.248
4.05,0.903,0.023,0.251
4.06,0.92,0.023,0.252
4.07,0.928,0.023,0.255
4.08,0.953,0.024,0.256
4.09,0.962,0.024,0.259
4.1,0.979,0.025,0.261
4.11,0.987,0.024,0.264
4.12,1.004,0.024,0.265
4.13,1.004,0.024,0.268
4.14,1.004,0.024,0.27
4.15,1.004,0.023,0.275
4.16,1.021,0.023,0.275
4.17,1.021,0.023,0.278
4.18,1.03,0.022,0.28
4.19,1.03,0.022,0.283
4.2,1.038,0.023,0.285
4.21,1.047,0.022,0.289
4.22,1.047,0.023,0.291
4.23,1.047,0.022,0.293
4.24,1.055,0.022,0.296
4.25,1.055,0.022,0.302
4.26,1.055,0.022,0.304
4.27,1.055,0.023,0.307
4.28,1.047,0.022,0.31
4.29,1.047,0.023,0.312
4.3,1.03,0.022,0.316
4.31,1.021,0.021,0.318
4.32,1.013,0.021,0.319
4.33,1.004,0.021,0.321
4.34,0.996,0.021,0.32
4.35,0.996,0.021,0.321
4.36,0.996,0.021,0.317
4.37,0.996,0.021,0.322
4.38,0.996,0.02,0.326
