Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
4.52,4.0873,0.0295,0.0265,143.67405055529844,174.90753980645027,362.094518769458,159.91913323977113,152.58468950956674,122.74064280898465,250.55972960697235,1.9626274194858837,141.0
4.54,4.0536,0.0266,0.0313,142.18658066079325,173.09670689140046,361.18046612238095,157.12432838697663,145.8809781584369,121.69524637911113,247.47282815956987,1.9457234831199048,141.0
4.56,4.2876,0.0216,0.0364,140.59307953435132,171.15679247660162,369.21319010730616,152.72053162576216,132.6835454826892,120.7281551949756,241.23217569423545,1.8742938676457053,141.0
4.58,4.876,0.0181,0.0169,140.5693894710987,171.12795239959843,387.65973347256687,150.768670629877,122.58076285509158,121.3408184535543,236.2373745664037,1.7729877116337762,141.0
4.6,5.678,0.0169,-0.0306,142.4563837915406,173.4251628766581,410.4715667267735,151.40581912373125,118.05781774915366,123.47619347964653,234.66256005107232,1.685992653176266,141.0
4.62,6.2097,0.0168,-0.0588,143.8770750716849,175.1547000872686,424.6535725499465,152.7068430194214,117.15480795882686,125.16737137784231,234.89463869895872,1.6398757583324914,141.0
4.64,6.3459,0.0174,-0.067,144.72578481850744,176.18791195296558,428.2957310615012,153.82073815347698,118.43468603904032,126.07658406762388,236.26460072537455,1.6344136696642677,141.0
4.66,6.1485,0.0191,-0.0672,145.88378555198088,177.59765197632456,423.3115155278141,154.87222002176546,122.236306389698,126.63030090669666,239.34955368309116,1.6706160488149884,141.0
4.68,5.8327,0.021,-0.0656,146.16768666695907,177.94327072499365,415.0251077359585,156.54500079982182,127.49465088371558,126.8164523310253,242.48668695517767,1.7119571555379909,141.0
4.7,5.4827,0.0229,-0.0628,146.40351279635917,178.23036340426333,405.4869652352302,157.80857912147152,132.7652492666457,126.74842695194074,245.38481573757537,1.7606183512896685,141.0
4.72,5.2132,0.0246,-0.0582,146.62930436636654,178.50524009818537,397.94016082887737,158.9855495493777,137.5195878314816,126.73143257966656,247.85359210279472,1.8013836271432784,141.0
4.74,5.0301,0.0249,-0.0526,146.26885039453697,178.06642656726245,392.75113020490346,158.92141977306005,138.86217210752227,126.35597433255418,248.4444262420122,1.823281209678136,141.0
4.76,4.9276,0.0243,-0.0449,145.67323794141515,177.3413331460706,389.921389532812,158.13621168889543,137.85018762310713,125.87439056397577,247.88407805787185,1.8299019011674589,141.0
4.78,4.9371,0.0234,-0.0356,145.32181020559,176.91350807637045,390.4898927114767,157.3092362710643,135.7298565600935,125.6619085454921,246.9362035658708,1.821868494080902,141.0
4.8,5.0944,0.023,-0.0256,145.80558786815752,177.50245479601784,395.4988863874906,157.35782107990286,134.31389439651866,126.19661195209036,246.7009919079484,1.802106734724905,141.0
4.82,5.4116,0.0232,-0.0145,147.16972578043385,179.16314442835426,405.0499836579112,158.40233967093778,133.86646644858223,127.53791166540306,247.3493105738497,1.77183059191812,141.0
4.84,5.7799,0.0237,-0.002,148.78792265363987,181.13312323051807,415.6927927772508,159.83396014863834,134.02329203812013,129.12950107151167,248.41689392467583,1.7410688461172283,141.0
4.86,6.1012,0.025,0.0052,150.64822916294665,183.39784419836985,424.627726441982,161.89832409827,136.0887861465723,130.86741508879678,250.50881096412257,1.722736475822964,141.0
4.88,6.4285,0.0264,0.0124,152.50401898436797,185.65706658966536,433.4401609051519,164.00011169501016,138.29356963349767,132.60486227334374,252.6495286051095,1.7056597963815174,141.0
4.9,6.6963,0.0277,0.019,154.07830836218844,187.57359278875117,440.493275826955,165.8244506292461,140.37858653051035,134.0720901595064,254.57333494266865,1.6935293694314253,141.0
4.92,6.9576,0.0292,0.0254,155.69940361843598,189.5471000572264,447.2203821612645,167.76630631871942,142.8322600247534,135.5579710845564,256.661599880396,1.6837273190109427,141.0
