Depth,Qc,Fs,u
2.4,1.827,0.0711,0.0008
2.41,1.758,0.0553,0.0025
2.42,1.63,0.0456,0.005
2.43,1.647,0.0394,0.0058
2.44,1.69,0.0372,0.0083
2.45,1.767,0.0332,0.01
2.46,1.853,0.0315,0.0117
2.47,1.887,0.0298,0.0134
2.48,1.938,0.031,0.015
2.49,2.015,0.0293,0.0167
2.5,2.058,0.0282,0.0184
2.51,2.101,0.0283,0.02
2.52,2.127,0.0311,0.0217
2.53,2.135,0.0301,0.0225
2.54,2.144,0.0325,0.0234
2.55,2.152,0.0337,0.0242
2.56,2.152,0.036,0.025
2.57,2.101,0.0378,0.025
2.58,2.101,0.0435,0.0259
2.59,2.058,0.0481,0.0259
2.6,1.955,0.0475,0.025
2.61,1.904,0.047,0.025
2.62,1.767,0.0464,0.0217
2.63,1.596,0.0464,0.0225
2.64,1.518,0.0458,0.02
2.65,1.381,0.0457,0.0184
2.66,1.313,0.0457,0.0184
2.67,1.185,0.0457,0.02
2.68,1.099,0.0451,0.0217
2.69,1.09,0.0456,0.0225
2.7,1.099,0.0439,0.0234
2.71,1.107,0.0393,0.0242
2.72,1.15,0.0376,0.025
2.73,1.176,0.0303,0.0259
2.74,1.227,0.0252,0.0267
2.75,1.279,0.0229,0.0275
2.76,1.313,0.0235,0.0275
2.77,1.364,0.0218,0.0284
2.78,1.399,0.0218,0.0284
2.79,1.424,0.0219,0.0292
2.8,1.484,0.023,0.0301
2.81,1.501,0.0219,0.0301
2.82,1.518,0.0236,0.0309
2.83,1.536,0.0247,0.0317
2.84,1.544,0.0247,0.0317
2.85,1.518,0.0248,0.0326
2.86,1.501,0.0254,0.0326
2.87,1.476,0.0254,0.0326
2.88,1.467,0.0249,0.0342
2.89,1.424,0.0249,0.0351
2.9,1.467,0.026,0.0351
2.91,1.458,0.026,0.0359
2.92,1.433,0.0244,0.0367
2.93,1.416,0.0249,0.0367
2.94,1.33,0.0227,0.0392
2.95,1.313,0.0227,0.0401
2.96,1.262,0.0216,0.0409
2.97,1.236,0.0216,0.0401
2.98,1.219,0.0193,0.0401
2.99,1.185,0.0193,0.0426
3,1.15,0.0194,0.0451
3.01,1.133,0.0188,0.0459
3.02,1.116,0.0177,0.0501
3.03,1.125,0.0239,0.0534
3.04,1.107,0.0212,0.0559
3.05,1.082,0.0212,0.0609
3.06,1.09,0.0201,0.0643
3.07,1.082,0.0218,0.0651
3.08,1.056,0.0179,0.0668
3.09,1.022,0.0174,0.0668
3.1,0.988,0.0168,0.0685
3.11,0.979,0.0151,0.0693
3.12,0.97,0.0152,0.1745
3.13,0.91,0.0146,0.1478
3.14,0.868,0.0141,0.1427
3.15,0.808,0.0141,0.1503
3.16,0.756,0.0141,0.1653
3.17,0.731,0.013,0.1645
3.18,0.696,0.0136,0.1636
3.19,0.688,0.0119,0.1494
3.2,0.653,0.0119,0.1402
3.21,0.619,0.0125,0.1402
3.22,0.602,0.0113,0.1369
3.23,0.576,0.0102,0.1344
3.24,0.542,0.0102,0.1336
3.25,0.534,0.0096,0.1336
3.26,0.508,0.0091,0.1336
3.27,0.491,0.0091,0.1344
3.28,0.482,0.009,0.1344
3.29,0.465,0.009,0.1344
3.3,0.457,0.009,0.1352
3.31,0.465,0.009,0.1386
3.32,0.465,0.0084,0.1402
3.33,0.465,0.0084,0.1411
3.34,0.474,0.0083,0.1436
3.35,0.482,0.0083,0.1461
3.36,0.482,0.0088,0.1469
3.37,0.499,0.0092,0.1536
3.38,0.508,0.0091,0.1603
3.39,0.516,0.009,0.1628
3.4,0.534,0.01,0.1678
3.41,0.559,0.0087,0.1703
3.42,0.585,0.0087,0.1711
3.43,0.688,0.0087,0.1703
3.44,0.79,0.011,0.1736
3.45,0.851,0.0116,0.1544
3.46,0.996,0.0128,0.1369
3.47,1.159,0.0133,0.1548
3.48,1.321,0.0145,0.1728
3.49,1.527,0.0139,0.1528
3.5,1.673,0.0151,0.1277
3.51,1.655,0.0156,0.0693
3.52,1.638,0.0167,0.0509
3.53,1.655,0.0173,0.0476
3.54,1.638,0.0178,0.0451
3.55,1.561,0.0189,0.0459
3.56,1.536,0.0205,0.0501
3.57,1.484,0.0227,0.0526
3.58,1.476,0.025,0.0493
3.59,1.458,0.0255,0.0334
3.6,1.467,0.026,0.0334
3.61,1.536,0.0271,0.0334
3.62,1.553,0.0277,0.0342
3.63,1.587,0.0288,0.0376
3.64,1.69,0.0311,0.0417
3.65,1.733,0.0328,0.0451
3.66,1.775,0.0345,0.0509
3.67,1.835,0.0362,0.0576
3.68,1.853,0.035,0.0609
3.69,1.921,0.0362,0.0659
3.7,1.99,0.0384,0.0718
3.71,1.981,0.0389,0.076
3.72,1.947,0.0395,0.0835
3.73,1.93,0.0389,0.0868
3.74,1.921,0.04,0.096
3.75,1.904,0.04,0.106
3.76,1.93,0.0399,0.1194
3.77,1.964,0.0405,0.1261
3.78,1.964,0.041,0.1386
3.79,1.981,0.0416,0.1469
3.8,1.998,0.0422,0.167
3.81,2.032,0.0417,0.1878
3.82,2.075,0.0417,0.1978
3.83,2.092,0.0417,0.2187
3.84,2.135,0.0422,0.2421
3.85,2.195,0.0428,0.2538
3.86,2.204,0.0422,0.273
3.87,2.221,0.0445,0.283
3.88,2.212,0.0473,0.3039
3.89,2.169,0.0485,0.3281
3.9,2.144,0.0519,0.3414
3.91,2.135,0.0525,0.3656
3.92,2.144,0.0536,0.3873
3.93,2.144,0.0542,0.4057
3.94,2.152,0.0553,0.4107
3.95,2.152,0.0576,0.4182
3.96,2.11,0.0576,0.4149
3.97,2.084,0.0576,0.4157
3.98,2.05,0.0594,0.4274
3.99,1.998,0.0605,0.4449
4,1.99,0.0605,0.4508
4.01,1.981,0.06,0.4591
4.02,1.981,0.0617,0.4641
4.03,1.972,0.0538,0.4775
4.04,1.955,0.0527,0.4783
4.05,1.947,0.0522,0.4683
4.06,1.921,0.0522,0.4466
4.07,1.887,0.0522,0.4316
4.08,1.835,0.0556,0.4333
4.09,1.818,0.0573,0.4266
4.1,1.793,0.0579,0.4116
4.11,1.741,0.0579,0.4015
4.12,1.724,0.0585,0.4533
4.13,1.724,0.0585,0.4299
4.14,1.69,0.0579,0.4024
4.15,1.664,0.0574,0.3723
4.16,1.647,0.0574,0.364
4.17,1.621,0.0568,0.3448
4.18,1.579,0.0562,0.3439
4.19,1.544,0.0557,0.3531
4.2,1.536,0.0545,0.3706
4.21,1.518,0.0534,0.3857
4.22,1.518,0.0545,0.3898
4.23,1.527,0.0545,0.4015
4.24,1.527,0.054,0.4082
4.25,1.536,0.0546,0.4149
4.26,1.536,0.0574,0.4132
4.27,1.536,0.0574,0.4074
4.28,1.544,0.0574,0.3965
4.29,1.561,0.0586,0.3732
4.3,1.561,0.0597,0.3573
4.31,1.561,0.0603,0.3414
4.32,1.553,0.0603,0.3364
4.33,1.518,0.0603,0.3306
4.34,1.518,0.0608,0.3222
4.35,1.493,0.0608,0.3222
4.36,1.484,0.0603,0.3264
4.37,1.467,0.0597,0.3314
4.38,1.458,0.0574,0.3414
4.39,1.441,0.0563,0.3448
4.4,1.433,0.0568,0.3531
4.41,1.424,0.0556,0.364
4.42,1.424,0.0539,0.369
4.43,1.416,0.0521,0.3807
4.44,1.416,0.0515,0.3974
4.45,1.441,0.0509,0.4049
4.46,1.458,0.052,0.4207
4.47,1.484,0.0524,0.4408
4.48,1.51,0.0537,0.45
4.49,1.553,0.055,0.46
4.5,1.596,0.0593,0.465
4.51,1.63,0.0609,0.4616
4.52,1.724,0.0652,0.4074
4.53,1.818,0.0712,0.3581
4.54,1.904,0.0739,0.3573
4.55,1.964,0.0815,0.3289
4.56,2.178,0.0886,0.3239
4.57,2.328,0.1021,0.2413
4.58,2.478,0.1088,0.1586
4.59,2.692,0.1258,0.1244
4.6,2.786,0.1353,0.0751
4.61,3.06,0.151,0.0367
4.62,3.351,0.1684,0.0275
4.63,3.54,0.1751,0.0042
4.64,3.925,0.1891,-0.0125
4.65,4.182,0.2009,-0.0184
4.66,4.336,0.2042,-0.0234
4.67,4.388,0.216,-0.025
4.68,4.379,0.2289,-0.0267
4.69,4.431,0.2351,-0.0275
4.7,4.585,0.2439,-0.0284
4.71,4.713,0.2544,-0.0284
4.72,4.807,0.2577,-0.0292
4.73,4.987,0.262,-0.0301
4.74,5.081,0.2636,-0.0301
4.75,5.141,0.2647,-0.0301
4.76,5.244,0.2653,-0.0292
4.77,5.287,0.266,-0.0284
4.78,5.355,0.2677,-0.0292
4.79,5.561,0.2672,-0.0284
4.8,5.869,0.2651,-0.0275
4.81,6.066,0.2618,-0.0284
4.82,6.366,0.2619,-0.0284
4.83,6.495,0.2639,-0.0284
4.84,6.495,0.2695,-0.0284
4.85,6.435,0.2714,-0.0275
4.86,6.298,0.2723,-0.0267
4.87,6.221,0.2704,-0.0259
4.88,6.118,0.2706,-0.025
4.89,5.955,0.268,-0.025
4.9,5.861,0.2664,-0.0259
4.91,5.732,0.2677,-0.0259
4.92,5.313,0.2667,-0.0259
4.93,4.67,0.2646,-0.0259
4.94,4.388,0.2636,-0.0259
4.95,3.865,0.2632,-0.0259
4.96,3.403,0.2577,-0.0259
4.97,3.223,0.2532,-0.025
4.98,2.94,0.2374,-0.025
4.99,2.777,0.2278,-0.0259
5,2.486,0.2029,-0.0267
5.01,2.366,0.1798,-0.0267
5.02,2.178,0.1592,-0.0267
5.03,2.015,0.1385,-0.0267
5.04,1.75,0.1301,-0.0242
5.05,1.63,0.1289,-0.0225
5.06,1.604,0.1244,-0.0192
5.07,1.596,0.1177,-0.0159
5.08,1.587,0.1132,-0.0142
5.09,1.596,0.103,-0.0109
5.1,1.63,0.0996,-0.0083
5.11,1.655,0.0956,0.0075
5.12,1.681,0.0905,0.0234
5.13,1.681,0.0866,0.0234
5.14,1.673,0.0844,0.0242
5.15,1.647,0.0821,0.025
5.16,1.63,0.0827,0.0259
5.17,1.63,0.0821,0.0259
5.18,1.655,0.0833,0.0267
5.19,1.664,0.0839,0.0284
5.2,1.69,0.0833,0.0292
5.21,1.707,0.0822,0.0301
5.22,1.681,0.0788,0.0309
5.23,1.673,0.0777,0.0309
5.24,1.664,0.0765,0.0309
5.25,1.63,0.0748,0.0309
5.26,1.613,0.0725,0.0309
5.27,1.596,0.0714,0.0301
5.28,1.561,0.0702,0.0301
5.29,1.544,0.0685,0.0309
5.3,1.536,0.0652,0.0309
5.31,1.553,0.0647,0.0317
5.32,1.561,0.0647,0.0309
5.33,1.613,0.067,0.0317
5.34,1.638,0.0654,0.0309
5.35,1.655,0.0625,0.0309
5.36,1.664,0.0597,0.0301
5.37,1.69,0.0603,0.0301
5.38,1.681,0.0592,0.0301
5.39,1.613,0.0592,0.0301
5.4,1.536,0.0592,0.0284
5.41,1.51,0.0581,0.0284
5.42,1.441,0.0575,0.0301
5.43,1.39,0.0564,0.0309
5.44,1.399,0.0559,0.0317
5.45,1.407,0.057,0.0317
5.46,1.407,0.0587,0.0317
5.47,1.407,0.0587,0.0317
5.48,1.381,0.0571,0.0326
5.49,1.373,0.0548,0.0334
5.5,1.347,0.0532,0.0342
5.51,1.321,0.0515,0.0342
5.52,1.321,0.0509,0.0342
5.53,1.296,0.0504,0.0342
5.54,1.262,0.0504,0.0342
5.55,1.253,0.0504,0.0342
5.56,1.202,0.0504,0.0351
5.57,1.15,0.0499,0.0359
5.58,1.133,0.0488,0.0367
5.59,1.133,0.0494,0.0376
5.6,1.116,0.0488,0.0392
5.61,1.107,0.0477,0.0426
5.62,1.082,0.0471,0.0467
5.63,1.047,0.0466,0.0493
5.64,1.03,0.0466,0.0534
5.65,1.005,0.0461,0.0576
5.66,0.979,0.0438,0.0601
5.67,0.962,0.0427,0.0643
5.68,0.927,0.0427,0.0659
5.69,0.902,0.041,0.0701
5.7,0.893,0.0404,0.0735
5.71,0.868,0.0382,0.076
5.72,0.842,0.0365,0.0826
5.73,0.833,0.0359,0.086
5.74,0.816,0.0348,0.091
5.75,0.799,0.0337,0.0935
5.76,0.79,0.032,0.1002
5.77,0.765,0.0309,0.1085
