File Name,Depth,qc,fs,Measure Vs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
SCPT_61758_Raw01_result.csv,11.98,2.978,0.0182,159.0,2.978,0.0182,0.2427,168.64530277198511,205.30732511372105,357.54721200073413,156.18467097235694,134.5520787662266,147.72700717777306,300.4177945690346,2.3191659672240674
SCPT_61758_Raw01_result.csv,12.0,4.4547,0.0185,174.0,4.4547,0.0185,0.1184,177.64622426090267,216.2649686654468,413.49726538916855,165.92448861286664,134.21420337091482,156.83223131826807,302.082934847601,2.0820331442193103
SCPT_61758_Raw01_result.csv,12.02,4.7846,0.019,174.0,4.7846,0.019,0.0965,179.58010234112257,218.61925502397528,424.5749232381,168.2002942534113,135.22479521039955,158.87866629056282,303.4201449996816,2.0446003024169257
SCPT_61758_Raw01_result.csv,12.04,4.622,0.0218,174.0,4.622,0.0218,0.0734,180.9241294581608,220.25546194906528,418.7870733405894,169.89064490223225,141.47373500728196,159.9776772439209,308.9422764496508,2.093633888107445
SCPT_61758_Raw01_result.csv,12.06,4.4672,0.0223,174.0,4.4672,0.0223,0.0612,180.56388928777253,219.81690869815787,413.29685729124407,169.45725184954,142.68647601817915,159.56835772946584,309.90638094390283,2.120472093768925
SCPT_61758_Raw01_result.csv,12.08,4.6647,0.022,174.0,4.6647,0.022,0.073,181.4008597468108,220.83582925698707,420.3833406079912,170.32810157609677,141.8853305125493,160.45901750636608,309.59000685821263,2.090481801041208
SCPT_61758_Raw01_result.csv,12.1,5.0397,0.0219,174.0,5.0397,0.0219,0.0919,183.09575167637615,222.89917595384927,433.2349147957144,172.28335241527935,141.43005532644426,162.26889998400588,309.7133913223977,2.040939508071137
SCPT_61758_Raw01_result.csv,12.12,5.7354,0.0259,174.0,5.7354,0.0259,0.1032,188.6351570819412,229.64279992584147,455.22959855452376,179.13602867117416,149.13760662415896,167.71372551628133,316.97737097397595,1.993525008286538
SCPT_61758_Raw01_result.csv,12.14,7.033,0.0395,174.0,7.033,0.0395,0.1097,200.902189860328,244.57657896039933,492.0078217044887,194.5665961092599,172.47544236845647,178.95194612852825,335.50078924286333,1.9559177500324072
SCPT_61758_Raw01_result.csv,12.16,8.8881,0.0517,174.0,8.8881,0.0517,0.1069,211.593949362802,257.59263400688934,537.8147645403756,208.53588480306632,189.5629726144832,189.35534044084991,348.1953015469149,1.871506274510477
SCPT_61758_Raw01_result.csv,12.18,11.2598,0.0596,174.0,11.2598,0.0596,0.1009,219.30526290495587,266.9803200582072,588.478190825124,219.75722137114852,198.3321778969449,198.3323812155029,355.4609196162821,1.7574826099240533
SCPT_61758_Raw01_result.csv,12.2,13.4288,0.0676,174.0,13.4288,0.0676,0.0989,225.38212606684743,274.3782404292056,629.3837996380329,229.2019830535968,206.94546115829772,205.659506496752,361.9506312338376,1.6780295058312698
SCPT_61758_Raw01_result.csv,12.22,15.3322,0.0806,174.0,15.3322,0.0806,0.0967,232.5119226786009,283.05799282612287,662.068903327703,239.53550628412984,221.4511748615052,212.8023752923249,370.8393396480013,1.6393960273742236
SCPT_61758_Raw01_result.csv,12.24,17.0901,0.1002,174.0,17.0901,0.1002,0.1045,241.29585977685815,293.75148146747955,690.1884116286164,251.46513782330143,242.61322603485783,220.1954298777035,381.9474087485257,1.6287109577676109
SCPT_61758_Raw01_result.csv,12.26,18.2314,0.1198,174.0,18.2314,0.1198,0.1032,248.82189716520264,302.9136139402467,707.5075947813002,261.1954597800517,262.8810655771282,225.6774533800237,391.27067436097707,1.6377565219139096
