File Name,Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT_156438.csv,17.0,17.5,17.25,354.0,19.22919042599384,0.1832710339377001,285.6684889889276,347.7703344213026,746.3863738460718,287.3192885365984,323.21246483917787,259.0199031536107,450.95707680477597,1.778913128902125
SDMT_156438.csv,17.5,18.0,17.75,359.0,19.785002293241373,0.20196397275546107,292.7440736348454,356.38408964242086,756.7271636713426,293.83257190229074,338.58467138414994,264.28170053440994,460.09852987231284,1.7977785023132449
SDMT_156438.csv,18.0,18.5,18.25,345.0,19.659853605409285,0.175786567062004,288.26471696907856,350.9309597884436,757.0043191359131,287.17430747491954,315.5833258328297,263.039768454024,455.0366211614374,1.7657403283572701
SDMT_156438.csv,18.5,19.0,18.75,387.0,22.040861630126766,0.2202572084828115,302.9877758364519,368.8546836269857,792.927274812962,303.98713195269346,351.33862435871265,274.5140096794143,472.19058683081,1.7682359396393006
SDMT_156438.csv,19.0,19.5,19.25,420.0,23.450300000000002,0.28139999999999993,317.77179018038044,386.8526141326372,813.0220077104344,320.40819518715864,397.3730533123384,283.7308726825652,489.3680895909915,1.810356506981021
SDMT_92546.csv,0.0,1.0,0.5,522.0,2.5756876934304893,0.010284865802133461,90.59356816169677,110.28782210989165,238.65667423803754,82.8064247307386,67.39078694659901,53.72086529067147,118.08898404793644,2.011020575156371
SDMT_92546.csv,1.0,1.5,1.25,142.0,6.664247337017523,0.020808036628537488,122.1597337848095,148.7161976510722,383.48328364612837,134.62865086710076,107.52595530376894,89.22513293649342,173.12356933158662,1.587382801405038
SDMT_92546.csv,1.5,2.0,1.75,179.0,6.374403654448673,0.02271448761570642,128.19700089144695,156.06591412871805,389.9694940527908,148.11403795561745,121.47110339843928,98.1824756064896,190.82188288281375,1.6288525174790114
SDMT_92546.csv,2.0,2.5,2.25,187.0,1.7243471329967328,0.004509403122143722,100.28616360015018,122.08750351322625,242.68135316252767,110.66415256093768,82.20688152167338,76.30824082298614,163.29622389591475,2.117891112303456
SDMT_92546.csv,2.5,3.0,2.75,153.0,0.7943868359150916,0.012613430121005667,97.10735357801902,118.21764783411015,184.44304320450618,117.47084805190984,124.51565368095544,78.62109885376543,195.3112719550735,2.777199085110394
