File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology
SCPT_124801_Raw01_result_layers_stats.csv,124801,4,4.68,5.67,5.175,195.6,5,0.99,1.867306419,0.074435528,0.094266414,149.679742,182.2188164,273.3037064,182.8820404,262.9449327,122.887966,290.6337804,2.700612829,5,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,5,5.68,6.67,6.175,235.1,6,0.99,3.079164152,0.013742289,0.0017983,146.9819756,178.934579,334.7373236,150.8688182,123.2717171,120.580187,244.9247636,2.007251801,6,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,6,6.68,7.89,7.285,191.2,7.5,1.21,2.921057017,0.018614134,0.011168517,157.9719095,192.313629,333.0226963,160.4280312,147.6414346,128.489189,265.5524664,2.176143091,7.5,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,7,7.9,9.73,8.815,225.3,9,1.83,3.226396569,0.089941611,0.619173399,190.5485505,231.9721484,359.9287137,201.4931571,264.3943119,156.6043496,342.2002137,2.474410447,9,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,8,9.74,10.73,10.235,246.8,10,0.99,2.660974869,0.088978794,0.61380868,190.4828115,231.8921184,339.9371282,195.766348,264.8014692,158.6977776,354.5037218,2.646491567,10,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,9,10.74,11.73,11.235,277.7,11,0.99,6.300870121,0.167005472,0.162969323,234.6849709,285.7034428,467.2339701,241.0337113,330.0236593,194.2842472,396.4505376,2.330767331,11,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,10,11.74,12.92,12.33,258.7,12.5,1.18,10.01793198,0.044515978,,217.6878422,265.0112862,562.3102445,213.0673759,182.2633638,190.9842419,342.9600784,1.727080128,12.5,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,11,12.93,14.68,13.805,277.4,14,1.75,9.224061151,0.030418959,0.01015874,213.0183868,259.3267318,550.9777168,201.8767549,160.0061305,188.6756507,335.6322279,1.722546287,14,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,12,14.69,15.68,15.185,235.8,15,0.99,4.975252208,0.068450958,0.037250444,221.5179491,269.674025,439.9852821,202.1788224,220.3844238,189.6300634,380.3589239,2.333182821,15,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,13,15.69,16.87,16.28,257.5,16.5,1.18,3.068593754,0.036349306,0.976673098,200.4239326,243.9943527,378.0658291,172.5763937,170.90622,171.1083921,355.2644051,2.474750443,16.5,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,14,16.88,17.87,17.375,268.2,17.5,0.99,2.52566317,0.100625357,0.923308909,213.7141936,260.1738009,353.3289076,193.9027085,264.2123251,184.3601421,411.6945431,2.897308352,17.5,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,15,17.88,19,18.44,233.4,18.5,1.12,3.219723469,0.027677672,1.208288178,203.4802987,247.7151462,393.9052991,167.7484562,152.1961,174.382577,354.0093823,2.39704083,18.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,1,0.03,1.14,0.585,105.4,1,1.11,0.933394685,0.017352715,0.039452069,82.13181491,99.98655728,166.2643131,82.84167968,94.76019036,51.50037643,132.5581577,2.706456065,1,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,2,1.15,3.15,2.15,112.7,2,2,0.841640191,0.025773001,0.025379482,99.79086911,121.4845363,183.5731211,122.7704058,154.678834,77.77881623,199.6499364,2.895903701,2,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,3,3.16,4.42,3.79,148.3,4,1.26,1.434988414,0.008229134,0.02745965,111.097478,135.2491037,238.5280936,125.0641346,106.2173208,90.2963993,201.1841519,2.327550972,4,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,4,4.43,5.62,5.025,182.6,5,1.19,2.178279373,0.005687691,,124.836705,151.9751192,287.3266817,129.2558092,95.10867913,100.645321,206.6943969,2.027723891,5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,5,5.63,6.85,6.24,172.9,6,1.22,2.327708102,0.015700911,0.010661539,142.3554648,173.3023049,301.1455798,147.0759692,129.1961748,117.4309538,249.3150905,2.183446169,6,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,6,6.86,8.47,7.665,167.1,7.5,1.61,1.07158336,0.021872505,0.271332577,136.209931,165.8207855,233.7967751,140.5297607,155.4459371,114.293639,272.6121126,2.745292884,7.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,7,8.48,9.68,9.08,282.7,9,1.2,4.746574338,0.021356801,0.004020146,178.2439097,216.9925858,410.3079698,172.4439108,141.6790004,148.1925966,286.8923658,1.919645551,9,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,8,9.69,10.82,10.255,231,10.5,1.13,6.767421711,0.035094974,0.0004,201.8619325,245.7449614,475.2311143,196.5931892,173.3016456,168.1248823,316.4439711,1.863762006,10.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,9,10.83,11.82,11.325,228.6,11.5,0.99,5.229054396,0.248765977,0.54656383,243.4069206,296.3214686,440.7075241,250.4919633,395.7292831,195.9317376,417.7965685,2.54221345,11.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,10,11.83,12.82,12.325,255.8,12.5,0.99,4.137801265,0.298187198,0.558074256,241.9331336,294.5272931,406.9226723,250.1595262,438.5177392,196.8887367,436.2609718,2.782162881,12.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,11,12.83,13.83,13.33,250.5,13.5,1,2.537728091,0.080604849,0.413851557,200.3380091,243.8897502,341.7755512,187.3399348,238.9654048,168.2518253,374.0548906,2.735230396,13.5,6,4
SCPT_124802_Raw01_result_layers_stats.csv,124802,12,13.84,17,15.42,289.4,15.5,3.16,10.47026232,0.033650366,0.0176,227.3912153,276.8240882,584.7071322,211.1436218,166.8964019,199.7588566,349.9511003,1.68839939,15.5,6,4
SCPT_125043_Raw01_result_layers_stats.csv,125043,1,3.85,4.84,4.345,119,4.5,0.99,2.1495316,0.006355913,0.001587401,115.5970671,140.7268643,281.8121584,121.1933962,94.87896074,97.37170207,202.1157703,2.030548521,4.5,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,2,4.85,6.14,5.495,123,5.5,1.29,3.890236345,0.018502826,0.002013648,145.1262933,176.6754875,361.6743453,157.1316053,142.8217668,123.5520239,247.2495327,1.936281774,5.5,8,1
