Depth,qc,fs_corrected,u
13.150069,5.8923,0.0101,0.033
13.160069,5.9465,0.0101,0.0332
13.170069,5.9233,0.0101,0.0332
13.180069,5.9252,0.0101,0.0336
13.19007,5.9272,0.0106,0.0336
13.20007,5.9465,0.0108,0.0338
13.21007,5.9581,0.0111,0.0339
13.22007,5.9581,0.0111,0.0341
13.230071,5.993,0.0111,0.0341
13.240071,6.0278,0.0111,0.0343
13.250071,6.0587,0.0111,0.0345
13.260071,6.0665,0.0111,0.0345
13.270072,6.0317,0.0109,0.0345
13.280072,5.9891,0.0108,0.0345
13.290072,5.9001,0.0108,0.0345
13.300072,5.7646,0.0106,0.0346
13.310072,5.5789,0.0104,0.0347
13.320073,5.4048,0.0102,0.0349
13.330073,4.7856,0.0099,0.0347
13.340073,4.507,0.0098,0.0345
13.350073,4.1974,0.0097,0.0345
13.360074,3.9111,0.0096,0.0345
13.370074,3.6634,0.0088,0.0345
13.380074,3.3848,0.009,0.0345
13.390074,3.1991,0.0079,0.0345
13.400074,3.0249,0.0068,0.0346
13.410075,2.9011,0.0065,0.0347
13.420075,2.8005,0.0065,0.0349
13.430075,2.7463,0.0064,0.0351
13.440075,2.6844,0.0064,0.0351
13.450076,2.6186,0.0064,0.0315
13.460076,2.5412,0.0062,0.0201
13.470076,2.487,0.0062,0.0158
13.480076,2.2858,0.0062,0.0147
13.490077,2.1929,0.0062,0.0171
13.500077,2.1581,0.0065,0.0196
13.510077,2.1587,0.0073,0.036
13.520077,2.1594,0.0075,0.0049
13.530077,2.162,0.0082,0.0029
13.540078,2.2123,0.0091,0.0028
13.550078,2.2703,0.0094,0.0027
13.560078,2.3129,0.0097,0.0027
13.570078,2.3516,0.0097,0.0025
13.580079,2.3864,0.0097,0.0023
13.590079,2.4096,0.0103,0.0021
13.600079,2.4483,0.0105,0.0019
13.610079,2.4599,0.011,0.0019
13.62008,2.4599,0.0114,0.0004
13.63008,2.4638,0.0114,-0.0002
13.64008,2.487,0.0114,-0.0011
13.65008,2.5064,0.0112,-0.0021
13.66008,2.5141,0.011,-0.0046
13.670081,2.5219,0.0095,-0.0057
13.680081,2.5103,0.009,-0.0055
13.690081,2.4677,0.0087,-0.0072
13.700081,2.4019,0.0085,-0.0076
13.710082,2.3477,0.0086,-0.0074
13.720082,2.2665,0.0086,-0.0085
13.730082,2.0962,0.0087,-0.0101
13.740082,1.984,0.0106,-0.0151
13.750082,1.9622,0.0106,-0.0159
13.760083,1.9699,0.0127,-0.016
13.770083,1.9776,0.0127,-0.0159
13.780083,1.9995,0.0127,-0.0157
13.790083,2.0536,0.0127,-0.0152
13.800084,2.1272,0.0126,-0.015
13.810084,2.131,0.0125,-0.0144
