Depth,qc,fs_corrected,u
4.699997,6.7036,0.013,0.0077
4.709997,6.3221,0.013,0.0101
4.719997,6.2193,0.013,0.0101
4.729997,6.1165,0.013,0.0075
4.739997,6.1126,0.0132,0.0062
4.749997,6.1126,0.0139,0.0058
4.759997,5.968,0.0144,0.0055
4.769997,5.9075,0.0156,0.0055
4.779997,5.9477,0.0152,0.0055
4.789997,5.9879,0.0163,0.0056
4.799997,6.074,0.0164,0.0056
4.809997,6.2014,0.0163,0.0057
4.819997,6.3559,0.0163,0.0059
4.829997,6.3907,0.0163,0.006
4.839997,6.4061,0.0162,0.0061
4.849997,6.4061,0.0162,0.0061
4.859997,6.2671,0.0162,0.0063
4.869997,6.2053,0.0162,0.0063
4.879997,6.128,0.0163,0.0067
4.889997,6.0122,0.0166,0.0073
4.899997,5.8306,0.0167,0.0069
4.909997,5.7688,0.0167,0.0071
4.919997,5.7418,0.0167,0.0071
4.929997,5.7379,0.0167,0.0072
4.939997,5.736,0.0167,0.0073
4.949997,5.7341,0.0167,0.0073
4.959997,5.765,0.0166,0.0075
4.969997,5.653,0.0163,0.0069
4.979997,5.5912,0.0162,0.0069
4.989997,5.4135,0.0142,0.0069
4.999997,5.2706,0.0136,0.0069
5.009997,5.1083,0.0133,0.0071
5.019997,4.9114,0.013,0.0071
5.029997,4.7684,0.013,0.0073
5.039997,4.5521,0.0118,0.0075
5.049997,4.5521,0.0115,0.0075
5.059997,4.3629,0.0115,0.0079
5.069997,4.2895,0.0113,0.0081
5.079997,4.2045,0.0114,0.0081
5.089997,4.1157,0.0114,0.0082
5.099997,4.0655,0.0115,0.0083
5.109997,3.9959,0.0115,0.0085
5.119997,3.9535,0.0121,0.0085
5.129997,3.8453,0.0132,0.0087
5.139997,3.8105,0.0132,0.0086
5.149997,3.8105,0.0132,0.0087
5.159997,3.7883,0.0132,0.0087
5.169997,3.7996,0.0132,0.0091
5.179997,3.8108,0.0122,0.0091
5.189997,3.8337,0.0108,0.0093
5.199997,3.9148,0.0097,0.0092
5.209997,3.9148,0.0097,0.0094
5.219997,4.0191,0.0079,0.0095
5.229997,4.0191,0.0072,0.0095
5.239997,3.9882,0.0072,0.0093
5.249997,3.8221,0.006,0.0087
5.259997,3.8221,0.0048,0.0087
5.269997,2.9917,0.0038,0.0083
5.279997,2.5243,0.0035,0.0082
5.289997,2.3273,0.003,0.0082
5.299997,2.2153,0.0024,0.0083
5.309997,2.0454,0.0024,0.0083
5.319997,1.8909,0.0019,0.0085
5.329997,1.8909,0.0014,0.0085
5.339997,1.6939,0.0013,0.0097
5.349997,1.6012,0.0013,0.0107
5.359997,1.6012,0.0012,0.0107
5.369997,1.493,0.0012,0.0127
5.379997,1.4621,0.0012,0.0133
5.389997,1.4506,0.0014,0.0139
5.399997,1.439,0.0021,0.0137
5.409997,1.4467,0.0021,0.0138
5.419997,1.4312,0.0029,0.0139
5.429997,1.4312,0.003,0.0139
5.439997,1.354,0.0041,0.0155
5.449997,1.269,0.0052,0.0157
5.459997,1.2072,0.0054,0.0166
5.469997,1.184,0.0053,0.0166
5.479997,1.1763,0.0051,0.0167
5.489997,1.1725,0.0048,0.0168
5.499997,1.1609,0.0042,0.0176
5.509997,1.0682,0.0041,0.0176
5.519997,0.9214,0.0036,0.0178
5.529997,0.9214,0.0031,0.018
5.539998,0.6201,0.003,0.0186
5.549998,0.5274,0.0026,0.02
5.559998,0.4656,0.0021,0.0232
5.569998,0.3884,0.002,0.0258
5.579998,0.3266,0.0018,0.0288
5.589999,0.3266,0.0018,0.0288
5.599999,0.2879,0.0007,0.0314
5.609999,0.2879,0.0004,0.0314
5.619999,0.2841,0.0002,0.0352
5.63,0.2879,0.0002,0.037
5.64,0.2764,0.0002,0.0378
5.65,0.2648,0.0002,0.0394
5.66,0.257,0.0003,0.041
5.670001,0.2532,0.0003,0.0419
5.680001,0.257,0.0003,0.0429
5.690001,0.2513,0.0005,0.0435
5.700001,0.2529,0.0006,0.0453
5.710001,0.2546,0.0006,0.0453
5.720002,0.2609,0.0008,0.0461
5.730002,0.266,0.0009,0.0547
5.740002,0.2711,0.0009,0.0547
5.750002,0.2879,0.001,0.0579
5.760003,0.2879,0.001,0.0579
5.770003,0.2995,0.001,0.0597
5.780003,0.3343,0.0009,0.0609
5.790003,0.3497,0.0009,0.0619
5.800004,0.3652,0.0009,0.0629
5.810004,0.3768,0.0009,0.0637
5.820004,0.3691,0.0009,0.0649
5.830004,0.3691,0.0009,0.0649
5.840004,0.3613,0.0009,0.067
5.850005,0.3497,0.0008,0.0682
5.860005,0.3497,0.0008,0.0682
5.870005,0.3491,0.0008,0.0708
5.880005,0.3492,0.0009,0.0714
5.890006,0.3493,0.0009,0.072
5.900006,0.3517,0.0009,0.073
5.910006,0.3575,0.0008,0.0744
5.920006,0.3497,0.0006,0.0752
5.930007,0.3497,0.0003,0.0752
5.940007,0.3372,0.0003,0.0766
5.950007,0.3246,0.0002,0.0776
5.960007,0.3266,0.0001,0.0792
5.970007,0.3188,0.0001,0.0804
5.980008,0.315,0.0,0.0816
5.990008,0.3169,0.0001,0.083
6.000008,0.3188,0.0001,0.0838
6.010008,0.3382,0.0001,0.0661
6.020009,0.3884,0.0001,0.0661
6.030009,0.3884,0.0012,0.0661
6.040009,0.3862,0.0012,0.0661
6.050009,0.3854,0.0012,0.0736
6.060009,0.3927,0.0013,0.0736
6.07001,0.4,0.0013,0.076
6.08001,0.4927,0.0014,0.0814
6.09001,0.5467,0.0014,0.0826
6.10001,0.5467,0.0021,0.0826
6.110011,0.6008,0.0028,0.083
6.120011,0.6626,0.0028,0.0834
6.130011,0.6626,0.0034,0.0834
6.140011,0.6858,0.0036,0.084
6.150012,0.7592,0.0037,0.0865
6.160012,0.8403,0.0038,0.089
6.170012,0.8403,0.0037,0.089
6.180012,1.0334,0.0039,0.0999
6.190012,1.0566,0.004,0.0967
6.200013,1.0489,0.0052,0.0955
6.210013,1.0489,0.0066,0.0955
6.220013,0.9755,0.0083,0.0893
6.230013,0.9523,0.0132,0.0914
6.240014,0.9523,0.0171,0.0935
6.250014,0.9265,0.0213,0.0987
6.260014,0.9162,0.0213,0.1053
6.270014,1.2513,0.0319,0.121
6.280015,1.5864,0.0373,0.121
6.290015,2.2617,0.0373,0.1621
6.300015,3.2312,0.0477,0.1521
6.310015,3.2312,0.0544,0.1521
6.320015,5.0659,0.0635,0.0248
6.330016,5.4753,0.0764,-0.0033
6.340016,5.9311,0.0887,-0.012
6.350016,6.5182,0.0953,-0.0188
6.360016,7.0937,0.1008,-0.0322
6.370017,7.6074,0.1043,-0.0499
6.380017,7.6074,0.1089,-0.0499
6.390017,8.0245,0.1089,-0.079
6.400017,7.7928,0.1132,-0.0836
6.410017,7.7928,0.1153,-0.0836
6.420018,6.8465,0.1163,-0.0889
6.430018,6.2207,0.1158,-0.0889
6.440018,5.6221,0.1154,-0.0889
6.450018,5.0002,0.1105,-0.0889
6.460019,4.5019,0.1045,-0.0863
6.470019,4.0462,0.0959,-0.0863
6.480019,3.7526,0.0851,-0.0861
6.490019,3.5479,0.0851,-0.0859
6.50002,3.3895,0.0675,-0.0857
6.51002,3.3895,0.0617,-0.0857
6.52002,3.3026,0.0617,-0.0845
6.53002,3.2592,0.0515,-0.0832
6.54002,3.2521,0.0476,-0.0832
6.550021,3.2493,0.0473,-0.0826
6.560021,3.2466,0.0471,-0.0816
6.570021,3.2543,0.047,-0.082
6.580021,3.2273,0.0437,-0.083
6.590022,3.1925,0.0437,-0.0832
6.600022,3.1539,0.0321,-0.0836
6.610022,3.1539,0.0272,-0.0841
6.620022,3.0689,0.0272,-0.0841
6.630023,3.0458,0.0224,-0.0843
6.640023,3.0458,0.023,-0.0845
6.650023,3.0405,0.0217,-0.0843
6.660023,3.0437,0.0211,-0.0847
6.670023,3.0469,0.021,-0.0847
6.680024,3.0535,0.0226,-0.0847
6.690024,3.1192,0.0243,-0.0846
6.700024,3.181,0.0243,-0.0845
6.710024,3.181,0.0296,-0.0845
6.720025,3.2968,0.0296,-0.0839
6.730025,3.3239,0.0295,-0.0841
6.740025,3.3239,0.0293,-0.0836
6.750025,3.2737,0.0293,-0.0832
6.760026,3.2157,0.0233,-0.0631
6.770026,3.1327,0.0202,-0.0429
6.780026,3.0912,0.0202,-0.0774
6.790026,3.0878,0.0174,-0.0774
6.800026,3.0931,0.0116,-0.0832
6.810027,3.0984,0.0089,-0.0841
6.820027,3.1271,0.0089,-0.0841
6.830027,3.1848,0.0068,-0.0865
6.840027,3.2814,0.0053,-0.0875
6.850028,3.517,0.0044,-0.0874
6.860028,3.6445,0.0044,-0.0874
6.870028,3.6445,0.0038,-0.0873
6.880028,3.8762,0.0038,-0.0869
6.890028,3.9496,0.0038,-0.0871
6.900029,3.9496,0.0038,-0.0868
6.910029,4.023,0.0041,-0.0865
6.920029,4.0346,0.0047,-0.0853
6.930029,4.0346,0.0058,-0.0845
6.94003,4.0346,0.0066,-0.0845
6.95003,3.9496,0.0079,-0.0824
6.96003,3.9187,0.0079,-0.081
6.97003,3.8917,0.0096,-0.0806
6.980031,3.8917,0.0101,-0.0806
6.990031,3.8624,0.0101,-0.0792
7.000031,3.8617,0.0101,-0.079
7.010031,3.8651,0.01,-0.079
7.020031,3.8685,0.0098,-0.0782
7.030032,3.9187,0.0091,-0.0784
7.040032,3.9612,0.0085,-0.0778
7.050032,4.0307,0.0079,-0.0774
7.060032,4.0848,0.0079,-0.0774
7.070033,4.1311,0.0064,-0.0778
7.080033,4.1311,0.0061,-0.0778
7.090033,4.1543,0.0059,-0.0783
7.100033,4.1698,0.0058,-0.0784
7.110034,4.1234,0.0055,-0.0785
7.120034,4.0925,0.0055,-0.0784
7.130034,4.0539,0.0055,-0.0783
7.140034,4.0538,0.0055,-0.0778
7.150034,4.0538,0.0059,-0.0772
7.160035,4.0539,0.0059,-0.0768
7.170035,4.0732,0.0076,-0.0762
7.180035,4.0732,0.0086,-0.0762
7.190035,4.108,0.0105,-0.076
7.200036,4.1118,0.0122,-0.0754
7.210036,4.05,0.0138,-0.0752
7.220036,3.9882,0.0154,-0.0752
7.230036,3.9303,0.0154,-0.0746
7.240036,3.8839,0.0187,-0.074
7.250037,3.8839,0.0185,-0.074
7.260037,3.8337,0.0183,-0.0736
7.270037,3.8105,0.0176,-0.073
7.280037,3.8105,0.016,-0.073
7.290038,3.7835,0.0139,-0.073
7.300038,3.7603,0.0126,-0.074
7.310038,3.7574,0.0114,-0.0752
7.320038,3.759,0.009,-0.0752
7.330039,3.7606,0.009,-0.0768
7.340039,3.7642,0.0065,-0.077
7.350039,3.7642,0.0061,-0.077
7.360039,3.7652,0.0052,-0.0802
7.370039,3.7661,0.0046,-0.081
7.38004,3.7681,0.0041,-0.081
7.39004,3.7912,0.004,-0.081
7.40004,3.7951,0.004,-0.0809
7.41004,3.8183,0.0038,-0.0806
7.420041,3.8105,0.0038,-0.0794
7.430041,3.7912,0.0038,-0.0786
7.440041,3.7681,0.0038,-0.078
7.450041,3.7681,0.0041,-0.078
7.460042,3.6715,0.0046,-0.0764
7.470042,3.6367,0.0053,-0.076
7.480042,3.6058,0.0066,-0.0756
7.490042,3.5711,0.0077,-0.0752
7.500042,3.5131,0.0077,-0.0752
7.510043,3.4784,0.01,-0.0746
7.520043,3.4784,0.0117,-0.0746
7.530043,3.3779,0.0132,-0.0744
7.540043,3.3586,0.0144,-0.074
7.550044,3.3586,0.0167,-0.074
7.560044,3.32,0.018,-0.0738
7.570044,3.3046,0.018,-0.0734
7.580044,3.3161,0.0189,-0.0732
7.590044,3.293,0.019,-0.0732
7.600045,3.2659,0.019,-0.0734
7.610045,3.266,0.0185,-0.0738
7.620045,3.266,0.018,-0.0738
7.630045,3.2664,0.0161,-0.0746
7.640046,3.2698,0.014,-0.0756
7.650046,3.2775,0.0139,-0.0764
7.660046,3.2852,0.014,-0.0768
7.670046,3.2852,0.0141,-0.078
7.680047,3.2862,0.0148,-0.0786
7.690047,3.2872,0.0156,-0.0786
7.700047,3.2891,0.0156,-0.0798
7.710047,3.3007,0.0167,-0.08
7.720047,3.3007,0.0171,-0.08
7.730048,3.3046,0.0174,-0.0795
7.740048,3.3084,0.0173,-0.0789
7.750048,3.3316,0.0172,-0.0775
7.760048,3.3664,0.016,-0.074
7.770049,3.3332,0.016,-0.0658
7.780049,3.3324,0.0157,-0.0678
7.790049,3.3938,0.0159,-0.069
7.800049,3.4552,0.0147,-0.073
7.81005,3.5363,0.0147,-0.075
7.82005,3.5363,0.0145,-0.075
7.83005,3.6599,0.0141,-0.0794
7.84005,3.7063,0.014,-0.0804
7.85005,3.7603,0.015,-0.0806
7.860051,3.8221,0.016,-0.0814
7.870051,3.8646,0.018,-0.0824
7.880051,3.9689,0.022,-0.0826
7.890051,3.9689,0.0218,-0.0826
7.900052,3.9689,0.0288,-0.0825
7.910052,3.938,0.0312,-0.0824
7.920052,3.8221,0.0321,-0.0818
7.930052,3.8221,0.0329,-0.0818
7.940053,3.6483,0.0328,-0.0814
7.950053,3.011,0.0414,-0.0806
7.960053,3.011,0.0414,-0.0806
7.970053,2.6943,0.0828,-0.08
7.980053,2.393,0.117,-0.0798
7.990054,2.3675,0.117,-0.0762
