File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14526_Raw03_result.csv,14526,0.56,3.678,0.0169,245.5,3.678,0.0169,-0.0037,2,3,102.8429527,125.2001163,282.5167906,99.68689758,83.90998898,64.59170958,137.2973404,1.893796554,0.870093854,0.673383559,-0.140441037,0.901262697,1.073552283,1.335210879,0.581148005
SCPT_14526_Raw03_result.csv,14526,0.58,3.678,0.0177,245.5,3.678,0.0177,-0.004,2,3,103.764042,126.3214424,283.4982052,101.1922688,86.11206827,65.47577908,139.3570965,1.903313296,0.861177453,0.664467159,-0.143908845,0.886274589,1.04764738,1.321616658,0.566257269
SCPT_14526_Raw03_result.csv,14526,0.6,4.071,0.0162,245.5,4.071,0.0162,-0.0036,2,3,104.4372358,127.1409827,295.7037304,102.2639726,83.75064175,66.57797405,139.0531277,1.825931754,0.854710671,0.658000377,-0.186061095,0.875739511,1.075453114,1.304923144,0.568440874
SCPT_14526_Raw03_result.csv,14526,0.62,5.164,0.0159,245.5,5.164,0.0159,-0.0031,2,3,107.0064569,130.2687301,324.8859657,106.2023377,83.20704512,69.42065254,140.1175636,1.684133287,0.83040777,0.633697475,-0.280177299,0.837950826,1.081964926,1.263112537,0.560815137
SCPT_14526_Raw03_result.csv,14526,0.64,5.562,0.02,245.5,5.562,0.02,-0.0034,2,3,110.6705405,134.7293536,335.2842261,111.1922683,90.49290102,72.14971289,145.6035278,1.68488181,0.796739263,0.600028969,-0.311681661,0.792036097,0.998025541,1.224553641,0.522409582
SCPT_14526_Raw03_result.csv,14526,0.66,5.902,0.0229,245.5,5.902,0.0229,-0.0033,2,3,113.2871744,137.914821,344.0181414,114.9520293,95.57958655,74.22347233,149.4129973,1.677713686,0.773370986,0.576660691,-0.337397445,0.758782043,0.94333768,1.196216508,0.496582682
SCPT_14526_Raw03_result.csv,14526,0.68,6.036,0.0231,245.5,6.036,0.0231,-0.0031,2,3,114.0083014,138.7927147,348.0093395,116.3213492,96.53059795,75.13858018,150.7410764,1.66629585,0.767025682,0.570315388,-0.34893237,0.746940334,0.933436912,1.183962803,0.487733308
SCPT_14526_Raw03_result.csv,14526,0.7,6.256,0.0277,245.5,6.256,0.0277,-0.0037,2,3,117.1968829,142.6744661,353.8130017,120.713982,104.1355353,77.29432867,155.5193833,1.684399206,0.739441667,0.542731373,-0.365471582,0.709872985,0.857603673,1.155676362,0.456526572
SCPT_14526_Raw03_result.csv,14526,0.72,6.079,0.0277,245.5,6.079,0.0277,-0.0037,2,3,117.362005,142.8754844,350.9319841,121.1906337,105.1120628,77.58073798,156.5985025,1.701575686,0.738033729,0.541323435,-0.35729548,0.705932156,0.848269901,1.151977773,0.449611726
SCPT_14526_Raw03_result.csv,14526,0.74,5.959,0.0302,245.5,5.959,0.0302,-0.0037,2,3,118.8211115,144.651788,349.2150264,123.3112925,109.8262693,78.51086909,159.4456099,1.733276928,0.725677849,0.528967555,-0.352390907,0.688584955,0.8043972,1.140059872,0.431594087
SCPT_14526_Raw03_result.csv,14526,0.76,5.952,0.0345,245.5,5.952,0.0345,-0.0034,2,3,121.1830452,147.5271854,349.9823795,126.6838744,117.0379912,79.96030599,163.3257203,1.765572393,0.705994775,0.50928448,-0.354585862,0.661602142,0.740798354,1.121766611,0.407550456
SCPT_14526_Raw03_result.csv,14526,0.78,6.12,0.0349,245.5,6.12,0.0349,-0.0035,2,3,122.0298672,148.5580992,354.6343381,128.2158137,118.1926275,80.94067797,164.6830706,1.751588669,0.69903112,0.502320825,-0.367790278,0.649582058,0.730981217,1.109580432,0.399274105
SCPT_14526_Raw03_result.csv,14526,0.8,6.267,0.0363,245.5,6.267,0.0363,-0.0029,2,3,123.2621287,150.0582436,358.7655302,130.239108,120.8285942,82.05889893,166.6201899,1.746839256,0.688983732,0.492273438,-0.379372109,0.633924894,0.708923983,1.095859678,0.387580037
SCPT_14526_Raw03_result.csv,14526,0.82,6.492,0.0414,245.5,6.492,0.0414,-0.0032,2,3,126.1199439,153.537323,364.5215088,134.4103896,128.595631,83.95597468,170.598931,1.758230476,0.666063558,0.469353263,-0.395288612,0.602399218,0.646624109,1.073004397,0.363981579
SCPT_14526_Raw03_result.csv,14526,0.84,6.492,0.0482,245.5,6.492,0.0482,-0.0039,2,3,129.077201,157.1374621,365.3891601,138.7050137,138.8611843,85.59391169,175.0693546,1.797603719,0.642886264,0.44617597,-0.39766603,0.570947473,0.569822187,1.053682792,0.33811474
