File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14540_Raw03_result_layers_stats.csv,14540,1,0.02,1.78,0.9,184.14,5,1.76,2.09062416,0.02961252,0.0021,103.7128341,126.2591023,231.7841983,107.3088675,119.580423,65.80294491,154.3859452,2.38138262,5,2,3,0.574070468,0.377360175,-0.230110421,0.53998505,0.431707197,1.029031745,0.176240733
SCPT_14540_Raw03_result_layers_stats.csv,14540,2,1.8,3.62,2.71,184.14,5,1.82,2.542933846,0.016013485,0.003000805,120.3329685,146.4923095,286.0607263,139.6716933,125.50173,93.99834214,201.6025948,2.116350162,5,2,3,0.4254337,0.228723406,-0.44050778,0.276401717,0.383376795,0.672419193,-0.090602069
SCPT_14540_Raw03_result_layers_stats.csv,14540,3,3.64,4.7,4.17,184.14,5,1.06,0.98136153,0.005605626,0.015985785,103.2350433,125.6774441,207.9478309,114.6592078,96.59385093,85.08162867,195.6168679,2.503277666,5,2,3,0.578687976,0.381977681,-0.121590897,0.47373202,0.645181254,0.772085205,-0.060461653
SCPT_14540_Raw03_result_layers_stats.csv,14540,4,4.72,5.7,5.21,184.14,5,0.98,0.711682024,0.004481485,0.041298662,100.0935338,121.8529977,189.1226814,107.3510954,91.51763546,84.86139122,200.6053018,2.67023306,5,2,3,0.609591251,0.412880957,-0.026699575,0.53959161,0.699164647,0.774677104,-0.085642967
SCPT_14540_Raw03_result_layers_stats.csv,14540,5,5.72,8.64,7.18,144.61,7,2.92,2.019167194,0.020144214,0.245898541,142.2325202,173.1526333,293.0384537,149.1407617,144.4584927,121.9426036,266.1825842,2.338041872,7,2,3,0.016577279,-0.180133015,-0.706263378,-0.030850106,0.001048245,0.170489992,-0.610142016
SCPT_14540_Raw03_result_layers_stats.csv,14540,6,8.66,9.64,9.15,440.46,9,0.98,5.617038676,0.080652545,0.076616026,198.8592507,242.0895226,439.8306378,209.9650371,244.1364333,169.9069481,342.0985924,2.13725681,9,2,3,0.795222344,0.59851205,0.001429897,0.740878608,0.590092413,0.952568712,0.252720658
SCPT_14540_Raw03_result_layers_stats.csv,14540,7,9.66,10.8,10.23,325.97,11,1.14,2.998082315,0.04130866,0.78994595,175.0773698,213.1376676,357.4829146,175.5280271,185.9994359,151.4591125,321.0800874,2.344329017,11,2,3,0.621577363,0.424867069,-0.092282217,0.619006624,0.561061712,0.766489649,0.015114767
SCPT_14540_Raw03_result_layers_stats.csv,14540,8,10.82,12.68,11.75,325.97,11,1.86,1.902125629,0.020414514,0.788948831,159.273807,193.8985477,307.6236465,149.7267794,143.2857229,139.025581,302.3572363,2.500033838,11,2,3,0.716180575,0.51947028,0.057928244,0.77799319,0.821964654,0.8521474,0.075196133
SCPT_14540_Raw03_result_layers_stats.csv,14540,9,12.7,15.34,14.02,365.87,15,2.64,3.094950507,0.049609986,0.263118622,190.9858203,232.5044769,367.1927894,179.9752826,198.8150861,168.5848615,356.1037807,2.498635749,15,2,3,0.650078893,0.453368599,-0.003608943,0.709458556,0.609902902,0.774838827,0.027055872
SCPT_14540_Raw03_result_layers_stats.csv,14540,10,15.36,16.98,16.17,324.63,17,1.62,2.48006757,0.058011278,0.611232334,194.2334582,236.458123,346.6749472,177.9577292,211.1381999,172.171676,376.2633466,2.717162311,17,2,3,0.513625244,0.31691495,-0.065701517,0.601140027,0.430173177,0.634193977,-0.147603216
SCPT_14540_Raw03_result_layers_stats.csv,14540,11,17,17.98,17.49,324.63,17,0.98,1.656717359,0.02443566,,172.0052778,209.3977295,292.0010605,146.113302,152.9743857,154.5520317,342.0079342,2.887825041,17,2,3,0.635160911,0.438450617,0.105928638,0.79830371,0.752415579,0.742155258,-0.052147864
SCPT_14540_Raw03_result_layers_stats.csv,14540,12,18,19.4,18.7,333.54,19,1.4,2.84358559,0.067610126,0.204180119,207.4689604,252.5709083,363.2580959,182.9042305,220.6129678,185.1861479,398.629481,2.767991507,19,2,3,0.474781058,0.278070764,-0.085350791,0.600800113,0.413352909,0.588401274,-0.178269568
SCPT_14540_Raw03_result_layers_stats.csv,14540,13,19.42,20.68,20.05,363.21,21,1.26,2.386836351,0.058523624,0.588478133,204.0679638,248.4305646,348.0009084,174.986432,207.5314142,181.9198407,397.6719674,2.854933898,21,2,3,0.576528085,0.379817791,0.042776089,0.73027274,0.559698457,0.691415025,-0.090646284
SCPT_14540_Raw03_result_layers_stats.csv,14540,14,20.7,22.38,21.54,363.21,21,1.68,3.568630421,0.115156242,0.5188,233.1498325,283.8345786,400.1854103,204.6710517,274.4556046,208.0060036,443.50475,2.821409095,21,2,3,0.443299875,0.246589581,-0.096946786,0.573577115,0.280191663,0.557414237,-0.199727333
SCPT_14540_Raw03_result_layers_stats.csv,14540,15,22.4,24,23.2,394.09,23,1.6,3.683586447,0.086532414,0.104152855,233.7556136,284.5720513,410.233692,195.9345919,237.059195,208.318479,435.5414967,2.745508086,23,2,3,0.522303126,0.325592832,-0.040147668,0.698798421,0.508269432,0.637511252,-0.100010767
SCPT_14541_Raw02_result_layers_stats.csv,14541,1,0.02,1.62,0.82,442.16,5,1.6,2.041766118,0.027649125,0.002843846,101.162323,123.1541323,227.9214531,103.6512415,113.9368385,63.57346079,149.4967141,2.366940061,5,2,3,1.474945422,1.278235129,0.662670742,1.450639991,1.356027561,1.939475707,1.084397394
SCPT_14541_Raw02_result_layers_stats.csv,14541,2,1.64,2.66,2.15,442.16,5,1.02,5.004556692,0.08278438,0.002738967,151.2184537,184.0920305,362.6084923,189.1019968,239.0716559,111.6699202,237.1838592,2.107258433,5,2,3,1.072946303,0.876236009,0.198348089,0.849385272,0.614908485,1.376124429,0.62283619
SCPT_14541_Raw02_result_layers_stats.csv,14541,3,2.68,3.9,3.29,442.16,5,1.22,18.28794963,0.303228677,0.003613883,230.5651325,280.6879874,620.8962255,297.8463735,447.8743637,168.8942307,316.0263198,1.748065194,5,2,3,0.651138415,0.45442812,-0.339492152,0.395093979,-0.012840947,0.962399142,0.335846307
SCPT_14541_Raw02_result_layers_stats.csv,14541,4,3.92,6.18,5.05,442.16,5,2.26,19.85986471,0.533638237,0.001361185,278.7015619,339.288858,668.3856699,350.4552292,615.2161312,201.6329456,379.0459323,1.942636139,5,2,3,0.461530269,0.264819974,-0.41319355,0.232438843,-0.330301831,0.785222864,0.154014416
