TYPE,CODE_,CODE_CPT,gwl,a
CPT,105784,105784,9.8,
CPT,105785,105785,9.8,
CPT,147826,147826,9.8,
CPT,155586,155586,9.8,0.81
CPT,173070,173070,9.8,0.8
CPT,211407,211407,9.8,0.81
CPT,185420,185420,9.76,0.8
CPT,91963,91963,9.7,0.81
CPT,190580,190580,9.7,0.8
CPT,190592,190592,9.7,0.8
CPT,185423,185423,9.63,0.8
CPT,117185,117185,9.6,
CPT,166648,166648,9.6,0.81
CPT,211397,211397,9.6,0.8
CPT,211405,211405,9.6,0.81
CPT,95118,95118,9.51,
CPT,340,340,9.5,
CPT,91918,91918,9.5,0.81
CPT,91979,91979,9.5,0.81
CPT,116478,116478,9.5,0.81
CPT,183559,183559,9.5,0.81
CPT,206195,206195,9.5,0.8
CPT,211400,211400,9.5,0.81
CPT,125527,125527,9.48,
CPT,157502,157502,9.47,0.8
CPT,95116,95116,9.43,
CPT,338,338,9.4,
CPT,121417,121417,9.4,0.81
CPT,95114,95114,9.39,
CPT,185409,185409,9.39,0.77
CPT,49983,49983,9.3,0.81
CPT,117199,117199,9.3,
CPT,121843,121843,9.3,0.81
CPT,152778,152778,9.3,0.8
CPT,181599,181599,9.3,0.81
CPT,182086,182086,9.3,0.8
CPT,190811,190811,9.3,0.8
CPT,208493,208493,9.3,
CPT,211399,211399,9.3,0.81
CPT,404,404,9.2,
CPT,92338,92338,9.2,
CPT,94728,94728,9.2,
CPT,117202,117202,9.2,
CPT,157444,157444,9.2,0.81
CPT,166476,166476,9.2,0.8
CPT,166656,166656,9.2,0.81
CPT,181528,181528,9.2,0.81
CPT,182085,182085,9.2,0.8
CPT,172421,172421,9.1,0.8
CPT,181580,181580,9.1,0.81
CPT,181654,181654,9.1,0.8
CPT,182082,182082,9.1,0.8
CPT,208485,208485,9.1,
CPT,209018,209018,9.1,0.8
CPT,36558,36558,9,0.8
CPT,95061,95061,9,
CPT,194705,194705,9,0.81
CPT,185413,185413,8.99,0.8
CPT,185417,185417,8.99,0.77
CPT,117160,117160,8.9,
CPT,134011,134011,8.9,0.81
CPT,182084,182084,8.9,0.8
CPT,120432,120432,8.84,
CPT,14403,14403,8.8,
CPT,91965,91965,8.8,0.81
CPT,166472,166472,8.8,0.8
CPT,181538,181538,8.8,0.81
CPT,185414,185414,8.75,0.77
CPT,185415,185415,8.74,0.8
CPT,248,248,8.7,
CPT,92283,92283,8.7,
CPT,95064,95064,8.7,
CPT,112200,112200,8.7,0.81
CPT,117161,117161,8.7,
CPT,132218,132218,8.7,0.81
CPT,144789,144789,8.7,0.81
CPT,181655,181655,8.7,0.8
CPT,201604,201604,8.7,0.81
CPT,216271,216271,8.7,0.81
CPT,199558,199558,8.69,0.8
CPT,172241,172241,8.6,0.81
CPT,181582,181582,8.6,0.81
CPT,210359,210359,8.6,0.81
CPT,14514,14514,8.5,
CPT,87887,87887,8.5,0.85
CPT,92344,92344,8.5,
CPT,95060,95060,8.5,
CPT,117208,117208,8.5,
CPT,221812,221812,8.5,0.8
CPT,226436,226436,8.5,0.8
CPT,14547,14547,8.47,
CPT,185422,185422,8.41,0.77
CPT,87898,87898,8.4,0.85
CPT,145140,145140,8.4,0.81
CPT,14533,14533,8.36,
CPT,47972,47972,8.3,
CPT,117182,117182,8.3,
CPT,144787,144787,8.3,0.81
CPT,145219,145219,8.3,0.8
CPT,173071,173071,8.3,0.8
CPT,181613,181613,8.3,0.85
CPT,208486,208486,8.3,
CPT,217706,217706,8.3,0.8
CPT,216748,216748,8.28,0.8
CPT,209991,209991,8.25,0.75
CPT,161170,161170,8.24,0.8
CPT,128623,128623,8.23,
CPT,1477,1477,8.2,
CPT,94830,94830,8.2,
CPT,95057,95057,8.2,
CPT,112424,112424,8.2,
CPT,144786,144786,8.2,0.81
CPT,145143,145143,8.2,0.81
CPT,181653,181653,8.2,0.8
CPT,199557,199557,8.2,0.78
CPT,201080,201080,8.2,0.8
CPT,206867,206867,8.2,0.81
CPT,91977,91977,8.1,0.81
CPT,95099,95099,8.1,
CPT,112184,112184,8.1,0.81
CPT,121720,121720,8.1,0.81
CPT,143337,143337,8.1,0.8
CPT,144887,144887,8.1,0.81
CPT,145107,145107,8.1,0.8
CPT,219249,219249,8.09,0.79
CPT,151402,151402,8.05,0.8
CPT,1054,1054,8,
CPT,56554,56554,8,0.81
CPT,92230,92230,8,
CPT,94748,94748,8,
CPT,95049,95049,8,
CPT,120625,120625,8,0.81
CPT,151095,151095,8,0.81
CPT,151096,151096,8,0.81
CPT,166651,166651,8,0.81
CPT,173496,173496,8,0.81
CPT,179300,179300,8,0.8
CPT,201077,201077,8,0.8
CPT,225037,225037,8,0.8
CPT,138916,138916,7.9,0.8
CPT,138917,138917,7.9,0.8
CPT,151404,151404,7.9,0.8
CPT,154004,154004,7.9,0.81
CPT,155717,155717,7.9,0.81
CPT,190588,190588,7.9,0.8
CPT,201078,201078,7.85,0.8
CPT,201079,201079,7.85,0.8
CPT,247,247,7.8,
CPT,891,891,7.8,
CPT,91919,91919,7.8,0.81
CPT,97896,97896,7.8,0.81
CPT,97897,97897,7.8,0.81
CPT,97898,97898,7.8,0.81
CPT,97899,97899,7.8,0.81
CPT,97900,97900,7.8,0.81
CPT,97902,97902,7.8,0.81
CPT,97903,97903,7.8,0.81
CPT,97904,97904,7.8,0.81
CPT,97905,97905,7.8,0.81
CPT,97906,97906,7.8,0.81
CPT,97907,97907,7.8,0.81
CPT,97917,97917,7.8,0.81
CPT,97918,97918,7.8,0.81
CPT,97919,97919,7.8,0.81
CPT,97920,97920,7.8,0.81
CPT,97929,97929,7.8,0.81
CPT,97930,97930,7.8,0.81
CPT,130194,130194,7.8,
CPT,153673,153673,7.8,0.8
CPT,174708,174708,7.8,0.8
CPT,190582,190582,7.8,0.8
CPT,213515,213515,7.8,0.8
CPT,219246,219246,7.8,0.79
CPT,1035,1035,7.7,
CPT,54539,54539,7.7,0.81
CPT,112182,112182,7.7,0.81
CPT,138915,138915,7.7,0.8
CPT,138918,138918,7.7,0.8
CPT,183847,183847,7.7,0.81
CPT,209019,209019,7.7,0.8
CPT,220201,220201,7.7,0.81
CPT,95052,95052,7.6,
CPT,112202,112202,7.6,0.81
CPT,133955,133955,7.6,0.81
CPT,172381,172381,7.6,0.8
CPT,174204,174204,7.6,0.8
CPT,174707,174707,7.6,0.8
CPT,188482,188482,7.6,0.8
CPT,210348,210348,7.6,0.81
CPT,36556,36556,7.5,0.8
CPT,95050,95050,7.5,
CPT,95051,95051,7.5,
CPT,109571,109571,7.5,0.81
CPT,112210,112210,7.5,0.81
CPT,112449,112449,7.5,0.81
CPT,121510,121510,7.5,0.81
CPT,121511,121511,7.5,0.81
CPT,121831,121831,7.5,0.81
CPT,121832,121832,7.5,0.81
CPT,147828,147828,7.5,
CPT,147840,147840,7.5,
CPT,147841,147841,7.5,
CPT,166650,166650,7.5,0.81
CPT,168494,168494,7.5,
CPT,174705,174705,7.5,0.8
CPT,174812,174812,7.5,0.78
CPT,214211,214211,7.5,0.81
CPT,218530,218530,7.5,0.8
CPT,118446,118446,7.45,0.8
CPT,141546,141546,7.45,0.85
CPT,219248,219248,7.42,0.79
CPT,91935,91935,7.4,0.81
CPT,91936,91936,7.4,0.81
CPT,95048,95048,7.4,
CPT,112203,112203,7.4,0.81
CPT,116480,116480,7.4,0.81
CPT,124012,124012,7.4,0.81
CPT,145100,145100,7.4,0.8
CPT,165669,165669,7.4,0.8
CPT,174205,174205,7.4,0.8
CPT,174706,174706,7.4,0.8
CPT,219247,219247,7.32,0.8
CPT,43929,43929,7.3,0.81
CPT,47973,47973,7.3,
CPT,92231,92231,7.3,
CPT,111122,111122,7.3,
CPT,123880,123880,7.3,0.81
CPT,144888,144888,7.3,0.81
CPT,156827,156827,7.3,0.8
CPT,219245,219245,7.3,0.79
CPT,217020,217020,7.26,0.8
CPT,95058,95058,7.25,
CPT,92228,92228,7.2,
CPT,92282,92282,7.2,
CPT,92331,92331,7.2,
CPT,101392,101392,7.2,
CPT,106806,106806,7.2,
CPT,117212,117212,7.2,
CPT,121751,121751,7.2,
CPT,145155,145155,7.2,0.81
CPT,211720,211720,7.2,0.75
CPT,218528,218528,7.2,0.79
CPT,95063,95063,7.1,
CPT,95066,95066,7.1,
CPT,106807,106807,7.1,
CPT,111121,111121,7.1,
CPT,117209,117209,7.1,
CPT,125439,125439,7.1,
CPT,147236,147236,7.1,0.8
CPT,208181,208181,7.1,0.79
CPT,211508,211508,7.1,0.81
CPT,111135,111135,7.02,0.75
CPT,1009,1009,7,
CPT,94747,94747,7,
CPT,134137,134137,7,0.81
CPT,153723,153723,7,0.81
CPT,167213,167213,7,0.75
CPT,181532,181532,7,0.81
CPT,181677,181677,7,0.81
CPT,181681,181681,7,0.81
CPT,182087,182087,7,0.8
CPT,198560,198560,7,0.8
CPT,209329,209329,7,
CPT,141574,141574,6.98,0.85
CPT,167212,167212,6.98,0.75
CPT,117183,117183,6.9,
CPT,117214,117214,6.9,
CPT,173488,173488,6.9,0.81
CPT,181602,181602,6.9,0.81
CPT,190593,190593,6.9,0.8
CPT,211718,211718,6.9,0.75
CPT,210109,210109,6.84,0.79
CPT,120566,120566,6.81,0.8
CPT,72067,72067,6.8,
CPT,76028,76028,6.8,
CPT,153724,153724,6.8,0.81
CPT,181675,181675,6.8,0.81
CPT,219638,219638,6.8,0.75
CPT,152825,152825,6.72,0.8
CPT,187192,187192,6.72,0.79
CPT,217021,217021,6.72,0.8
CPT,325,325,6.7,
CPT,35839,35839,6.7,0.8
CPT,49375,49375,6.7,0.58
CPT,117215,117215,6.7,
CPT,133994,133994,6.7,0.81
CPT,138340,138340,6.7,0.81
CPT,167354,167354,6.7,0.8
CPT,175337,175337,6.7,0.8
CPT,180272,180272,6.7,0.8
CPT,190532,190532,6.7,0.8
CPT,206194,206194,6.7,0.8
CPT,91954,91954,6.65,0.81
CPT,1492,1492,6.6,
CPT,99342,99342,6.6,0.81
CPT,100606,100606,6.6,0.85
CPT,155928,155928,6.6,0.81
CPT,181678,181678,6.6,0.81
CPT,181679,181679,6.6,0.81
CPT,161164,161164,6.59,0.8
CPT,166204,166204,6.55,0.75
CPT,166346,166346,6.52,0.75
CPT,1215,1215,6.5,
CPT,73452,73452,6.5,
CPT,132195,132195,6.5,0.81
CPT,132247,132247,6.5,0.81
CPT,144767,144767,6.5,0.81
CPT,145221,145221,6.5,0.8
CPT,147837,147837,6.5,
CPT,161163,161163,6.5,0.8
CPT,196956,196956,6.5,0.8
CPT,217709,217709,6.5,0.8
CPT,132706,132706,6.48,
CPT,157505,157505,6.47,0.8
CPT,144715,144715,6.46,0.85
CPT,219392,219392,6.45,0.78
CPT,113502,113502,6.4,0.8
CPT,117159,117159,6.4,
CPT,138994,138994,6.4,0.8
CPT,153727,153727,6.4,0.81
CPT,168654,168654,6.4,
CPT,181667,181667,6.4,0.81
CPT,198559,198559,6.4,0.78
CPT,219578,219578,6.4,0.8
CPT,219635,219635,6.4,0.75
CPT,166205,166205,6.38,0.75
CPT,201513,201513,6.34,0.79
CPT,14399,14399,6.3,
CPT,14929,14929,6.3,
CPT,94997,94997,6.3,
CPT,106672,106672,6.3,
CPT,139006,139006,6.3,0.8
CPT,152848,152848,6.3,0.81
CPT,153901,153901,6.3,0.8
CPT,167162,167162,6.3,0.81
CPT,181668,181668,6.3,0.81
CPT,181669,181669,6.3,0.81
CPT,188462,188462,6.3,0.8
CPT,125525,125525,6.26,
CPT,215290,215290,6.22,0.8
CPT,92263,92263,6.2,
