File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_124801.csv,11,10.75,11.24,10.995000000000001,277.7,0.5,5.386286079094016,0.20161545382563897,0.15249518855683505,233.61849349280612,284.40512251298094,439.50258508247845,243.21564797066262,365.329117754464,191.79657615082976,403.61966923893135,2.62896805442927,2.48760316927896
SCPT_124801.csv,12,11.25,11.74,11.495000000000001,268.6,0.5,7.569558541870701,0.13929485140496564,,236.86814061372533,288.3612146601872,501.68797241556865,240.03140850355615,298.654788681842,197.7709832284336,390.01072232485393,2.2947906057305447,2.170674136740106
SCPT_124801.csv,13,11.75,12.24,11.995000000000001,261.3,0.5,10.777904472338497,0.04544175440094208,,218.21800083470143,265.656696668332,576.6969786364349,216.08749681157374,183.84181630336707,191.87786195252224,341.702992564762,1.7891244803279498,1.6828455069764883
SCPT_124801.csv,14,12.25,12.92,12.585,302.6,0.6799999999999997,9.473129235922851,0.04312656786320455,,216.85065402274947,263.992100549434,551.5464180969891,210.32646929251263,179.90188546430696,190.0470865708317,343.20384296560053,1.8668528233450257,1.757675193935482
SCPT_124801.csv,15,12.93,13.42,13.175,257.9,0.5,7.994783090546979,0.0336619059736362,0.010158740079360237,210.54115053166407,256.3109658646344,519.2779778816104,198.75869156317114,164.94744993549222,184.01699239789068,335.7831293573457,1.933133728324331,1.819317173306598
SCPT_124801.csv,16,13.43,14.67,14.05,260.8,1.25,9.76328916186057,0.028835195134965394,,213.66938075128283,260.1192461319966,564.0792955631803,202.77807233586395,157.27221126546493,190.33008768325266,334.9643565402994,1.7859792154769483,1.6825464828721126
SCPT_124801.csv,17,14.68,15.17,14.925,235.8,0.5,3.434157075753094,0.05787263065769762,0.437521531812774,206.4756218872264,251.36162664531915,381.58527334129616,185.680440076681,207.6627010135311,176.44272051709126,369.52305109687455,2.6754971235528044,2.537846017716796
SCPT_124801.csv,18,15.18,15.67,15.425,313.5,0.5,7.359875275038271,0.08108905381005459,0.00571466770852005,238.37249619843695,290.1926040676627,511.3067309624736,220.91837782760268,233.8654993314984,204.36774255572323,391.5217082314815,2.245830021431781,2.132955001943836
SCPT_124801.csv,19,15.68,16.88,16.28,257.5,1.209999999999999,3.0713088942515783,0.037017427367440466,0.9489525549035474,200.74819950608395,244.38911244218903,378.1317313545026,173.02178390985856,172.1689826801963,171.38872511418202,356.10824067251446,2.6157251119678477,2.4789806695803738
SCPT_124801.csv,20,16.89,17.7,17.295,268.2,0.8199999999999985,2.4899031306464723,0.12347870984760685,0.9057860995178932,216.4049868914472,263.44954925915323,351.30407188090436,199.9084221176278,290.01219352145404,186.89636193721083,422.2620851191643,3.0829524089726466,2.9624246322802805
SCPT_124801.csv,21,17.71,18.5,18.105,233.4,0.7999999999999989,2.6152010329662505,0.026534964755238418,1.4736586069361295,197.10545553280443,239.95446760515327,364.14515432711,161.06322595482914,150.2332797108633,167.79293099475973,349.91276751292645,2.6689136162637483,2.53142802124874
SCPT_124801.csv,22,18.51,19.0,18.755000000000003,315.8,0.4999999999999982,4.216333632069992,0.03294507417102525,0.7781641796511188,213.2173187678218,259.56890980430535,433.8533780923644,178.91599450097422,161.2593508052883,184.8025842441823,364.41177652596116,2.3830889333565435,2.2624511005029304
