File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15
SCPT_14538_Raw02_result.csv,14538,2.56,5.211,0.1268,230.5,5.211,0.1268,-0.0165,2,1,164.6344197,200.424511,375.0747814,219.2890918,318.5868257,122.4909678,262.757539,2.219219347,0.336523485,0.13981319,-0.486874561,0.049859949,-0.323644184,0.632213568
SCPT_14538_Raw02_result.csv,14538,2.58,5.211,0.1208,230.5,5.211,0.1208,-0.017,2,1,163.8676761,199.491084,375.3611089,217.2776978,309.9365376,122.26335,261.6215163,2.205572572,0.341191613,0.144481319,-0.487637657,0.059074614,-0.296116697,0.634073537
SCPT_14538_Raw02_result.csv,14538,2.6,4.745,0.1233,230.5,4.745,0.1233,-0.0147,2,1,162.1814107,197.4382391,362.4475136,216.6491983,317.7683084,121.0900237,262.6499729,2.268583087,0.351535334,0.15482504,-0.452628811,0.061971415,-0.321071665,0.643716596
SCPT_14538_Raw02_result.csv,14538,2.62,4.384,0.1312,230.5,4.384,0.1312,-0.0092,2,1,161.6859756,196.8351007,351.9492825,217.8402722,332.2706192,120.5933747,265.1375401,2.337178646,0.354594831,0.157884536,-0.423236219,0.056488764,-0.365698892,0.647826515
SCPT_14538_Raw02_result.csv,14538,2.64,4.294,0.1352,230.5,4.294,0.1352,-0.0054,2,1,161.9272962,197.1288823,349.4569715,219.0771276,339.3099024,120.7888687,266.6463836,2.359517164,0.353103417,0.156393123,-0.416129577,0.050827014,-0.386662994,0.646206727
SCPT_14538_Raw02_result.csv,14538,2.66,4.47,0.1396,230.5,4.47,0.1396,0.0019,2,1,163.7435164,199.339933,355.171583,221.9331814,344.8519019,122.0688044,268.3503645,2.344605369,0.341949583,0.145239289,-0.432350143,0.037874511,-0.402864193,0.635666006
SCPT_14538_Raw02_result.csv,14538,2.68,4.658,0.1432,230.5,4.658,0.1432,0.0071,2,1,165.4631695,201.4334237,361.1033083,224.5548279,349.1677882,123.311418,269.8330404,2.327082957,0.331502233,0.134791939,-0.448913227,0.026130963,-0.415301713,0.625537853
SCPT_14538_Raw02_result.csv,14538,2.7,5.059,0.139,230.5,5.059,0.139,0.0094,2,1,167.4527724,203.8555491,372.9603916,224.2522133,337.8509965,124.7361949,269.4615418,2.272576206,0.319549507,0.122839212,-0.481221363,0.027479492,-0.382354097,0.614049796
SCPT_14538_Raw02_result.csv,14538,2.72,5.085,0.139,230.5,5.085,0.139,0.0112,2,1,167.8538316,204.343795,373.9744089,224.3987654,337.3941735,125.084675,269.9753826,2.271143867,0.317157312,0.120447018,-0.483936507,0.02682619,-0.381001039,0.611259954
SCPT_14538_Raw02_result.csv,14538,2.74,4.606,0.1234,230.5,4.606,0.1234,0.0001,2,1,163.0948844,198.5502941,360.3056903,217.1479315,319.3027758,122.3517778,266.1277828,2.295131182,0.345918718,0.149208424,-0.446701949,0.059672029,-0.325888931,0.633350542
SCPT_14538_Raw02_result.csv,14538,2.76,4.292,0.1234,230.5,4.292,0.1234,0.0001,2,1,161.4206022,196.5120374,350.9701126,216.1816595,322.9022262,121.3592,266.4786416,2.337466096,0.356237468,0.159527174,-0.420450208,0.064131792,-0.33709871,0.64149612
SCPT_14538_Raw02_result.csv,14538,2.78,4.036,0.1159,230.5,4.036,0.1159,-0.0114,2,1,158.8403385,193.3708469,342.9915201,212.3817499,314.2150609,119.9052415,264.6780791,2.356788282,0.372351325,0.175641031,-0.397454862,0.0818655,-0.309826796,0.653549086
SCPT_14538_Raw02_result.csv,14538,2.8,3.871,0.1159,230.5,3.871,0.1159,-0.0114,2,1,157.940143,192.2749567,337.8023803,211.8265145,316.2118188,119.4244411,265.0766513,2.382576492,0.378034743,0.181324449,-0.382210188,0.084483251,-0.316161439,0.657566983
SCPT_14538_Raw02_result.csv,14538,2.82,3.629,0.1233,230.5,3.629,0.1233,-0.0126,2,1,157.4517413,191.6803807,329.7929698,213.8288761,331.3002817,119.164346,267.5718389,2.439576507,0.381131856,0.184421562,-0.358214231,0.075074812,-0.362774297,0.659747263
SCPT_14538_Raw02_result.csv,14538,2.84,3.629,0.1233,230.5,3.629,0.1233,-0.0077,2,1,157.6992836,191.9817365,330.0578554,213.851332,331.042143,119.3986951,268.0506835,2.441149598,0.379560911,0.182850617,-0.359017096,0.074969799,-0.361994825,0.657782591
SCPT_14538_Raw02_result.csv,14538,2.86,3.967,0.1252,230.5,3.967,0.1252,-0.0016,2,1,160.7075771,195.6440069,341.7612089,215.9499035,329.0350565,121.3297482,269.2387371,2.395317381,0.36066444,0.163954146,-0.393861411,0.06520441,-0.355913437,0.641738831
SCPT_14538_Raw02_result.csv,14538,2.88,3.916,0.1237,230.5,3.916,0.1237,0.0016,2,1,160.3724717,195.2360525,340.3319089,215.2290871,327.1949077,121.2174004,269.2657723,2.400827291,0.362751804,0.16604151,-0.389670482,0.06854788,-0.350305179,0.642665231
SCPT_14538_Raw02_result.csv,14538,2.9,3.672,0.122,230.5,3.672,0.122,0.0048,2,1,158.5669432,193.0380178,332.3203542,213.6472438,327.7222173,120.1927625,269.1246677,2.435723879,0.374074004,0.17736371,-0.365848563,0.075924601,-0.351915489,0.651154054
SCPT_14538_Raw02_result.csv,14538,2.92,3.647,0.1166,230.5,3.647,0.1166,0.0064,2,1,157.8299213,192.1407738,331.6911871,211.4878049,319.3067729,119.853021,267.9975063,2.428129504,0.378732857,0.182022562,-0.363953514,0.086083526,-0.325901449,0.653984695
SCPT_14538_Raw02_result.csv,14538,2.94,3.742,0.1138,230.5,3.742,0.1138,0.0092,2,1,158.357126,192.7825882,335.2099791,210.8089505,313.3575447,120.2832443,267.6646954,2.407649753,0.375398089,0.178687794,-0.374506276,0.089298587,-0.307093992,0.650401532
SCPT_14538_Raw02_result.csv,14538,2.96,3.742,0.1121,230.5,3.742,0.1121,0.0153,2,1,158.3343669,192.7548814,335.4767953,210.1727652,310.458805,120.3597091,267.6000905,2.404712975,0.375541819,0.178831525,-0.375301927,0.092320979,-0.297800357,0.649766028
SCPT_14538_Raw02_result.csv,14538,2.98,3.857,0.1146,230.5,3.857,0.1146,0.0191,2,1,159.7857424,194.5217733,339.6271121,211.6792081,312.7845532,121.3339163,268.8863265,2.394885314,0.366417055,0.169706761,-0.387597424,0.085178903,-0.305263763,0.641704479
SCPT_14538_Raw02_result.csv,14538,3,3.857,0.1226,230.5,3.857,0.1226,0.0242,2,1,161.2113046,196.2572404,339.8863866,214.8255775,325.1237632,122.2424903,271.7148918,2.415848722,0.357534907,0.160824613,-0.388360542,0.070424431,-0.343955057,0.634244165
SCPT_14538_Raw02_result.csv,14538,3.02,4.154,0.1288,230.5,4.154,0.1288,0.0269,2,1,164.4253674,200.1700125,349.8911555,218.358935,330.5949347,124.2916475,274.0736138,2.388453691,0.337794089,0.141083795,-0.417371259,0.054110663,-0.360643001,0.617620063
SCPT_14538_Raw02_result.csv,14538,3.04,4.026,0.1317,230.5,4.026,0.1317,0.0246,2,1,164.1714336,199.8608757,345.9491226,218.9504776,336.4096068,124.1892835,275.2637288,2.414860191,0.339339654,0.14262936,-0.406040857,0.051405288,-0.378078623,0.618443981
SCPT_14538_Raw02_result.csv,14538,3.06,3.577,0.1355,230.5,3.577,0.1355,0.0228,2,1,161.492419,196.5994666,330.8913131,218.4211606,348.257785,122.6044034,276.5001841,2.494034453,0.355792662,0.159082368,-0.3615391,0.053825734,-0.412692105,0.631287923
SCPT_14538_Raw02_result.csv,14538,3.08,3.577,0.1379,230.5,3.577,0.1379,0.0171,2,1,162.0143495,197.2348602,331.0645286,219.2742383,351.6675962,123.0057699,277.5891464,2.50100295,0.352565954,0.15585566,-0.362062444,0.049927686,-0.422435538,0.628019598
SCPT_14538_Raw02_result.csv,14538,3.1,3.281,0.138,230.5,3.281,0.138,0.0181,2,1,159.711793,194.4317481,320.5423974,217.9086789,356.3122137,121.7113936,277.8926059,2.553496666,0.366879965,0.170169671,-0.32976369,0.056174791,-0.435556489,0.638598246
SCPT_14538_Raw02_result.csv,14538,3.12,2.711,0.1394,230.5,2.711,0.1394,0.0188,2,1,154.4342419,188.0069032,298.2291343,215.2663876,368.915378,118.7236557,278.3172898,2.670519943,0.400482475,0.203772181,-0.257611236,0.068374589,-0.470316427,0.663452291
