Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
21,14.32,14.88,0.5700000000000003,1.1681538267253835,0.011467362230556976,0.8122652526425987,143.69033369253395,174.9273627561282,264.6324020397223,128.90249171025874,119.5877668686242,131.26705111814326,295.3682504033434,2.724052256904576,2.759200249031144
22,14.89,16.37,1.4900000000000002,1.6914483036936927,0.01823541853991315,0.987056555161048,159.8560308149014,194.60734186161915,304.6273279455288,144.3515291568191,138.662624416242,146.62834622923248,320.03531586737336,2.6060381636928867,2.637096283167486
23,16.38,17.07,0.7000000000000011,1.2451321011910004,0.008669160376728286,0.8894802269126274,148.3106363810274,180.5520790725553,275.1904144398012,125.77800199234746,108.14577926068763,134.4212441274418,294.9205093767991,2.6892003030921825,2.7219551300984706
24,17.08,17.84,0.7700000000000014,1.7329370442639775,0.045922308954758316,0.7576246878839482,177.21768302878763,215.74326629591545,307.99114153995663,164.98926196901755,202.82740197719787,163.8434285956156,371.2086774725031,2.874275501075675,2.9031731253023296
25,17.85,18.34,0.4999999999999982,3.6667664344382054,0.09848502078971397,1.3763456933555882,215.95869535445942,262.90623782282,409.3551588478597,206.3897164953476,269.8914618839835,196.3910912371485,415.94164323208463,2.583528240824203,2.608403566958185
26,18.35,18.92,0.5800000000000001,2.246932216581983,0.03709966444341943,1.1146047608173726,185.20802666035334,225.47064115173458,343.37332725186087,165.23080516316602,178.56741901273892,170.15753582655714,367.7634139230985,2.662625850199745,2.6895843465390645
27,18.93,20.56,1.6399999999999988,1.3383293049486493,0.010420471810067748,0.7912406628690201,159.82333374284207,194.56753673041635,285.211086048704,129.19914326338395,115.0619223631071,144.42085400842555,315.1670002094957,2.7919312960604197,2.8206241487492103
28,20.57,21.06,0.4999999999999982,1.1974621753505477,0.05183145155488503,0.3873653697252215,176.88729237707653,215.34105158948455,271.18035544088815,156.4735378461491,218.10628298058816,164.78000601933812,393.1720377287528,3.299936257998158,3.3236288250624684
29,21.07,21.63,0.5699999999999985,1.430536940563866,0.027945667091135735,0.28687134187865476,175.06685322987798,213.1248648015903,287.4939638985443,146.34263059847387,165.97876147166124,161.7420032416294,365.6501300327213,3.051776645390696,3.076171830129032
30,21.64,23.0,1.3699999999999992,1.3945852658713225,0.009432817574895913,0.8041047015663068,165.4813521615497,201.45555915319085,293.2079014680002,127.45137087119463,109.27670111096523,149.08404939065957,321.0217171355514,2.8027945668956415,2.8293043768814314
31,23.01,23.5,0.4999999999999982,1.9456318375735082,0.04487779637152356,0.7954142956911517,196.00957589215056,238.62035326000967,330.5533526299379,165.70014842448526,196.86389729292665,180.07374388894686,398.2808467319417,2.942778349479336,2.965165910766777
32,23.51,24.0,0.4999999999999982,4.32524414770829,0.1584767590489597,0.34993963352619784,247.43401093714323,301.2240133147826,440.02143280048364,224.45355419546496,324.3628180603709,225.66186254005706,474.59783841031424,2.74554381198217,2.7655728469726086
