Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
27,18.72,19.3,0.5900000000000016,4.055097626040453,0.09424818586182503,0.1498357630209374,229.3926703051723,279.2606421106446,416.97135212833217,202.21951372306748,246.97547587873146,201.27361878585302,419.07574103257764,2.700012295514305,2.65951631385752
28,19.31,19.94,0.6400000000000023,4.560001500908565,0.09237371661986081,0.1424967882480357,234.93745954391434,286.0108203143304,437.2654966626856,205.1695765745138,242.63706855264584,206.179288887717,421.7289045522413,2.6242838659065844,2.584818661334363
29,19.95,20.65,0.7099999999999991,3.95641374706152,0.09799870340499206,0.1514127620227097,233.30068509567795,284.01822533386866,415.8066001325572,201.7835329700014,249.30074563540677,204.91714709723783,428.182909301947,2.754934853356132,2.716543375915709
30,20.66,21.15,0.4999999999999982,4.779768460117356,0.09696488230990821,0.1597640918058271,241.76678548950028,294.32478233504366,448.06728553299723,207.44094008861623,245.17446778408288,212.1133891404166,431.3878641418337,2.630200122606158,2.592041934827331
31,21.16,21.72,0.5699999999999985,5.358220102996723,0.09702914393465817,0.16309923843482144,247.31203952943613,301.0755263836618,469.1168014095492,211.3773654156285,243.8419092410073,217.16338327920786,434.5586789018371,2.558126012398519,2.521369165374363
32,21.73,22.36,0.6399999999999988,4.5686617021532365,0.10535012929910181,0.15964397191773685,245.51808507469792,298.89158183006714,442.7781654808003,207.60074570462092,252.5727786710226,215.3486332184635,441.81285876729834,2.707828354131546,2.6709735985157828
33,22.37,22.92,0.5600000000000005,5.0631557583812645,0.10125658530662121,0.16334762470095943,250.00188349295445,304.3501190349012,461.6416657719001,209.84010855623444,246.72862301983773,219.47439030639532,442.87656316999943,2.6328093159615897,2.5971098013119795
34,22.93,23.49,0.5699999999999985,5.989164268837075,0.10966707055952865,0.14791797429714873,259.73259259543494,316.19619968139915,493.14322254145503,218.17240317601994,253.4445014932488,227.89749071791167,450.8532733141961,2.54592035146796,2.51112570369564
35,23.5,24.3,0.8100000000000005,4.689128387491524,0.11051244895038431,0.16016571448562203,253.13481576632336,308.1641235416109,450.7646114654247,208.63797059833817,254.2488414990177,221.94586453826108,453.83575068409573,2.738642139506459,2.704828129369802
36,24.31,24.83,0.5299999999999994,4.018268429053817,0.11381047670011757,0.18592626977111776,248.9985698096489,303.1286936813115,426.53133620766033,205.06962837369315,260.23465231500813,219.27688380636266,458.25130468997764,2.8616390226499195,2.8313450671472897
37,24.84,26.1,1.2700000000000014,4.624099422078899,0.11857350280787854,0.17755603973466286,258.2820027823376,314.4302642567584,451.3531888408765,210.0300576944707,260.9339114998316,226.77033789047758,465.3859736681489,2.7914110333595206,2.7615153889979562
38,26.11,26.91,0.8100000000000005,3.5387888999517285,0.1204959151375827,0.2504756446289413,249.62044921893093,303.885764266525,410.206460975542,202.95785318976564,268.00199882393804,220.94124896270483,470.18207623964815,2.993893447788749,2.96683841037132
39,26.92,27.43,0.5199999999999978,4.38678054899277,0.1241233040004521,0.284897736173741,261.5626993540793,318.42415573540075,446.1510137645009,209.53991370138343,265.4120219117314,230.02442535050983,475.7247962534423,2.8633493210581924,2.836808921437548
40,27.44,28.0,0.5699999999999985,5.356126267545362,0.13050255468368863,0.26900996160328416,272.40029759246323,331.6177535908246,481.9201519570683,217.65235358150258,268.1220796580906,239.03588708731814,481.95720157027154,2.7417515155993173,2.7135709175697222
