File Name,,Depth,qc,fs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,0.33,4.738,0.1032,4.738,0.1032,-0.0023,7,2,122.4687834,149.092432,295.3508613,121.471137,166.8989409,67.20255752,152.2374659,2.208385696,82.5,-0.395057875,-0.591768169,-1.275365717,-0.386878385,-0.704590191,0.205086988,-0.612643284
SCPT_140250_Raw01_result.csv,140250,0.34,4.8841,0.1111,4.8841,0.1111,-0.0023,7,2,124.6158508,151.7062531,299.6819719,124.7105145,174.7902896,68.47754842,154.9044003,2.212459139,82.5,-0.412437518,-0.609147812,-1.289923525,-0.413196874,-0.750788617,0.186292362,-0.630009861
SCPT_140250_Raw01_result.csv,140250,0.35,4.7826,0.1126,4.7826,0.1126,-0.0019,7,2,124.9053357,152.0586695,298.1434252,125.7836239,177.9183719,68.89981413,156.2926214,2.229544253,82.5,-0.414757843,-0.611468137,-1.28477637,-0.421764866,-0.768526567,0.180144813,-0.638931735
SCPT_140250_Raw01_result.csv,140250,0.36,4.7623,0.1136,4.7623,0.1136,-0.0009,7,2,125.4082858,152.6709567,298.4951928,126.9560632,180.3054161,69.4499491,157.5866107,2.234904307,82.5,-0.418776408,-0.615486702,-1.285955535,-0.431042774,-0.781853876,0.172191957,-0.647176923
SCPT_140250_Raw01_result.csv,140250,0.37,4.742,0.1134,4.742,0.1134,-0.0017,7,2,125.7302203,153.0628769,298.8142705,127.8393471,181.6096055,69.92770079,158.6414257,2.237028464,82.5,-0.42134021,-0.618050504,-1.287023918,-0.437976082,-0.789061065,0.165336431,-0.653848178
SCPT_140250_Raw01_result.csv,140250,0.38,4.5796,0.1131,4.5796,0.1131,-0.0021,7,2,125.468059,152.743724,295.6402742,128.2386052,183.3321836,70.0800214,159.6192507,2.257673529,82.5,-0.419252923,-0.615963217,-1.276345132,-0.441094339,-0.798501425,0.163160541,-0.659993003
SCPT_140250_Raw01_result.csv,140250,0.39,4.401,0.1125,4.401,0.1125,-0.0021,7,2,125.0532383,152.2387248,291.9310772,128.4720385,184.843874,70.15374183,160.5133686,2.28051811,82.5,-0.415941259,-0.612651554,-1.263719444,-0.442912988,-0.806713251,0.162109148,-0.665578939
SCPT_140250_Raw01_result.csv,140250,0.4,4.2021,0.1114,4.2021,0.1114,-0.0021,7,2,124.4275983,151.4770762,287.5382972,128.4717412,185.9808438,70.1231038,161.2833959,2.305950772,82.5,-0.410925714,-0.607636008,-1.248557766,-0.442910674,-0.812845385,0.16254597,-0.670364748
SCPT_140250_Raw01_result.csv,140250,0.41,3.9463,0.1091,3.9463,0.1091,-0.0021,7,2,123.3011795,150.1057837,281.4082314,127.9313818,186.2499069,69.84938128,161.7793535,2.338171077,82.5,-0.401831683,-0.598541977,-1.227008103,-0.438695747,-0.814291064,0.166457066,-0.673435098
SCPT_140250_Raw01_result.csv,140250,0.42,3.8124,0.1083,3.8124,0.1083,-0.0021,7,2,122.8989746,149.616143,278.3847753,128.1091048,187.3659734,69.92747812,162.5714929,2.357171702,82.5,-0.39856438,-0.595274674,-1.216205947,-0.440083989,-0.820265488,0.165339615,-0.678319568
SCPT_140250_Raw01_result.csv,140250,0.43,3.6622,0.1048,3.6622,0.1048,-0.0021,7,2,122.0041283,148.5267648,274.7818984,127.5465779,185.9345766,69.78963011,162.7968257,2.371828157,82.5,-0.391256589,-0.587966883,-1.203179393,-0.435683322,-0.81259658,0.16731286,-0.679704662
SCPT_140250_Raw01_result.csv,140250,0.44,3.5363,0.1043,3.5363,0.1043,-0.0017,7,2,121.6057322,148.0417609,271.7538904,127.7360585,187.2577803,69.85642162,163.6023381,2.391911703,82.5,-0.387985815,-0.584696109,-1.192098549,-0.437167799,-0.819687878,0.166356277,-0.684640422
SCPT_140250_Raw01_result.csv,140250,0.45,3.2927,0.1032,3.2927,0.1032,-0.0017,7,2,120.3941636,146.5668079,265.0330551,127.2428254,188.6251147,69.51424789,164.2217849,2.432631982,82.5,-0.377972763,-0.574683058,-1.167056261,-0.433298979,-0.826963232,0.171266556,-0.688419568
SCPT_140250_Raw01_result.csv,140250,0.46,3.1872,0.1021,3.1872,0.1021,-0.0016,7,2,119.9303513,146.0021668,262.3269513,127.2781596,189.2477134,69.55119214,164.8678833,2.449432406,82.5,-0.374112875,-0.570823169,-1.156793338,-0.433576631,-0.830258516,0.170735234,-0.692346153
SCPT_140250_Raw01_result.csv,140250,0.47,3.0816,0.1002,3.0816,0.1002,-0.0016,7,2,119.3250104,145.26523,259.523809,127.0799128,189.0319709,69.52113129,165.3218519,2.464474119,82.5,-0.369052656,-0.565762951,-1.146050155,-0.43201783,-0.829117866,0.17116754,-0.695095898
SCPT_140250_Raw01_result.csv,140250,0.48,2.9599,0.0949,2.9599,0.0949,-0.0015,7,2,118.1099498,143.7860259,256.0932247,125.9049502,185.2995208,69.2117573,164.9855262,2.472782396,82.5,-0.358817675,-0.55552797,-1.132743244,-0.422728966,-0.809175254,0.175627542,-0.693059457
SCPT_140250_Raw01_result.csv,140250,0.49,2.8299,0.0859,2.8299,0.0859,-0.0015,7,2,116.229884,141.4972501,252.2508344,123.595163,177.3658127,68.59126346,163.659636,2.470451837,82.5,-0.342771696,-0.53948199,-1.117625674,-0.404213116,-0.765416045,0.184633122,-0.684990588
