Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
11.5,12.0,11.75,213.0,7.595777546151444,0.09641579684349022,216.36492494120273,263.4007781892902,503.5924978711702,222.4699322330726,254.8264047469012,193.06989066160438,373.8348410090962,2.067958645195459
12.0,12.5,12.25,191.0,4.838292190089959,0.07025054254181938,199.28043703471707,242.6022711726989,425.6163007346987,199.97618672758563,227.76815790489044,178.29105962410503,361.3573378681491,2.2844429148684644
12.5,13.0,12.75,193.0,4.2739865384078675,0.06114240531635522,194.87247897678446,237.23606136304178,407.57187736405746,192.59628554219626,215.8996932655343,175.0656582045565,358.1759187570903,2.3390957699174275
13.0,13.5,13.25,187.0,7.905607724728042,0.09731785873897063,224.02741120301616,272.729022334107,517.5394827980307,225.1772422124195,255.60717984655892,200.9387797535721,385.9598521571041,2.076943000649956
13.5,14.0,13.75,178.0,2.2273366108040196,0.02962118607054089,170.36784193868547,207.4043293166608,319.9272059647466,159.43578335298227,169.43710878067506,153.2637943347996,330.66349546327706,2.651542731597221
14.0,14.5,14.25,187.0,4.35654499704139,0.04692991505812826,195.71226140631074,238.25840519029146,415.13487957736635,185.79284522541477,190.5513960961979,177.13182508160585,355.9990505290885,2.2955989474410785
14.5,15.0,14.75,202.0,4.33082568964227,0.06448066275430143,203.22725821605925,247.40709695868108,415.62941141043814,194.86894829971143,218.49890580792712,183.46115256753646,374.24678529501557,2.3872466657591933
15.0,15.5,15.25,245.0,4.732831819984989,0.05838656221456652,206.63354380849216,251.5538794190336,431.44492386061376,194.6974699922058,208.4570451698052,186.0129773107608,372.8229558296132,2.3285194867015835
15.5,16.0,15.75,286.0,13.071354723759589,0.11704832269216246,248.81905869616494,302.91015841272235,638.1388220584348,250.25074536795827,268.14149686845866,230.16691144004724,414.5534005807542,1.8301214642800014
16.0,16.5,16.25,327.0,14.874590636682452,0.08966135996282101,247.6347320316451,301.4683694298291,672.495287757532,245.06629334094376,234.94055007115563,231.36169900102658,404.0008630375201,1.7142116658851285
16.5,17.0,16.75,334.0,16.13548056199629,0.10687477546406082,256.80822898169566,312.6361048472818,695.8129999332178,255.01201072755995,252.26275384189086,239.535920338025,416.7637934271253,1.7151013287402255
17.0,17.5,17.25,331.0,16.224159165003936,0.09851121054997503,256.0428510815387,311.70434044709043,699.3010091759993,252.63051766155803,243.1943118215795,240.0648803343786,415.4703471592895,1.6986470021078113
17.5,18.0,17.75,256.0,15.947488382443767,0.09626813496840199,256.6468782030478,312.4396778124058,696.6847055926014,251.60159771322395,240.7821790417756,240.9204702215196,417.1814663880748,1.709135449227519
18.0,18.5,18.25,416.0,16.76951433220537,0.10965131300688422,263.7320218229603,321.0650700453425,712.1416787879563,259.0804239915675,254.64340640938693,247.20892139472647,427.4535882723101,1.716536275893064
18.5,19.0,18.75,266.0,14.705859793593737,0.08524797334600595,255.08735062428127,310.5411224991248,679.1099694853666,245.19878940442865,229.42229938622503,239.3546100469486,416.1260212788351,1.74538066258458
19.0,19.5,19.25,204.0,18.774785426079923,0.10899716790483065,270.5195283881778,329.3281215160427,747.4623136457184,265.82696759602993,257.33197033553586,254.89133340969062,433.2888681245454,1.6686606558755153
19.5,20.0,19.75,295.0,16.07454362593061,0.07874768986447113,257.2692593037957,313.1973591524467,706.1648335183594,247.4272264782308,223.29260160459077,244.35621406578753,417.583970668107,1.6833504041257215
20.0,20.5,20.25,388.0,21.57862187929632,0.0763886469352666,259.181201523227,315.5249409847979,792.1638683873065,258.4273403993662,218.35549572632792,256.07188836965895,419.4892966278366,1.4888663768906976
20.5,21.0,20.75,352.0,10.067053613924307,0.057948090509393736,240.31323500184087,292.55524261093626,593.2113825210195,221.54801492803188,202.9223087012507,225.7704135585075,404.9046472996315,1.9011814467356325
