Start Depth,End Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
10.0,10.5,234,17.642075576497547,0.03470628086107245,207.31920039469276,252.38859178484344,685.7131535894453,223.0538358862354,165.25846833418763,192.79030625519258,318.1895390156756,1.3951176033184616
10.5,11.0,231,29.021378135186616,0.06822666955403361,224.54947106408625,273.36457346932275,833.2061974491153,259.78223588975027,203.23393328999438,221.98923278568535,352.92565095006756,1.2195697036938264
11.0,11.5,240,6.09464927642398,0.07367438671114639,211.29683572557815,257.23093044853,460.7784540580588,210.50161494438458,227.39776096817218,180.7151227126286,356.45377543108265,2.2307617710016725
11.5,12.0,252,14.459228495869326,0.05613078253456607,224.5289774498329,273.3396247215362,644.1733003875673,229.90950439099976,193.65701210178847,202.52210685050838,350.110786690956,1.6291046860799467
12.0,12.5,243,10.01357291638921,0.02647634564415784,205.25133702892953,249.8711929047836,562.1066468683425,200.39904189371933,153.27326511051282,182.57614121429393,320.02330235229994,1.721370844340497
12.5,13.0,187,14.78452510852073,0.048099903030278376,224.31857257697527,273.083479658926,654.9393444784857,227.52967650124765,183.74240294324414,205.19406232889983,350.37976048863123,1.594039928488919
13.0,13.5,174,10.144892836793154,0.026481009489308455,209.40419264939337,254.92684322534828,569.3313648177373,201.88818243392876,154.23773676915002,186.95810747182483,326.4826453373871,1.7310753588369265
13.5,14.0,189,10.536381882229671,0.025035470828770175,210.65682708048936,256.4517894892915,579.744657926384,202.8410819720453,153.0665780360308,189.04409307495945,327.253639855967,1.7054909257102266
14.0,14.5,193,9.079357056784813,0.010067194703318906,198.85943555371793,242.089747630613,549.6330390044725,186.88740686843843,128.56711954789694,173.27309223598996,293.02078404698335,1.6994182648196219
14.5,15.0,190,10.580649291936838,0.05599480801277048,229.55151138543366,279.45401386052725,584.5554760654235,221.31101737945554,197.05300206545584,206.21550988375807,369.8811687381697,1.853364827489067
15.0,15.5,158,11.434342280501692,0.03107733430129146,221.68832138872892,269.88143473410486,604.1635274264673,211.38800509362844,164.0268805536551,200.4366251841758,345.7279756852696,1.7170121588040725
15.5,16.0,186,8.474008651125231,0.014449794684631914,204.30695291131715,248.72150789203795,540.5161081621072,186.7011945576755,131.46939386151212,181.77398722421026,314.83435007311016,1.7798137576312267
16.0,16.5,212,9.62004736007829,0.01605656347280997,209.31140740090913,254.81388727067235,569.1572904486959,193.2945135119938,136.17590887296635,188.3821824624035,322.01630122808166,1.7224723957053043
16.5,17.0,231,10.372372869408665,0.021350146819396027,216.32351326714192,263.35036397738975,587.5526773359845,200.54357375810594,146.00966596601697,196.6437432388985,336.9288727340644,1.7213481284715537
17.0,17.5,367,8.56526517356153,0.013297545362300626,208.05867945398668,253.2888271613754,547.7072455164006,186.8961695396166,130.20571545046988,185.4358394670602,318.7309754205159,1.784820291195966
17.5,18.0,379,12.665940358311078,0.04237504295956486,236.9678825945221,288.4826396802873,637.8735576863596,222.29658896672805,178.24913060324698,217.71426875440133,374.3313387957698,1.7306672943164303
18.0,18.5,321,14.400719435647416,0.06884228096009608,254.34530939691334,309.6377679614598,671.6560581757794,241.25885324675625,213.06659472255316,232.68122982778638,401.90086645851284,1.7628522770205055
18.5,19.0,265,14.589056841767025,0.050388706372119306,246.97715616937995,300.6678422931585,676.7592948214491,233.62727322099525,191.1540188814058,228.8705820985325,388.60969870480557,1.6912640482815762
19.0,19.5,351,11.304918220717253,0.014332950849364293,219.5586961421966,267.28884747745604,615.4759948927573,200.29377890129183,136.9741758581702,200.21710339579883,331.5941860104728,1.6544049971184382
19.5,20.0,329,11.279847053015649,0.03191281304956097,236.22888439101897,287.5829896934142,616.5208532192906,213.07714595272435,165.33620299495237,215.43310820751722,370.347981383784,1.78809863548493
20.0,20.5,255,22.333981316080024,0.25365210915146214,323.53880745753906,393.8733308178732,802.5240162377244,313.8798587749641,372.52954337640955,284.29813964487556,490.4431962693194,1.871004527486225
20.5,21.0,293,29.868808186294974,0.49442383363593134,369.7007318892361,450.0704562129837,899.0262054495809,368.0382504606981,517.3522305628098,315.47028964423316,539.3686883882166,1.9029339561846637
21.0,21.5,281,22.860803283380886,0.3526641982022593,344.89061439310063,419.8668349133401,813.6149660983101,331.1421382844043,431.73865720973976,297.1204732187124,518.283556256463,1.973571185742839
21.5,22.0,315,25.482951344496886,0.39425228216825897,356.21186029241164,433.6492212255447,850.0523878174038,343.79048409597283,455.5763541251234,306.584575292128,529.3783341885576,1.9445583776909336
22.0,22.5,273,25.22533040595134,0.5494429040973479,377.3852572692829,459.4255305886915,848.6689504396803,362.5045309126539,539.760583585902,316.6824338052416,555.8668433669455,2.0743644425950434
22.5,23.0,275,21.90607249017791,0.39735573003204305,356.7359580091754,434.2872532285611,805.8963034676926,334.1626754570639,453.11163924364143,303.95050713289095,535.3812986308519,2.066923075968723
23.0,23.5,254,22.513317753107007,0.36927325978831615,355.4893752290726,432.7696741919145,816.1182050633413,331.56585683654316,434.911171692749,305.13798351645084,533.3377057133961,2.0287429415088725
23.5,24.0,322,23.556710116820046,0.3811681135788397,360.6268282545938,439.02396483168025,832.127332906954,335.8171550255581,440.5910167155233,309.77177205550925,538.6123257111012,2.0149991647905368
24.0,24.5,282,19.585895550468216,0.3224314720751282,348.1280312358246,423.8080380262207,777.0418173028023,315.4424155063265,402.94764408580465,299.21324460239595,529.0838065960164,2.0940572096321683
24.5,25.0,317,22.754503199927875,0.4890784972924365,377.34100187461985,459.3716544560582,824.5485727897164,345.9391332747446,493.740023861578,318.3034926296241,562.0458251436295,2.1376160023338038
25.0,25.5,390,18.828178111874585,0.39946924009812923,361.02332367445956,439.5066549080374,768.4922761374287,322.4607358797465,442.80312194888205,306.27822184692786,549.4583100907364,2.204654180667926
25.5,26.0,340,19.920825193305852,0.3534619004622931,359.2473344636327,437.3445810861612,786.7785827385927,319.4951516802194,415.48748471389735,307.32737224382157,543.7042718323191,2.134079034064006
26.0,26.5,335,21.0188491338512,0.33937988989309187,360.6337260678945,439.0323621696104,804.6143086048827,320.47493908451327,406.28689380921963,310.3227243330935,543.692544970549,2.08837601379367
26.5,27.0,282,9.358965617369796,0.3124469937321964,325.63482879554385,396.425008968488,591.6744272074701,271.264178017478,387.9704478192859,275.74824471686185,537.2278839258764,2.6446584205461665
27.0,27.5,282,6.5733185428142304,0.15545042982411636,286.1945321492399,348.41073479037846,517.8403992157181,232.05954970779683,291.0980016505469,248.59305234869905,491.63674508166497,2.668895425193098
27.5,28.0,283,13.928978013931138,0.3282232947055289,346.13163123460873,421.37763802474086,691.3872834002573,294.9862127075001,397.14472900125793,296.2019935997028,547.3322395240707,2.36794091695284
28.0,28.5,320,5.46,0.2406,293.15752097611164,356.88741684048387,483.8161898492685,239.4281667050034,350.5415728803279,252.8896369671728,523.2562131819739,2.9577522745163964
