Lag (m),Fitted_Semivariance
1.6600000000000001,0.01876626451593991
1.68,0.01879703334588065
1.7,0.018827802175821393
1.72,0.018858571005762135
1.74,0.018889339835702876
1.76,0.01892010866564362
1.78,0.018950877495584363
1.8,0.018981646325525105
1.82,0.019012415155465846
1.84,0.019043183985406588
1.86,0.01907395281534733
1.8800000000000001,0.01910472164528807
1.9000000000000001,0.019135490475228813
1.92,0.019166259305169554
1.94,0.0191970281351103
1.96,0.01922779696505104
1.98,0.019258565794991783
2.0,0.019289334624932524
2.02,0.019301702077057944
2.04,0.019314069529183367
2.06,0.019326436981308787
2.08,0.019338804433434206
2.1,0.01935117188555963
2.12,0.01936353933768505
2.14,0.01937590678981047
2.16,0.019388274241935892
2.18,0.01940064169406131
2.2,0.01941300914618673
2.22,0.019425376598312154
2.24,0.019437744050437574
2.2600000000000002,0.019450111502562994
2.2800000000000002,0.019462478954688417
2.3000000000000003,0.019474846406813837
2.32,0.019487213858939256
2.34,0.019499581311064676
2.36,0.0195119487631901
2.38,0.01952431621531552
2.4,0.01953668366744094
2.42,0.01954905111956636
2.44,0.01956141857169178
2.46,0.0195737860238172
2.48,0.019586153475942624
2.5,0.019598520928068044
2.52,0.01960349199366817
2.54,0.019608463059268298
2.56,0.019613434124868424
2.58,0.019618405190468553
2.6,0.019623376256068678
2.62,0.019628347321668804
2.64,0.019633318387268932
2.66,0.019638289452869058
2.68,0.019643260518469187
2.7,0.019648231584069312
2.72,0.019653202649669438
2.74,0.019658173715269567
2.7600000000000002,0.019663144780869692
2.7800000000000002,0.01966811584646982
2.8000000000000003,0.019673086912069947
2.82,0.019678057977670072
2.84,0.0196830290432702
2.86,0.019688000108870327
2.88,0.019692971174470456
2.9,0.01969794224007058
2.92,0.019702913305670706
2.94,0.019707884371270835
2.96,0.01971285543687096
2.98,0.01971782650247109
3.0,0.019722797568071215
3.02,0.01972479567511462
3.04,0.019726793782158022
3.06,0.019728791889201427
3.08,0.019730789996244832
3.1,0.019732788103288237
3.12,0.019734786210331638
3.14,0.019736784317375043
3.16,0.019738782424418448
3.18,0.01974078053146185
3.2,0.019742778638505255
3.22,0.01974477674554866
3.24,0.019746774852592065
3.2600000000000002,0.019748772959635466
3.2800000000000002,0.01975077106667887
3.3000000000000003,0.019752769173722276
3.3200000000000003,0.01975476728076568
3.34,0.019756765387809083
3.36,0.019758763494852487
3.38,0.019760761601895892
3.4,0.019762759708939294
3.42,0.0197647578159827
3.44,0.019766755923026104
3.46,0.01976875403006951
3.48,0.01977075213711291
3.5,0.019772750244156315
3.52,0.019773553378147707
3.54,0.0197743565121391
3.56,0.01977515964613049
3.58,0.01977596278012188
3.6,0.019776765914113273
3.62,0.019777569048104664
3.64,0.01977837218209606
3.66,0.01977917531608745
3.68,0.019779978450078842
3.7,0.019780781584070234
3.72,0.019781584718061625
3.74,0.019782387852053017
3.7600000000000002,0.01978319098604441
