Depth,Qc,Fs,u
5.8,12.98,0.0975,0.0017
5.81,13.38,0.1,0.0032
5.82,13.57,0.1048,0.0011
5.83,13.66,0.1067,0.0016
5.84,13.73,0.1078,0.002
5.85,13.8,0.1122,0.0024
5.86,13.89,0.1115,0.0025
5.87,14.09,0.1136,0.0035
5.88,14.16,0.1152,0.0028
5.89,14.61,0.1147,0.0015
5.9,14.83,0.1149,0.0029
5.91,15.44,0.1161,0.0061
5.92,15.71,0.1182,0.0064
5.93,16.6,0.1187,0.0084
5.94,16.94,0.1205,0.0099
5.95,17.47,0.1234,0.0094
5.96,17.58,0.1296,0.0086
5.97,17.63,0.1358,0.007
5.98,17.59,0.1377,0.0077
5.99,17.55,0.1393,0.0082
6,17.49,0.1393,0.0078
6.01,17.48,0.1403,0.0085
6.02,17.56,0.1431,0.009
6.03,17.31,0.1433,0.0096
6.04,17.04,0.1438,0.0077
6.05,17.08,0.1443,0.0104
6.06,17.1,0.142,0.0091
6.07,17.17,0.1433,0.0082
6.08,17.23,0.1441,0.0107
6.09,17.28,0.1441,0.0087
6.1,17.31,0.1429,0.0098
6.11,17.39,0.1408,0.0113
6.12,17.27,0.142,0.0112
6.13,16.95,0.1445,0.0076
6.14,16.8,0.1467,0.0073
6.15,16.29,0.1454,0.0063
6.16,16.29,0.1465,0.0063
6.17,15.87,0.147,0.0089
6.18,15.65,0.146,0.0086
6.19,15.47,0.1456,0.0081
6.2,15.3,0.145,0.008
6.21,14.9,0.1412,0.0088
6.22,14.64,0.1386,0.0096
6.23,14.32,0.1337,0.0095
6.24,13.64,0.1305,0.0085
6.25,13.28,0.1273,0.008
6.26,12.52,0.1211,0.0072
6.27,12.11,0.1191,0.0063
6.28,11.21,0.1165,0.0052
6.29,10.79,0.1075,0.0047
6.3,9.95,0.1014,0.0049
6.31,9.5,0.0921,0.004
6.32,9.06,0.0829,0.004
6.33,8.13,0.0781,0.0029
6.34,7.7,0.0739,0.0023
6.35,7.31,0.0655,0.0016
6.36,6.44,0.0612,0.0006
6.37,6.05,0.0536,0.0009
6.38,5.29,0.0463,0.0006
6.39,4.6,0.0433,0.0001
6.4,4.25,0.0409,-0.0002
6.41,3.99,0.0365,0.0001
6.42,3.48,0.0347,0.0003
6.43,3.23,0.0325,0
6.44,2.79,0.0305,0
6.45,2.45,0.0281,-0.0002
6.46,2.28,0.0273,-0.0003
6.47,2.1,0.0273,0.0007
6.48,1.88,0.0269,-0.001
6.49,1.8,0.027,-0.0018
6.5,1.7,0.0265,-0.0018
6.51,1.53,0.026,-0.001
6.52,1.41,0.0257,-0.0002
6.53,1.33,0.0257,0.0016
6.54,1.26,0.0247,0.0031
6.55,1.19,0.0244,0.0041
6.56,1.03,0.0246,0.0129
6.57,0.92,0.0247,0.0266
6.58,0.82,0.0258,0.0426
6.59,0.79,0.0261,0.0492
6.6,0.79,0.0272,0.0492
6.61,0.69,0.0271,0.0923
6.62,0.67,0.0276,0.1139
6.63,0.65,0.0286,0.1304
6.64,0.63,0.0296,0.1473
6.65,0.63,0.0312,0.1402
6.66,0.63,0.0312,0.1355
6.67,0.64,0.0312,0.1144
6.68,0.63,0.0638,0.1099
6.69,0.65,0.0677,0.1039
6.7,0.64,0.0688,0.1126
6.71,0.66,0.07,0.1072
6.72,0.69,0.0697,0.0979
6.73,0.69,0.0684,0.0979
6.74,0.69,0.0682,0.0979
6.75,0.95,0.0687,-0.0017
6.76,0.92,0.0683,0.0084
6.77,0.91,0.069,0.0154
6.78,0.88,0.0682,0.0423
6.79,0.87,0.0657,0.0436
6.8,0.84,0.0633,0.0447
6.81,0.83,0.0611,0.0513
6.82,0.86,0.059,0.0577
6.83,0.93,0.0574,0.0469
6.84,0.95,0.0564,0.0306
6.85,0.99,0.0542,0.0219
6.86,1.07,0.0532,0.0056
6.87,1.11,0.05,-0.0006
6.88,1.13,0.0483,-0.0026
6.89,1.16,0.0463,-0.0051
6.9,1.23,0.0448,-0.0055
6.91,1.29,0.0428,-0.005
6.92,1.36,0.0424,-0.0047
6.93,1.5,0.0425,-0.0038
6.94,1.69,0.0394,-0.0028
6.95,1.76,0.0391,-0.0015
6.96,1.86,0.0388,-0.001
6.97,1.97,0.0379,0.0008
6.98,2.03,0.0356,-0.0007
6.99,2.14,0.0351,-0.0008
7,2.19,0.0344,0.0002
7.01,2.24,0.0351,-0.0014
7.02,2.24,0.034,-0.0005
7.03,2.26,0.0344,-0.0013
7.04,2.31,0.0337,-0.0005
7.05,2.35,0.0328,-0.0007
7.06,2.39,0.0334,0.0001
7.07,2.37,0.0344,-0.003
7.08,2.31,0.0328,0
7.09,2.32,0.0328,0.0003
7.1,2.31,0.0328,-0.0005
7.11,2.29,0.0369,0.0004
7.12,2.33,0.0424,0.0002
7.13,2.29,0.0404,-0.001
7.14,2.31,0.0433,-0.0001
7.15,2.37,0.0445,-0.0004
7.16,2.37,0.0496,-0.0004
7.17,2.49,0.0556,-0.0004
7.18,2.69,0.0578,-0.0007
7.19,3.02,0.0627,0.0009
7.2,3.24,0.0691,0.0003
7.21,3.94,0.075,0.0019
7.22,4.03,0.078,-0.0016
7.23,3.82,0.0792,-0.0011
7.24,3.17,0.0778,0.0026
7.25,2.97,0.0741,0.0027
7.26,3,0.0737,0.0008
7.27,2.98,0.0764,-0.0005
7.28,2.91,0.0772,0.0028
7.29,2.98,0.079,0.0018
7.3,3.01,0.0637,0.0014
7.31,3.13,0.0607,0.0009
7.32,3.18,0.0566,0.0012
7.33,3.24,0.0553,0.0006
7.34,3.42,0.0531,-0.0001
