Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
11.99,3.083,0.1502,3.083,0.1502,0.033,200.04793434029543,243.5366157186205,357.9904099091439,217.55139666033284,349.16759121572835,176.93157678294423,395.4453782075825,2.7927293214896403,176.0
12.0,2.772,0.1492,2.772,0.1492,0.0219,196.0903840923013,238.7187284601929,343.69890739760405,214.49339780841825,351.6535740106133,174.18680220336884,394.8746259650392,2.861316265853776,149.0
12.01,2.337,0.1482,2.337,0.1482,-0.0193,189.7202543658141,230.9637879235998,321.6512313574515,209.77249145464376,356.715372178592,169.90182135674715,394.1145578906728,2.974927324946361,149.0
12.02,1.995,0.1462,1.995,0.1462,-0.0363,183.78213513070096,223.7347732025925,302.5920732678759,205.17638747839976,360.1251274931224,165.92570613260122,393.0414213205436,3.078945785892893,149.0
12.03,1.899,0.1392,1.899,0.1392,-0.0407,181.2577735912957,220.6616374154904,296.89934270038134,202.01696293723245,352.61617357177266,164.11992841249997,390.48211274467167,3.098555094748242,149.0
12.04,1.649,0.1203,1.649,0.1203,-0.0407,174.15309309993083,212.0124611651332,281.27027851755986,193.099016233242,331.3597891070272,158.9182623959142,382.8249381310233,3.15309814845566,149.0
12.05,1.465,0.107,1.465,0.107,-0.0407,168.54175451481768,205.181266365865,268.8023230992211,186.1070879519167,315.69619229563204,154.75749578591888,376.787570487104,3.2022731870471177,149.0
12.06,1.365,0.0939,1.365,0.0939,-0.0406,164.49789263839472,200.258304081524,261.623769621438,180.04151872583327,297.3889961165554,151.5733050661782,370.3284972918056,3.2152428050080237,149.0
12.07,1.238,0.0813,1.238,0.0813,-0.0394,159.5981180510824,194.29336110566555,252.0260528237474,173.16889706391473,279.3420969448025,147.71402499931548,363.27005397454633,3.2449586054878714,149.0
12.08,1.223,0.0616,1.223,0.0616,-0.0389,155.8112085761542,189.6832104405356,250.87607774726203,164.63693795272243,243.68649602959823,144.13088046843097,350.44118333471664,3.176999876751543,149.0
12.09,1.184,0.0524,1.184,0.0524,-0.0385,152.96375432443162,186.21674439496024,247.7968373142293,159.4305540829666,226.1398909863732,141.57920737213715,343.13852447627863,3.1572339470953024,149.0
12.1,1.149,0.0442,1.149,0.0442,-0.0385,150.1759050128472,182.8228408852053,244.97501261606985,154.30467272732778,209.31428827344288,139.0235225709667,335.62609296717346,3.134575187707079,149.0
12.11,1.042,0.0349,1.042,0.0349,-0.0377,144.9721907903807,176.48788444046346,235.9694100314102,146.44035388307546,189.6541659152431,134.449551171766,325.3080049677618,3.146439582278521,149.0
12.12,1.007,0.0321,1.007,0.0321,-0.0373,143.23625801093692,174.3745749698363,232.91404494096267,143.78406901430586,183.26794180501804,132.89471581057438,321.77625328902064,3.1513142964491982,149.0
12.13,0.965,0.0287,0.965,0.0287,-0.0369,141.03898574923477,171.6996348251554,229.1528648552037,140.3889534386488,175.1118899123298,130.89023764088313,317.0930232737447,3.156007751770409,149.0
12.14,0.903,0.023,0.903,0.023,-0.0365,137.27389749966824,167.1160491300309,223.39564204663336,134.34304423062184,160.10748804199872,127.31309157769655,308.0092726590242,3.1533611057664466,149.0
12.15,0.88,0.0202,0.88,0.0202,-0.036,135.4797418031317,164.9318595864212,221.21483483143143,131.23483281170968,151.9322122545788,125.5103951042251,302.8603385798301,3.14290195224089,149.0
12.16,0.861,0.02,0.861,0.02,-0.0358,134.90654391052863,164.23405345629575,219.38510717364716,130.59305711228257,151.59963484680458,125.04182403703778,302.4829310156392,3.157861656620772,149.0
12.17,0.807,0.0197,0.807,0.0197,-0.0354,133.3007189256623,162.27913608341498,214.00518994843185,128.97426572078547,151.55321739446504,123.75395564653284,301.80730357425034,3.2055898304012493,149.0
12.18,0.78,0.019,0.78,0.019,-0.0348,132.23812250211475,160.9855404373571,211.24685491504897,127.58508060686496,149.75484638038384,122.80779700635736,300.3779074708537,3.224602708824224,149.0
12.19,0.765,0.0183,0.765,0.0183,-0.0346,131.50470128171094,160.09267982121332,209.69330585080527,126.4776843498419,147.70025311794498,122.1117739170008,298.93476803436465,3.231870329255333,149.0
12.2,0.746,0.0174,0.746,0.0174,-0.0342,130.54481892578565,158.92412738791296,207.69584494332196,125.02669188575835,144.98952161979767,121.18973468674156,296.98769942440146,3.24093111677575,149.0
12.21,0.739,0.0164,0.739,0.0164,-0.034,129.86854325230289,158.10083526367308,206.96350775897668,123.75777777030171,141.63183769943765,120.45965530479285,294.7518146180031,3.2353951666402194,149.0
12.22,0.739,0.0164,0.739,0.0164,-0.0334,129.89983784877725,158.13893303329405,206.99258635715864,123.7552579529134,141.62489204364664,120.487073722362,294.8128706446789,3.235671753335634,149.0
