Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
1.62,0.853,0.0243,0.0243,0.0104,96.42471061316007,117.38660422471662,179.95140255016324,111.21237805767198,137.03014741802906,72.46444632226334,186.28800530660232,2.869492835451425,80.0
1.64,0.8558,0.0229,0.0229,0.0113,96.18535181181878,117.0952109013446,180.4249508817783,110.357571655277,133.5431564021066,72.38896486589631,185.43572925485856,2.852338831508131,80.0
1.66,0.855,0.0193,0.0193,0.0138,95.03043235571327,115.68922199825968,180.66163852695377,107.5694956871397,123.93693645903991,71.59987245146283,181.9139906560171,2.809818561323805,80.0
1.68,0.8582,0.0174,0.0174,0.0147,94.47641176917416,115.01476215377724,181.1627976225138,106.06207365868484,118.61802718800251,71.26169308440315,180.0292038686794,2.7823164627659653,80.0
1.7,0.8456,0.018,0.018,0.016,94.62127006209484,115.19111137994156,180.40477113411205,106.56748545815172,120.66156957427737,71.54544633723391,181.3467509185132,2.799489677100849,80.0
1.72,0.8259,0.0166,0.0166,0.0178,93.76229492104284,114.14540251257392,179.06962595535515,105.10526902730408,116.90263858383568,71.05608210861865,179.94830787734168,2.7943027351234377,80.0
1.74,0.7701,0.0177,0.0177,0.0202,93.14426705820782,113.39302076651389,174.67727941916553,105.38563043063374,120.97828460395392,70.94717069766078,181.89287545839144,2.852553626318865,80.0
1.76,0.7263,0.0181,0.0181,0.0181,92.3721864703337,112.45309657258018,170.97115658917227,105.11607503668496,122.90918201846164,70.706343169045,182.87103960668333,2.8954239781936826,80.0
1.78,0.7279,0.019,0.019,0.0183,92.89908444048926,113.09453757972608,171.31244455690987,106.07677611475248,125.70116685291966,71.23762960699199,184.55818682202627,2.9061792029357845,80.0
1.8,0.7539,0.0205,0.0205,0.021,94.2581918254858,114.74910309189578,173.8916833727697,107.96579341072534,129.79268414092732,72.27570372259768,186.96651062884175,2.90245379338981,80.0
1.82,0.7224,0.021,0.021,0.0226,93.80616530071136,114.1988099313008,171.359889625209,107.97301214331596,131.83715547551165,72.19811594050496,188.01880155870367,2.9348388678316137,80.0
1.84,0.6936,0.0198,0.0198,0.0208,92.75167772584513,112.9150859271158,168.86532491744296,106.5669533435023,129.03877862435755,71.64404479605751,187.04639683459445,2.946518745353263,80.0
1.86,0.6772,0.0164,0.0164,0.0197,91.11938153093122,110.9279427333076,167.48414120273188,103.30792330940244,119.20914803246764,70.50139357405398,182.9883899549428,2.9159954496138862,80.0
1.88,0.6679,0.0141,0.0141,0.0226,90.01338222052532,109.58150879020474,166.90366892525438,100.9490698024558,112.03741230751169,69.69110318740856,179.89663530539116,2.887824478092925,80.0
1.9,0.6845,0.0134,0.0134,0.0242,90.2432172194927,109.86130791938244,168.6933371316625,100.62694710455064,109.616177299316,69.84813257028058,179.22137452343833,2.8603837347772028,80.0
1.92,0.7304,0.0115,0.0115,0.026,90.48420534280572,110.1546847651548,173.11406636803196,99.36473083521528,102.66663622599113,69.81781215539867,176.24468755885982,2.785150937604016,80.0
1.94,0.7804,0.0095,0.0095,0.0264,90.47655149979526,110.14536704322902,177.68119215355586,97.715432335044,95.04177388751656,69.57792114418609,172.45699305035828,2.7032074713894163,80.0
1.96,0.8295,0.0092,0.0092,0.0264,91.4064255088463,111.2773875759868,181.99836243893736,98.17772733143156,93.69124618585836,70.20514824314495,172.26307695852893,2.6596336303914,80.0
1.98,0.9067,0.0099,0.0099,0.0191,93.44989866315088,113.76509402470542,188.1592839538817,100.3546918160946,95.9547152968116,71.74691431669757,174.47526016991506,2.623331059884465,80.0
2.0,0.9151,0.0107,0.0107,0.0097,94.1937092060679,114.67060251173484,188.69624383141348,101.58511493170792,98.91346421380238,72.50942936403406,176.7075488478374,2.63707003262468,72.0
2.02,0.847,0.0107,0.0107,0.0078,92.9774700829802,113.18996357928025,183.34329310461996,100.67120106107336,99.49678832815844,71.90507909706578,177.05160995594264,2.685350328300375,72.0
2.04,0.798,0.0139,0.0139,0.0077,93.88509650188855,114.29490008925566,179.40428767590166,103.79882744542144,111.04061854269244,73.05562395365834,183.5536112182364,2.7811203808167475,72.0
2.06,0.7838,0.0151,0.0151,0.0104,94.30463464654952,114.80564217840812,178.45330190739173,104.97730736467068,115.21560284418447,73.56878001182369,185.97402230375164,2.8109919543709543,72.0
2.08,0.7857,0.0145,0.0145,0.0132,94.2043523142298,114.68355933906238,178.89005873025465,104.5166371386017,113.38159757467004,73.54445716521752,185.45242620666983,2.7993019999140603,72.0
2.1,0.7363,0.014,0.014,0.0151,92.9413813548965,113.14602947552618,174.77561305892067,103.2616757107097,112.39847093681028,72.84157122952536,184.9669294668507,2.83126980361943,72.0
2.12,0.6545,0.0146,0.0146,0.0173,91.28541849215084,111.1300746860967,167.40163776482802,102.5145918708974,115.53400599747368,72.0562189036725,186.2628873566072,2.914396727639522,72.0
2.14,0.6211,0.017,0.017,0.0218,91.5549812153088,111.45823800124548,164.46360498066085,104.3921351746246,123.9713591034007,72.61316598034196,190.36284867916413,2.982462110074537,72.0
2.16,0.6091,0.0153,0.0153,0.0248,90.64603884051331,110.35169945801624,163.53787078481855,102.6090807735216,118.75780510347984,71.96486464966445,188.1885240349212,2.9682969430295927,72.0
2.18,0.5961,0.0112,0.0112,0.0289,88.41373193269659,107.63410843980456,162.54238992220007,97.8620916164596,104.5614654864239,70.08737227401188,181.102711519888,2.9076685399751847,72.0
2.2,0.6383,0.0109,0.0109,0.033,89.55732420469717,109.02630772745744,167.08077692307947,98.47289135784295,103.04501540303283,70.80131194244048,180.973640253362,2.8576604244186434,72.0
2.22,0.7316,0.0151,0.0151,0.0354,94.26047925321244,114.75188778651952,176.08508577222895,105.1715604584305,116.78099213204727,74.37285423191543,189.4304044188639,2.84737354208618,72.0
2.24,0.7707,0.0139,0.0139,0.0326,94.67636936652792,115.258188794034,179.6096107167183,104.65561756402867,112.52304489827236,74.60509577242453,187.9002594364649,2.7969830275966867,72.0
2.26,0.7984,0.0155,0.0155,0.0263,96.14988493403816,117.0520338327421,181.93986093734296,106.89711651896027,117.62046669519012,75.85378495624659,191.0595467717651,2.8028848288307104,72.0
2.28,0.8261,0.0182,0.0182,0.02,98.03772637953055,119.35027559247202,184.23144753224665,110.0745931223329,125.83645188567462,77.43946309841468,195.5746643366931,2.822347672110409,72.0
2.3,0.8538,0.0164,0.0164,0.0147,97.91068083468213,119.19561145091735,186.52102817060276,108.86989166565108,120.19040365361047,77.32598955858307,193.4187773529239,2.778569537408314,72.0
2.32,0.8356,0.016,0.016,0.012,97.41723315961885,118.59489254214468,185.06645343318277,108.27623753022704,119.28681875177531,77.11399722450373,193.1908715416223,2.7872834182828883,72.0
2.34,0.7451,0.0194,0.0194,0.0157,96.90021598527784,117.96548032990346,177.47754645953424,110.10388943333724,130.98859204362807,77.258500029732,198.3535510963011,2.905200642872608,72.0
2.36,0.7024,0.0197,0.0197,0.0215,96.08673115024293,116.97515096551314,173.93065456969035,109.73997566807766,132.65588044193746,76.88404514041203,199.0910911774645,2.944518298879988,72.0
2.38,0.7863,0.0176,0.0176,0.0242,97.47085395786117,118.66017003565706,181.7481255879985,109.47639963687784,125.2268729135605,77.59763411504512,196.7785361964076,2.8450463253003333,72.0
2.4,0.9172,0.0147,0.0147,0.0221,98.9924743886292,120.51257751659206,192.7152105954266,108.718028652586,114.83804378418282,78.34273150391209,192.85312785777427,2.7072526742120777,72.0
2.42,1.0983,0.0138,0.0138,0.0168,101.7981966030619,123.92823934285798,206.32834927033227,110.28889901672842,110.67651551168612,80.16638139569619,191.9334454501402,2.583111151376252,72.0
2.44,1.2819,0.0119,0.0119,0.0191,103.43837142155635,125.9249739045034,219.0434055354837,110.33583045264362,103.57817026371622,81.1546837642752,188.88114516012217,2.455971400841144,72.0
2.46,1.5169,0.0131,0.0131,-0.0016,107.17008259048056,130.46792663188938,233.18358324809645,114.2585464472708,106.54701019789984,84.00189845987302,191.889268542193,2.378007826580031,72.0
2.48,1.5013,0.0127,0.0127,-0.0559,106.56838311817287,129.73542292647133,231.0945595613614,113.52606322461104,105.57109871754145,83.84987449548369,191.4945303593869,2.3871512909353507,72.0
