Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
2.56,3.5055,0.0306,-0.0406,131.6158084244655,160.2279406906537,321.8434164659911,145.60443171254826,144.68083823754802,102.81758708278403,217.780706249921,2.0652625237738302
2.58,4.2834,0.0322,-0.0395,135.67430273315745,165.16871637080038,347.85092729169094,150.5146203287516,145.79295334797163,106.50688955838535,219.98650511697159,1.9547580772423256
2.6,4.7527,0.0336,-0.0386,138.0054272013305,168.0066070277067,362.28476760668246,153.60027727909426,147.50427351972118,108.72914967280234,221.81018164458476,1.9015441918838574
2.62,5.0102,0.0352,-0.0377,139.65046762905467,170.00926493971872,369.9769601191587,155.89320504904433,150.11475192731913,110.21678842253775,223.67603511801997,1.8807226248796036
2.64,5.1348,0.0364,-0.0367,140.69407506816157,171.27974356124017,373.7690785335634,157.37555475832025,152.2557769246529,111.15026902916556,225.12649140304532,1.8740041589692014
2.66,5.2311,0.0371,-0.0351,141.4136595287019,172.15575942624582,376.73934390796603,158.40046277525568,153.51702140377745,111.85884937758283,226.14709122810402,1.8673449959315256
2.68,5.3274,0.0376,-0.0332,142.0318228167121,172.90830603773645,379.684392135481,159.2834014114749,154.40345278055108,112.5118047336604,227.0013768726464,1.8594744558667966
2.7,5.437,0.0378,-0.0318,142.5349496625695,173.5208082848672,382.95486749954557,160.00458098824575,154.7074235454711,113.12550027137743,227.61997996749264,1.8483076544476622
2.72,5.5588,0.0379,-0.0297,143.01093832407682,174.1002727423544,386.52334905634024,160.6952368944505,154.80335883732474,113.74499705344199,228.16112270049607,1.8353492119786698
2.74,5.6515,0.0381,-0.0278,143.45542739728114,174.64138987495096,389.28179901828463,161.34788796159424,155.15218440642005,114.2985786647015,228.7688590755644,1.8264988815473822
2.76,5.7197,0.0375,-0.0256,143.45865584998026,174.64532016519337,391.37923205945407,161.37476445226523,154.09775399570862,114.57685339459117,228.7380318913054,1.8151364340286729
2.78,5.7834,0.0331,-0.0238,141.51837560327982,172.2832398648624,393.34242554755656,158.68950813841138,145.97201878673846,113.80527301334193,225.48667566156584,1.7778149707515192
2.8,5.8879,0.0288,-0.0219,139.47018360084775,169.7897887314668,396.34876534836906,155.97006986918038,137.69440576765342,113.01384045898851,221.87556069604915,1.734287716164808
2.82,5.9811,0.0285,-0.0202,139.5900905142088,169.9357623651238,399.03674452560256,156.2209742407391,137.12314467976168,113.3954611877517,221.99888412810336,1.7223797486629968
2.84,6.083,0.0319,-0.0183,141.8364588658431,172.67047166276552,401.92509447243816,159.3455126472768,143.67029430046216,114.96560094890864,225.70675455826867,1.7382292769491616
2.86,6.2465,0.0344,-0.0165,143.60227555015248,174.82016153931608,406.3241824531885,161.88245587593963,148.24395765450168,116.35729651155465,228.3813686258529,1.7400694537400634
2.88,6.4785,0.0368,-0.0148,145.37391049822344,176.97693451957636,412.33215010248415,164.4849290370795,152.39932798635124,117.85462389177492,230.86132412687624,1.7342284316476004
2.9,6.6735,0.0388,-0.013,146.82956057885403,178.74903026990927,417.3381294078391,166.6384701830222,155.81489737270553,119.10895856387344,232.91356903838386,1.7291689775676455
2.92,6.8203,0.0403,-0.0115,147.92931432449151,180.08786091677229,421.1256111048889,168.27689144165592,158.3831643243371,120.08873647772432,234.51002801691126,1.725327317822317
