Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
16.22,11.3054,0.0926,0.1318,245.1332754534177,298.4231179432911,605.983339192918,237.24797363254532,240.59436938283335,222.9019385506435,404.7215825585203,1.9077681304601257
16.23,11.4361,0.094,0.1319,245.88555385896467,299.33893513265264,608.6816595702342,238.19576392222308,242.07497875285992,223.58775090110248,405.6095937592453,1.904542533995571
16.24,11.5668,0.0968,0.132,247.10470536750938,300.82311957783753,611.3615897324491,239.6793358150435,245.16350744763764,224.53864482096438,407.25797175299823,1.9053570389723118
16.25,11.6898,0.1,0.1321,248.4238405032811,302.4290232213857,613.8693657165786,241.27151537398296,248.68178892463982,225.5273818558069,409.0792294512223,1.907610492794405
16.26,11.6591,0.1006,0.1322,248.6057123220209,302.65043239202544,613.2920749177787,241.41693481047443,249.39925478197546,225.59253777106045,409.4532390676419,1.9111516442703451
16.27,11.629,0.1009,0.1324,248.68929003305382,302.7521791706742,612.726122382648,241.44998977026327,249.7740683044991,225.6028755417078,409.66765079353104,1.913830570250011
16.28,11.6262,0.101,0.1334,248.75605508560162,302.8334583650802,612.7109694346067,241.4879606105024,249.88816851317574,225.65214287599775,409.7833768707208,1.9144197370140295
16.29,11.6292,0.0988,0.1347,248.07685264207413,302.00660321643807,612.8134424787146,240.67217659623068,247.3742451196479,225.2868733802189,408.6761198520946,1.9082993361301732
16.3,11.6322,0.0966,0.131,247.38284774685314,301.1617276918212,612.896811847228,239.84221491150842,244.84435799023936,224.91291093888455,407.5455388322919,1.9021253698850296
16.31,11.7437,0.0922,0.1306,246.09303108750245,299.59151610652475,615.1654791756431,238.44756868090016,239.6133445490581,224.3905707370931,405.17457374950766,1.8833203157359968
16.32,11.759,0.0916,0.1307,245.94492828327066,299.4112170405034,615.5085935487974,238.26087292169368,238.8941246392721,224.34928328903706,404.8975108843218,1.8808607295914317
16.33,11.7552,0.0915,0.1309,245.9416948985022,299.4072807460027,615.470845471565,238.21860810209753,238.7802894943418,224.35670668769927,404.90179730018787,1.8809370797936504
16.34,11.7667,0.0905,0.1312,245.64327079928364,299.04398184260623,615.7387497065264,237.8591522049112,237.59480364728236,224.22188518332533,404.3893267799889,1.8774807967074978
16.35,11.7206,0.0909,0.1305,245.74856467799773,299.1721656949538,614.8526422144618,237.89520457072933,238.11360677219318,224.21534891039255,404.67211722054145,1.8814054980619688
16.36,11.6475,0.0896,0.131,245.2025594195889,298.5074636412387,613.427072203579,237.16842184449825,236.66418510596404,223.78380638512098,403.95881869949096,1.8817412530963273
16.37,11.3631,0.0885,0.1299,244.36570764469423,297.48868756745384,607.7065401820036,235.89601213788964,235.67485598964086,222.7979500901358,403.29921160626844,1.8946940840809143
16.38,11.217,0.0859,0.1318,243.20940100401643,296.08100991793305,604.760330743228,234.4043439057772,232.73421462451208,221.87111543729517,401.7624747195799,1.895252909127452
16.39,11.0901,0.0834,0.1291,242.10218612522263,294.73309615244494,602.1692128608172,232.987773625883,229.85947081477312,221.00304672509628,400.2509207578527,1.8949697876581209
16.4,10.9671,0.0802,0.129,240.71694981212693,293.0467215104154,599.6506570504343,231.2634976434892,226.08813211483377,219.9703293384481,398.24891033849275,1.8920268737389487
16.41,10.8326,0.0794,0.129,240.20914117940563,292.4285196966677,596.8730096631582,230.51700934165504,225.24529505612918,219.43435379723394,397.7552437003213,1.8975864090176817
16.42,10.5789,0.0785,0.1291,239.43582449423045,291.48709068862837,591.5422835595842,229.35061625218506,224.40170357288702,218.51697243074648,397.15778345800885,1.9101929417790422
16.43,10.3755,0.0784,0.1369,239.04850089951563,291.0155663124538,587.2490303780951,228.67890533979335,224.4957090191021,217.920757495617,397.09609288266626,1.922590513394476
16.44,10.2761,0.0783,0.1374,238.8519627748778,290.7763025085469,585.1362169320287,228.3262382518757,224.47971817766577,217.63264068534542,397.06304867210514,1.9286953332957735
16.45,10.2314,0.0783,0.1357,238.79905173033308,290.7118890630142,584.193219958773,228.1891117645238,224.52868866959102,217.5328347305446,397.1113291890731,1.9317283765747142
16.46,10.2802,0.0783,0.1351,238.93315881947728,290.87514986718975,585.286126143197,228.35288357150392,224.47397829455403,217.7187175292029,397.186376034566,1.928798339523968
16.47,10.329,0.0783,0.1356,239.06677508212383,291.0378131434551,586.3805776601848,228.51678223148636,224.41946831663495,217.90402972444335,397.26133372123326,1.925869622025358
16.48,10.3559,0.0783,0.1361,239.1567093618825,291.1472983535961,586.9993442339929,228.61040313728452,224.3892141663591,218.02244365811302,397.3299915426042,1.9243338103009067
16.49,10.4097,0.0783,0.137,239.29876914329182,291.3202406961814,588.1985098015568,228.78959934056033,224.32990246384122,218.22198117591103,397.40621355104577,1.9211091711748403
16.5,10.3443,0.0783,0.1351,239.20747911139281,291.20910500517385,586.8150610139475,228.5877754800053,224.40048682467557,218.06077195470928,397.4486357117326,1.925411706872908
