Lag (m),Fitted_Semivariance
1.6600000000000001,0.01607297820467503
1.68,0.01619338141888578
1.7,0.01631378463309653
1.72,0.016434187847307283
1.74,0.016554591061518038
1.76,0.01667499427572879
1.78,0.01679539748993954
1.8,0.016915800704150292
1.82,0.017036203918361047
1.84,0.017156607132571798
1.86,0.01727701034678255
1.8800000000000001,0.0173974135609933
1.9000000000000001,0.017517816775204052
1.92,0.017638219989414804
1.94,0.017758623203625555
1.96,0.01787902641783631
1.98,0.01799942963204706
2.0,0.018119832846257813
2.02,0.018213861763948895
2.04,0.018307890681639977
2.06,0.01840191959933106
2.08,0.018495948517022142
2.1,0.018589977434713224
2.12,0.018684006352404303
2.14,0.018778035270095386
2.16,0.018872064187786468
2.18,0.01896609310547755
2.2,0.019060122023168632
2.22,0.019154150940859715
2.24,0.019248179858550797
2.2600000000000002,0.01934220877624188
2.2800000000000002,0.019436237693932962
2.3000000000000003,0.019530266611624044
2.32,0.019624295529315123
2.34,0.019718324447006205
2.36,0.019812353364697288
2.38,0.01990638228238837
2.4,0.02000041120007945
2.42,0.02009444011777053
2.44,0.020188469035461613
2.46,0.020282497953152696
2.48,0.020376526870843778
2.5,0.02047055578853486
2.52,0.020543987693323384
2.54,0.02061741959811191
2.56,0.020690851502900433
2.58,0.02076428340768896
2.6,0.020837715312477485
2.62,0.02091114721726601
2.64,0.020984579122054533
2.66,0.021058011026843057
2.68,0.02113144293163158
2.7,0.021204874836420105
2.72,0.021278306741208633
2.74,0.021351738645997157
2.7600000000000002,0.02142517055078568
2.7800000000000002,0.021498602455574205
2.8000000000000003,0.02157203436036273
2.82,0.021645466265151254
2.84,0.021718898169939778
2.86,0.021792330074728302
2.88,0.021865761979516826
2.9,0.02193919388430535
2.92,0.022012625789093875
2.94,0.022086057693882402
2.96,0.022159489598670926
2.98,0.02223292150345945
3.0,0.022306353408247975
3.02,0.022363700071096806
3.04,0.022421046733945637
3.06,0.022478393396794465
3.08,0.022535740059643296
3.1,0.022593086722492127
3.12,0.022650433385340958
3.14,0.02270778004818979
3.16,0.02276512671103862
3.18,0.022822473373887448
3.2,0.02287982003673628
3.22,0.02293716669958511
3.24,0.02299451336243394
3.2600000000000002,0.023051860025282773
3.2800000000000002,0.0231092066881316
3.3000000000000003,0.02316655335098043
3.3200000000000003,0.023223900013829263
3.34,0.02328124667667809
3.36,0.02333859333952692
3.38,0.023395940002375753
3.4,0.023453286665224584
3.42,0.023510633328073415
3.44,0.023567979990922246
3.46,0.023625326653771074
3.48,0.023682673316619905
3.5,0.023740019979468736
3.52,0.0237848048689438
3.54,0.023829589758418864
3.56,0.023874374647893926
3.58,0.023919159537368992
3.6,0.023963944426844054
3.62,0.024008729316319116
3.64,0.024053514205794182
3.66,0.024098299095269244
3.68,0.02414308398474431
3.7,0.024187868874219372
3.72,0.024232653763694437
3.74,0.0242774386531695
3.7600000000000002,0.02432222354264456
3.7800000000000002,0.024367008432119627
3.8000000000000003,0.02441179332159469
3.8200000000000003,0.024456578211069755
3.84,0.024501363100544817
3.86,0.02454614799001988
3.88,0.024590932879494945
3.9,0.024635717768970007
3.92,0.02468050265844507
3.94,0.024725287547920135
3.96,0.024770072437395197
3.98,0.024814857326870263
4.0,0.024859642216345325
4.0200000000000005,0.024894616986029496
4.04,0.024929591755713666
4.0600000000000005,0.024964566525397837
4.08,0.024999541295082008
4.1,0.025034516064766178
4.12,0.02506949083445035
4.14,0.02510446560413452
4.16,0.02513944037381869
4.18,0.02517441514350286
4.2,0.02520938991318703
4.22,0.025244364682871202
4.24,0.025279339452555376
4.26,0.025314314222239544
4.28,0.025349288991923718
4.3,0.025384263761607885
4.32,0.02541923853129206
4.34,0.02545421330097623
4.36,0.0254891880706604
4.38,0.02552416284034457
4.4,0.025559137610028742
4.42,0.025594112379712913
4.44,0.025629087149397083
4.46,0.025664061919081254
4.48,0.025699036688765425
4.5,0.025734011458449595
4.5200000000000005,0.02576132501283811
4.54,0.025788638567226626
4.5600000000000005,0.02581595212161514
4.58,0.025843265676003657
4.6000000000000005,0.025870579230392172
4.62,0.025897892784780687
4.64,0.025925206339169202
