File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SCPT,196093,8,8.5,274,1,1,2.625117144,0.074355598,171.4705132,208.7467118,324.4332751,188.3271577,249.2035377,146.9524308,327.8775155,2.660413583
SCPT,196093,8.5,9,267,1,1,3.068195982,0.077727192,179.1087192,218.0453973,346.3116255,193.1448265,249.6382156,153.3343059,335.110045,2.58798735
SCPT,196093,9,9.5,274,1,1,2.754576734,0.07720023,177.7732927,216.4196607,334.2172998,190.2850021,250.3394069,153.2376486,339.2873281,2.668881657
SCPT,196093,9.5,10,284,1,1,2.903961614,0.081313973,182.3903508,222.040427,342.8583071,193.0338552,254.3058788,157.3621681,346.3036892,2.663344543
SCPT,196093,10,10.5,290,1,1,3.589191012,0.084748456,191.9094679,233.6289175,373.5637349,199.536174,253.5875482,165.0754974,353.1607968,2.552137074
SCPT,196093,10.5,11,292,1,1,2.716407174,0.089069679,185.9067446,226.3212543,337.6053416,193.9538378,264.9959052,161.3634457,359.0223754,2.761321836
SCPT,196093,11,11.5,293,1,1,3.534176009,0.0959646,197.7128031,240.6938472,375.6150533,203.2487831,267.8575477,170.7824833,367.4305131,2.614777926
SCPT,196093,11.5,12,272,1,1,2.570607896,0.084570521,187.3325146,228.0569743,333.9699071,190.2249152,256.6772789,163.3925258,364.5835009,2.812998862
SCPT,196093,12,12.5,302,1,1,3.379496432,0.090553191,199.0825486,242.3613635,372.1353893,199.5147007,259.0543997,172.9177914,372.4917781,2.65722118
SCPT,196093,12.5,13,267,1,1,2.741863004,0.075274797,190.8677187,232.360701,344.9656394,187.7455727,239.8811801,167.0840765,366.7834037,2.762355471
SCPT,196093,13,13.5,280,1,1,2.385690905,0.069197658,186.9992152,227.6512185,328.6203335,181.1772893,231.6054532,164.3785438,365.9642022,2.851245438
SCPT,196093,13.5,14,244,1,1,2.721678461,0.073091264,193.8543812,235.996638,346.818823,185.9269007,234.2874225,170.0328142,372.4128203,2.787770574
SCPT,196093,14,14.5,268,1,1,2.294697626,0.067563422,188.6510649,229.662166,326.5176988,179.1229897,228.2273664,166.4716647,371.5032344,2.894899701
