Depth,Qc,Fs,u
4.8,0.587,0.0174,-0.001
4.81,0.587,0.0172,-0.001
4.82,0.5638,0.0169,-0.0017
4.83,0.5329,0.0168,-0.0048
4.84,0.502,0.0168,-0.0064
4.85,0.4907,0.0172,-0.0071
4.86,0.4852,0.0176,-0.0075
4.87,0.4891,0.0183,-0.0076
4.88,0.493,0.019,-0.0077
4.89,0.502,0.0195,-0.0076
4.9,0.5175,0.0193,-0.0075
4.91,0.5985,0.0205,-0.0073
4.92,0.6951,0.0242,-0.0073
4.93,0.8071,0.0266,-0.0071
4.94,0.9268,0.0289,-0.0069
4.95,1.0465,0.0316,-0.0069
4.96,1.1314,0.0333,-0.0069
4.97,1.201,0.036,-0.0069
4.98,1.2473,0.0382,-0.0069
4.99,1.3438,0.0393,-0.0069
5,1.3631,0.0398,-0.0069
5.01,1.3284,0.0398,-0.0069
5.02,1.2782,0.0397,-0.0069
5.03,1.0619,0.0396,-0.0069
5.04,0.9808,0.0393,-0.0069
5.05,0.8998,0.0393,-0.0069
5.06,0.8341,0.0392,-0.0069
5.07,0.7916,0.0377,-0.0069
5.08,0.6603,0.0367,-0.0069
5.09,0.6101,0.0357,-0.0068
5.1,0.5754,0.0343,-0.0067
5.11,0.5368,0.0328,-0.0067
5.12,0.5366,0.0292,-0.0065
5.13,0.5368,0.0265,-0.0065
5.14,0.537,0.0235,-0.0064
5.15,0.5445,0.0202,-0.0063
5.16,0.6101,0.0193,-0.0063
5.17,0.5638,0.0183,-0.0061
5.18,0.5599,0.0178,-0.006
5.19,0.5368,0.0175,-0.006
5.2,0.5252,0.0175,-0.0059
5.21,0.4402,0.0176,-0.0058
5.22,0.4406,0.0176,-0.0056
5.23,0.4409,0.018,-0.0054
5.24,0.4417,0.0181,-0.0054
5.25,0.446,0.0182,-0.0052
5.26,0.4557,0.0184,-0.0052
5.27,0.4827,0.0199,-0.005
5.28,0.5136,0.0215,-0.005
5.29,0.614,0.023,-0.0049
5.3,0.6487,0.0236,-0.0048
5.31,0.6256,0.0243,-0.0048
5.32,0.6681,0.0243,-0.0048
5.33,0.6796,0.0256,-0.0048
5.34,0.6603,0.0299,-0.0047
5.35,0.6372,0.0341,-0.0047
5.36,0.6217,0.0357,-0.0046
5.37,0.6159,0.036,-0.0046
5.38,0.6152,0.036,-0.0044
5.39,0.6152,0.0366,-0.0043
5.4,0.6153,0.0367,-0.0041
5.41,0.6179,0.0367,-0.0035
5.42,0.641,0.0367,-0.0037
5.43,0.5831,0.0359,-0.0036
5.44,0.5715,0.0321,-0.0035
5.45,0.5638,0.0309,-0.0035
5.46,0.5561,0.0297,-0.0033
5.47,0.5445,0.029,-0.0033
5.48,0.5426,0.029,-0.0031
5.49,0.5416,0.0253,-0.0029
5.5,0.5406,0.0241,-0.0029
5.51,0.5483,0.0229,-0.0028
5.52,0.5368,0.0212,-0.0028
5.53,0.5252,0.0194,-0.0027
5.54,0.5175,0.0184,-0.0027
5.55,0.4943,0.0169,-0.0027
5.56,0.4866,0.0151,-0.0026
5.57,0.475,0.0138,-0.0026
5.58,0.4755,0.0129,-0.0026
5.59,0.476,0.0121,-0.0025
5.6,0.4776,0.0116,-0.0025
5.61,0.4866,0.0111,-0.0024
5.62,0.4943,0.0107,-0.0023
5.63,0.5097,0.0102,-0.0023
5.64,0.5175,0.0102,-0.0022
5.65,0.5136,0.0101,-0.0021
5.66,0.5136,0.01,-0.0021
5.67,0.5097,0.0101,-0.002
5.68,0.5097,0.0101,-0.002
5.69,0.5059,0.0102,-0.0019
5.7,0.5039,0.0105,-0.0019
5.71,0.502,0.0108,-0.0019
5.72,0.502,0.0108,-0.0018
5.73,0.4981,0.011,-0.0017
5.74,0.4943,0.011,-0.0017
5.75,0.4904,0.0115,-0.0016
