TYPE,CODE,CODE_CPT,gwl,a
SCPT,156311,x,9.8,0.8
SCPT,165738,x,0.4,0.8
SCPT,165739,x,0.1,0.8
SCPT,182797,x,0.9,0.8
SCPT,184148,x,1.3,0.75
SCPT,192457,x,4,0.8
SCPT,192465,x,2.1,0.8
SCPT,192469,x,10.6,0.8
SCPT,192473,x,10.26,0.8
SCPT,192478,x,10.6,0.8
SCPT,192480,x,4.4,0.8
SCPT,192483,x,3,0.8
SCPT,195188,x,3.1,0.79
SCPT,195941,x,3,0.75
SCPT,196093,x,3,0.79
SCPT,205817,x,0.39,0.8
SCPT,205818,x,0.38,0.8
SCPT,217000,x,0,0.8
SDMT,100703,100699,9.5,0.8
SDMT,66983,66982,1,0.8
SDMT,66984,66982,1,0.8
SDMT,92524,91919,7.8,0.81
SDMT,92525,91920,0,0.81
SDMT,92526,91925,6.1,0.81
SDMT,92527,91926,3.4,0.81
SDMT,92534,91941,2.3,0.81
SDMT,92535,91949,3.2,0.81
SDMT,92536,91950,0,0.81
SDMT,92537,91951,3.4,0.81
SDMT,92538,91952,3.4,0.81
SDMT,92539,91968,2.8,0.81
SDMT,92540,91956,1.8,0.81
SDMT,92541,91956,1.8,0.81
SDMT,92542,91957,5.4,0.81
SDMT,92543,91960,10.4,0.81
SDMT,92544,91971,4.3,0.81
SDMT,92545,91962,4.2,0.81
SDMT,92546,91963,9.7,0.81
SDMT,92547,91964,5.43,0.81
SDMT,92548,91971,4.3,0.81
SDMT,92549,91972,3.2,0.81
SDMT,92554,91980,5.5,0.81
SDMT,92555,91981,0.7,0.81
SDMT,92556,91982,0.7,0.81
SDMT,92557,91983,0.7,0.81
SDMT,122141,121811,0,0.81
SDMT,123178,123151,2.8,0.79
SDMT,123208,123167,1.74,0.8
SDMT,139896,139731,3.5,0.81
SDMT,139897,139730,1.5,0.81
SDMT,141748,141746,1.6,0.8
SDMT,156435,156427,2.5,0.81
SDMT,156436,121825,0,0.8
SDMT,156437,156429,1.9,0.81
SDMT,156438,156430,3.5,0.81
SDMT,167294,126784,0,0.85
SDMT,173187,192322,0,0.8
SDMT,178944,163043,10.7,0.8
SDMT,178947,163107,2.1,0.8
SDMT,183366,185461,0,0.8
CPT,95077,,40,
CPT,95092,,33.2,
CPT,439,,30,
CPT,38366,,30,
CPT,38367,,30,
CPT,38369,,30,
CPT,45795,,30,
CPT,55411,,30,
CPT,55417,,30,
CPT,55420,,30,
CPT,55424,,30,
CPT,55454,,30,
CPT,55456,,30,
CPT,55457,,30,
CPT,56281,,30,
CPT,56282,,30,
CPT,56711,,30,
CPT,56712,,30,
CPT,56713,,30,
CPT,56714,,30,
CPT,56715,,30,
CPT,56716,,30,
CPT,56717,,30,
CPT,56718,,30,
CPT,56719,,30,
CPT,73384,,30,
CPT,73388,,30,
CPT,73389,,30,
CPT,73390,,30,
CPT,73391,,30,
CPT,73403,,30,
CPT,73409,,30,
CPT,73411,,30,
CPT,73433,,30,
CPT,73434,,30,
CPT,73436,,30,
CPT,73437,,30,
CPT,73438,,30,
CPT,73439,,30,
CPT,73440,,30,
CPT,73441,,30,
CPT,73442,,30,
CPT,73454,,30,
CPT,73456,,30,
CPT,73459,,30,
CPT,73460,,30,
CPT,75790,,30,
CPT,75791,,30,
CPT,75793,,30,
CPT,75840,,30,
CPT,95019,,30,
CPT,95020,,30,
CPT,95023,,30,
CPT,95025,,30,
CPT,95026,,30,
CPT,95027,,30,
CPT,95028,,30,
CPT,95029,,30,
CPT,95030,,30,
CPT,95031,,30,
CPT,95032,,30,
CPT,95038,,30,
CPT,95039,,30,
CPT,95041,,30,
CPT,95045,,30,
CPT,95046,,30,
CPT,95059,,30,
CPT,95062,,30,
CPT,95065,,30,
CPT,95074,,30,
CPT,95075,,30,
CPT,95076,,30,
CPT,95078,,30,
CPT,95079,,30,
CPT,95083,,30,
CPT,95085,,30,
CPT,95090,,30,
CPT,95102,,30,
CPT,95103,,30,
CPT,95105,,30,
CPT,95106,,30,
CPT,95107,,30,
CPT,95108,,30,
CPT,95109,,30,
CPT,117219,,30,
CPT,123652,,30,
CPT,123653,,30,
CPT,123654,,30,
CPT,123655,,30,
CPT,123656,,30,
CPT,123657,,30,
CPT,123658,,30,
CPT,168268,,30,
CPT,168269,,30,
CPT,57856,,28,0.8
CPT,117218,,27.4,
CPT,117220,,27,
CPT,105825,,25,
CPT,92002,,24.9,0.8
CPT,105824,,24.9,
CPT,105788,,24.8,
CPT,105780,,24.7,
CPT,105828,,24.7,
CPT,105831,,24.63,
CPT,105826,,24.3,
CPT,57855,,24,0.8
CPT,99341,,23.8,0.81
CPT,105830,,23.72,
CPT,99335,,23.7,0.81
CPT,99336,,23.6,0.81
CPT,117178,,22.75,
CPT,117175,,22.5,
CPT,117193,,22.3,
CPT,99334,,21.5,0.81
CPT,62800,,20,0.8
CPT,91959,,20,0.81
CPT,100600,,20,0.85
CPT,100607,,20,0.85
CPT,100602,,19.74,0.85
CPT,100605,,19.7,0.85
CPT,105789,,19.6,
CPT,105790,,19.32,
CPT,117176,,19.24,
CPT,224301,,19,0.8
CPT,224307,,19,0.8
CPT,99348,,18.8,0.81
CPT,99349,,18.7,0.81
CPT,100603,,18.7,0.85
CPT,117195,,18.7,
CPT,92000,,18.5,0.8
CPT,99323,,18.5,0.81
CPT,117205,,18.2,
CPT,117158,,17.6,
CPT,117207,,17.4,
CPT,92284,,17.3,
CPT,111119,,17.2,
CPT,117179,,17.15,
CPT,157582,,17.1,0.8
CPT,162443,,17.1,0.8
CPT,117191,,17,
CPT,117180,,16.98,
CPT,150274,,16.9,0.8
CPT,111123,,16.64,0.81
CPT,92006,,16.5,0.8
CPT,190814,,16.5,0.8
CPT,117177,,16.2,
CPT,224302,,16,0.8
CPT,155899,,15.8,
CPT,181592,,15.8,0.81
CPT,117200,,15.7,
CPT,95081,,15.6,
CPT,109955,,15.6,0.81
CPT,180991,,15.6,0.79
CPT,92030,,15.5,0.81
CPT,125166,,15.5,
CPT,95089,,15.4,
CPT,201802,,15.3,0.8
CPT,92294,,15.2,
CPT,188477,,15.2,0.8
CPT,95080,,15.1,
CPT,158188,,15.1,0.8
CPT,158191,,15.1,0.8
CPT,14407,,15,
CPT,94750,,15,
CPT,105786,,15,
CPT,117204,,14.9,
CPT,121475,,14.85,0.81
CPT,111124,,14.83,0.81
CPT,95082,,14.8,
CPT,181606,,14.8,0.81
CPT,117170,,14.7,
CPT,117188,,14.7,
CPT,123886,,14.7,0.81
CPT,124800,,14.7,0.81
CPT,158189,,14.69,0.8
CPT,140054,,14.6,0.81
CPT,181660,,14.5,0.8
CPT,97763,,14.3,
CPT,117203,,14.3,
CPT,155834,,14.25,0.81
CPT,183566,,14.2,0.81
CPT,111138,,14.12,0.75
CPT,117186,,14.1,
CPT,14394,,14,
CPT,190802,,14,0.8
CPT,103784,,13.9,0.75
CPT,116479,,13.9,0.81
CPT,117189,,13.9,
CPT,117169,,13.7,
CPT,117187,,13.7,
CPT,117192,,13.7,
CPT,125529,,13.65,
CPT,138344,,13.6,0.81
CPT,169052,,13.5,0.8
CPT,105791,,13.4,
CPT,117174,,13.4,
CPT,147707,,13.4,0.8
CPT,92295,,13.3,
CPT,121755,,13.3,
CPT,123889,,13.3,0.81
CPT,225796,,13.3,0.81
CPT,94749,,13.28,
CPT,91931,,13.25,0.81
CPT,176521,,13.2,0.81
CPT,117173,,13.11,
CPT,117216,,13.1,
CPT,194528,,13.1,0.79
CPT,111137,,13.08,0.75
CPT,194525,,13.05,0.8
CPT,194526,,13.05,0.79
CPT,155799,,13.04,0.81
CPT,91970,,13,0.81
CPT,196958,,12.8,0.8
CPT,124096,,12.7,0.58
CPT,92025,,12.6,0.8
CPT,117194,,12.6,
CPT,117217,,12.6,
CPT,172239,,12.6,0.81
CPT,92339,,12.5,
CPT,140055,,12.5,0.81
CPT,147822,,12.5,
CPT,147832,,12.5,
CPT,147833,,12.5,
CPT,147835,,12.5,
CPT,190797,,12.5,0.8
CPT,111136,,12.48,0.75
CPT,155796,,12.42,0.81
CPT,117190,,12.4,
CPT,194527,,12.4,0.8
CPT,117181,,12.32,
CPT,874,,12.3,
CPT,117171,,12.3,
CPT,125528,,12.3,
CPT,134128,,12.2,
CPT,173483,,12.2,0.81
CPT,111120,,12.1,
CPT,117302,,12.1,
CPT,145226,,12.1,0.8
CPT,166478,,12.1,0.8
CPT,147823,,12,
CPT,147834,,12,
CPT,147836,,12,
CPT,169051,,12,0.8
CPT,174260,,12,
CPT,196959,,12,0.8
CPT,160809,,11.94,0.8
CPT,112185,,11.8,0.81
CPT,112208,,11.8,0.81
CPT,117172,,11.7,
CPT,121769,,11.7,
CPT,139735,,11.7,0.81
CPT,92302,,11.5,
CPT,149386,,11.5,0.8
CPT,211512,,11.5,0.81
CPT,111133,,11.44,0.75
CPT,112207,,11.4,0.81
CPT,117198,,11.4,
CPT,49953,,11.3,0.81
CPT,157503,,11.3,0.8
CPT,173485,,11.3,0.81
CPT,94828,,11.1,
CPT,95094,,11,
CPT,166479,,11,0.8
CPT,210882,,11,0.8
CPT,221814,,11,0.8
CPT,224306,,11,0.8
CPT,155715,,10.95,0.81
CPT,151403,,10.91,0.8
CPT,112187,,10.9,0.81
CPT,117206,,10.9,
CPT,144886,,10.9,0.81
CPT,94730,,10.8,
CPT,112189,,10.8,0.81
CPT,138343,,10.8,0.81
CPT,215738,,10.8,0.8
CPT,105220,,10.7,0.79
CPT,105229,,10.7,0.79
CPT,105230,,10.7,0.79
CPT,105231,,10.7,0.79
CPT,105245,,10.7,0.79
CPT,105272,,10.7,0.79
CPT,105273,,10.7,0.79
CPT,105274,,10.7,0.79
CPT,147827,,10.7,
CPT,111134,,10.64,0.75
CPT,166649,,10.6,0.81
CPT,181591,,10.6,0.81
CPT,183852,,10.6,0.81
CPT,192466,,10.6,0.75
CPT,205744,,10.6,0.81
CPT,157489,,10.51,0.8
CPT,73458,,10.5,
CPT,151088,,10.5,0.81
CPT,210881,,10.5,0.8
CPT,211396,,10.5,0.81
CPT,254,,10.4,
CPT,91960,,10.4,0.81
CPT,117163,,10.4,
CPT,190575,,10.4,0.8
CPT,94729,,10.3,
CPT,208481,,10.3,
CPT,208483,,10.3,
CPT,211409,,10.3,0.81
CPT,123576,,10.23,
CPT,141548,,10.23,0.85
CPT,157491,,10.23,0.8
CPT,94731,,10.2,
CPT,147831,,10.2,
CPT,166473,,10.2,0.8
CPT,201517,,10.2,0.79
CPT,117196,,10.1,
CPT,117201,,10.1,
CPT,132262,,10.1,0.81
CPT,208480,,10.1,
CPT,195731,,10.02,0.79
CPT,92167,,10,
CPT,92168,,10,
CPT,92288,,10,
CPT,109919,,10,0.81
CPT,134028,,10,0.81
CPT,211402,,10,0.81
CPT,105827,,9.9,
CPT,184924,,9.9,0.8
CPT,225056,,9.81,0.856
CPT,225057,,9.81,0.828
CPT,225058,,9.81,0.828
CPT,225070,,9.81,0.8
CPT,225078,,9.81,0.8
CPT,225080,,9.81,0.8
CPT,225113,,9.81,0.851
CPT,225114,,9.81,0.854
CPT,225115,,9.81,0.851
CPT,225117,,9.81,0.851
CPT,225119,,9.81,0.854
CPT,225121,,9.81,0.854
CPT,225122,,9.81,0.854
CPT,225123,,9.81,0.854
CPT,225124,,9.81,0.854
CPT,225126,,9.81,0.853
CPT,225127,,9.81,0.851
CPT,225129,,9.81,0.851
CPT,225131,,9.81,0.851
CPT,225133,,9.81,0.851
CPT,225135,,9.81,0.854
CPT,225137,,9.81,0.853
CPT,225139,,9.81,0.854
CPT,225141,,9.81,0.853
CPT,225143,,9.81,0.851
CPT,225145,,9.81,0.851
CPT,225148,,9.81,0.853
CPT,225153,,9.81,0.854
CPT,225156,,9.81,0.853
CPT,225158,,9.81,0.854
CPT,225161,,9.81,0.853
CPT,225165,,9.81,0.854
CPT,225169,,9.81,0.851
CPT,225172,,9.81,0.853
CPT,225286,,9.81,0.856
CPT,225287,,9.81,0.828
CPT,225294,,9.81,0.828
CPT,225295,,9.81,0.828
CPT,225296,,9.81,0.856
CPT,225297,,9.81,0.828
CPT,225715,,9.81,0.85
CPT,225716,,9.81,0.85
CPT,94778,,9.8,
CPT,105781,,9.8,
CPT,105782,,9.8,
CPT,105784,,9.8,
CPT,105785,,9.8,
CPT,147826,,9.8,
CPT,155586,,9.8,0.81
CPT,173070,,9.8,0.8
CPT,211407,,9.8,0.81
CPT,185420,,9.76,0.8
CPT,91963,,9.7,0.81
CPT,190580,,9.7,0.8
CPT,190592,,9.7,0.8
CPT,185423,,9.63,0.8
CPT,117185,,9.6,
CPT,166648,,9.6,0.81
CPT,211397,,9.6,0.8
CPT,211405,,9.6,0.81
CPT,95118,,9.51,
CPT,340,,9.5,
CPT,91918,,9.5,0.81
CPT,91979,,9.5,0.81
CPT,116478,,9.5,0.81
CPT,183559,,9.5,0.81
CPT,206195,,9.5,0.8
CPT,211400,,9.5,0.81
CPT,125527,,9.48,
CPT,157502,,9.47,0.8
CPT,95116,,9.43,
CPT,338,,9.4,
CPT,121417,,9.4,0.81
CPT,95114,,9.39,
CPT,185409,,9.39,0.77
CPT,49983,,9.3,0.81
CPT,117199,,9.3,
CPT,121843,,9.3,0.81
CPT,152778,,9.3,0.8
CPT,181599,,9.3,0.81
CPT,182086,,9.3,0.8
CPT,190811,,9.3,0.8
CPT,208493,,9.3,
CPT,211399,,9.3,0.81
CPT,404,,9.2,
CPT,92338,,9.2,
CPT,94728,,9.2,
CPT,117202,,9.2,
CPT,157444,,9.2,0.81
CPT,166476,,9.2,0.8
CPT,166656,,9.2,0.81
CPT,181528,,9.2,0.81
CPT,182085,,9.2,0.8
CPT,172421,,9.1,0.8
CPT,181580,,9.1,0.81
CPT,181654,,9.1,0.8
CPT,182082,,9.1,0.8
CPT,208485,,9.1,
CPT,209018,,9.1,0.8
CPT,36558,,9,0.8
CPT,95061,,9,
CPT,194705,,9,0.81
CPT,185413,,8.99,0.8
CPT,185417,,8.99,0.77
CPT,117160,,8.9,
CPT,134011,,8.9,0.81
CPT,182084,,8.9,0.8
CPT,120432,,8.84,
CPT,14403,,8.8,
CPT,91965,,8.8,0.81
CPT,166472,,8.8,0.8
CPT,181538,,8.8,0.81
CPT,185414,,8.75,0.77
CPT,185415,,8.74,0.8
CPT,248,,8.7,
CPT,92283,,8.7,
CPT,95064,,8.7,
CPT,112200,,8.7,0.81
CPT,117161,,8.7,
CPT,132218,,8.7,0.81
CPT,144789,,8.7,0.81
CPT,181655,,8.7,0.8
CPT,201604,,8.7,0.81
CPT,216271,,8.7,0.81
CPT,199558,,8.69,0.8
CPT,172241,,8.6,0.81
CPT,181582,,8.6,0.81
CPT,210359,,8.6,0.81
CPT,14514,,8.5,
CPT,87887,,8.5,0.85
CPT,92344,,8.5,
CPT,95060,,8.5,
CPT,117208,,8.5,
CPT,221812,,8.5,0.8
CPT,226436,,8.5,0.8
CPT,14547,,8.47,
CPT,185422,,8.41,0.77
CPT,87898,,8.4,0.85
CPT,145140,,8.4,0.81
CPT,14533,,8.36,
CPT,47972,,8.3,
CPT,117182,,8.3,
CPT,144787,,8.3,0.81
CPT,145219,,8.3,0.8
CPT,173071,,8.3,0.8
CPT,181613,,8.3,0.85
CPT,208486,,8.3,
CPT,217706,,8.3,0.8
CPT,216748,,8.28,0.8
CPT,209991,,8.25,0.75
CPT,161170,,8.24,0.8
CPT,128623,,8.23,
CPT,1477,,8.2,
CPT,94830,,8.2,
CPT,95057,,8.2,
CPT,112424,,8.2,
CPT,144786,,8.2,0.81
CPT,145143,,8.2,0.81
CPT,181653,,8.2,0.8
CPT,199557,,8.2,0.78
CPT,201080,,8.2,0.8
CPT,206867,,8.2,0.81
CPT,91977,,8.1,0.81
CPT,95099,,8.1,
CPT,112184,,8.1,0.81
CPT,121720,,8.1,0.81
CPT,143337,,8.1,0.8
CPT,144887,,8.1,0.81
CPT,145107,,8.1,0.8
CPT,219249,,8.09,0.79
CPT,151402,,8.05,0.8
CPT,1054,,8,
CPT,56554,,8,0.81
CPT,92230,,8,
CPT,94748,,8,
CPT,95049,,8,
CPT,120625,,8,0.81
CPT,151095,,8,0.81
CPT,151096,,8,0.81
CPT,166651,,8,0.81
CPT,173496,,8,0.81
CPT,179300,,8,0.8
CPT,201077,,8,0.8
CPT,225037,,8,0.8
CPT,138916,,7.9,0.8
CPT,138917,,7.9,0.8
CPT,151404,,7.9,0.8
CPT,154004,,7.9,0.81
CPT,155717,,7.9,0.81
CPT,190588,,7.9,0.8
CPT,201078,,7.85,0.8
CPT,201079,,7.85,0.8
CPT,247,,7.8,
CPT,891,,7.8,
CPT,91919,,7.8,0.81
CPT,97896,,7.8,0.81
CPT,97897,,7.8,0.81
CPT,97898,,7.8,0.81
CPT,97899,,7.8,0.81
CPT,97900,,7.8,0.81
CPT,97902,,7.8,0.81
CPT,97903,,7.8,0.81
CPT,97904,,7.8,0.81
CPT,97905,,7.8,0.81
CPT,97906,,7.8,0.81
CPT,97907,,7.8,0.81
CPT,97917,,7.8,0.81
CPT,97918,,7.8,0.81
CPT,97919,,7.8,0.81
CPT,97920,,7.8,0.81
CPT,97929,,7.8,0.81
CPT,97930,,7.8,0.81
CPT,130194,,7.8,
CPT,153673,,7.8,0.8
CPT,174708,,7.8,0.8
CPT,190582,,7.8,0.8
CPT,213515,,7.8,0.8
CPT,219246,,7.8,0.79
CPT,1035,,7.7,
CPT,54539,,7.7,0.81
CPT,112182,,7.7,0.81
CPT,138915,,7.7,0.8
CPT,138918,,7.7,0.8
CPT,183847,,7.7,0.81
CPT,209019,,7.7,0.8
CPT,220201,,7.7,0.81
CPT,95052,,7.6,
CPT,112202,,7.6,0.81
CPT,133955,,7.6,0.81
CPT,172381,,7.6,0.8
CPT,174204,,7.6,0.8
CPT,174707,,7.6,0.8
CPT,188482,,7.6,0.8
CPT,210348,,7.6,0.81
CPT,36556,,7.5,0.8
CPT,95050,,7.5,
CPT,95051,,7.5,
CPT,109571,,7.5,0.81
CPT,112210,,7.5,0.81
CPT,112449,,7.5,0.81
CPT,121510,,7.5,0.81
CPT,121511,,7.5,0.81
CPT,121831,,7.5,0.81
CPT,121832,,7.5,0.81
CPT,147828,,7.5,
CPT,147840,,7.5,
CPT,147841,,7.5,
CPT,166650,,7.5,0.81
CPT,168494,,7.5,
CPT,174705,,7.5,0.8
CPT,174812,,7.5,0.78
CPT,214211,,7.5,0.81
CPT,218530,,7.5,0.8
CPT,118446,,7.45,0.8
CPT,141546,,7.45,0.85
CPT,219248,,7.42,0.79
CPT,91935,,7.4,0.81
CPT,91936,,7.4,0.81
CPT,95048,,7.4,
CPT,112203,,7.4,0.81
CPT,116480,,7.4,0.81
CPT,124012,,7.4,0.81
CPT,145100,,7.4,0.8
CPT,165669,,7.4,0.8
CPT,174205,,7.4,0.8
CPT,174706,,7.4,0.8
CPT,219247,,7.32,0.8
CPT,43929,,7.3,0.81
CPT,47973,,7.3,
CPT,92231,,7.3,
CPT,111122,,7.3,
CPT,123880,,7.3,0.81
CPT,144888,,7.3,0.81
CPT,156827,,7.3,0.8
CPT,219245,,7.3,0.79
CPT,217020,,7.26,0.8
CPT,95058,,7.25,
CPT,92228,,7.2,
CPT,92282,,7.2,
CPT,92331,,7.2,
CPT,101392,,7.2,
CPT,106806,,7.2,
CPT,117212,,7.2,
CPT,121751,,7.2,
CPT,145155,,7.2,0.81
CPT,211720,,7.2,0.75
CPT,218528,,7.2,0.79
CPT,95063,,7.1,
CPT,95066,,7.1,
CPT,106807,,7.1,
CPT,111121,,7.1,
CPT,117209,,7.1,
CPT,125439,,7.1,
CPT,147236,,7.1,0.8
CPT,208181,,7.1,0.79
CPT,211508,,7.1,0.81
CPT,111135,,7.02,0.75
CPT,1009,,7,
CPT,94747,,7,
CPT,134137,,7,0.81
CPT,153723,,7,0.81
CPT,167213,,7,0.75
CPT,181532,,7,0.81
CPT,181677,,7,0.81
CPT,181681,,7,0.81
CPT,182087,,7,0.8
CPT,198560,,7,0.8
CPT,209329,,7,
CPT,141574,,6.98,0.85
CPT,167212,,6.98,0.75
CPT,117183,,6.9,
CPT,117214,,6.9,
CPT,173488,,6.9,0.81
CPT,181602,,6.9,0.81
CPT,190593,,6.9,0.8
CPT,211718,,6.9,0.75
CPT,210109,,6.84,0.79
CPT,120566,,6.81,0.8
CPT,72067,,6.8,
CPT,76028,,6.8,
CPT,153724,,6.8,0.81
CPT,181675,,6.8,0.81
CPT,219638,,6.8,0.75
CPT,152825,,6.72,0.8
CPT,187192,,6.72,0.79
CPT,217021,,6.72,0.8
CPT,325,,6.7,
CPT,35839,,6.7,0.8
CPT,49375,,6.7,0.58
CPT,117215,,6.7,
CPT,133994,,6.7,0.81
CPT,138340,,6.7,0.81
CPT,167354,,6.7,0.8
CPT,175337,,6.7,0.8
CPT,180272,,6.7,0.8
CPT,190532,,6.7,0.8
CPT,206194,,6.7,0.8
CPT,91954,,6.65,0.81
CPT,1492,,6.6,
CPT,99342,,6.6,0.81
CPT,100606,,6.6,0.85
CPT,155928,,6.6,0.81
CPT,181678,,6.6,0.81
CPT,181679,,6.6,0.81
CPT,161164,,6.59,0.8
CPT,166204,,6.55,0.75
CPT,166346,,6.52,0.75
CPT,1215,,6.5,
CPT,73452,,6.5,
CPT,132195,,6.5,0.81
CPT,132247,,6.5,0.81
CPT,144767,,6.5,0.81
CPT,145221,,6.5,0.8
CPT,147837,,6.5,
CPT,161163,,6.5,0.8
CPT,196956,,6.5,0.8
CPT,217709,,6.5,0.8
CPT,132706,,6.48,
CPT,157505,,6.47,0.8
CPT,144715,,6.46,0.85
CPT,219392,,6.45,0.78
CPT,113502,,6.4,0.8
CPT,117159,,6.4,
CPT,138994,,6.4,0.8
CPT,153727,,6.4,0.81
CPT,168654,,6.4,
CPT,181667,,6.4,0.81
CPT,198559,,6.4,0.78
CPT,219578,,6.4,0.8
CPT,219635,,6.4,0.75
CPT,166205,,6.38,0.75
CPT,201513,,6.34,0.79
CPT,14399,,6.3,
CPT,14929,,6.3,
CPT,94997,,6.3,
CPT,106672,,6.3,
CPT,139006,,6.3,0.8
CPT,152848,,6.3,0.81
CPT,153901,,6.3,0.8
CPT,167162,,6.3,0.81
CPT,181668,,6.3,0.81
CPT,181669,,6.3,0.81
CPT,188462,,6.3,0.8
CPT,125525,,6.26,
CPT,215290,,6.22,0.8
CPT,92263,,6.2,
CPT,92337,,6.2,
CPT,117167,,6.2,
CPT,125541,,6.2,0.81
CPT,133959,,6.2,0.81
CPT,134117,,6.2,
CPT,141602,,6.2,0.85
CPT,147838,,6.2,
CPT,158587,,6.2,0.8
CPT,167166,,6.2,0.81
CPT,174627,,6.2,0.8
CPT,174628,,6.2,0.8
CPT,179341,,6.2,0.8
CPT,181670,,6.2,0.81
CPT,192922,,6.2,0.81
CPT,218577,,6.2,0.8
CPT,94734,,6.15,
CPT,91925,,6.1,0.81
CPT,92229,,6.1,
CPT,94867,,6.1,
CPT,123878,,6.1,0.81
CPT,125540,,6.1,0.81
CPT,153494,,6.1,0.81
CPT,166221,,6.1,0.75
CPT,167163,,6.1,0.81
CPT,167165,,6.1,0.81
CPT,181672,,6.1,0.81
CPT,181674,,6.1,0.81
CPT,188474,,6.1,0.8
CPT,205081,,6.1,0.8
CPT,205083,,6.1,0.8
CPT,213258,,6.1,0.79
CPT,213260,,6.1,0.79
CPT,219597,,6.1,0.79
CPT,166218,,6.07,0.75
CPT,141485,,6.06,0.85
CPT,166352,,6.05,0.75
CPT,216149,,6.05,0.75
CPT,187193,,6.03,0.79
CPT,1227,,6,
CPT,12404,,6,
CPT,44722,,6,0.81
CPT,130199,,6,
CPT,153230,,6,0.8
CPT,165676,,6,0.81
CPT,180084,,6,0.8
CPT,181671,,6,0.81
CPT,181680,,6,0.81
CPT,209095,,6,0.79
CPT,210104,,6,0.8
CPT,219634,,6,0.75
CPT,219639,,6,0.75
CPT,224106,,6,0.79
CPT,209974,,5.91,0.75
CPT,43894,,5.9,0.81
CPT,56143,,5.9,
CPT,92266,,5.9,
CPT,94782,,5.9,
CPT,144882,,5.9,0.8
CPT,147219,,5.9,0.8
CPT,153504,,5.9,0.8
CPT,175415,,5.9,0.78
CPT,188475,,5.9,0.8
CPT,188476,,5.9,0.8
CPT,202207,,5.9,0.79
CPT,87942,,5.86,0.85
CPT,209976,,5.86,0.75
CPT,141494,,5.85,0.85
CPT,144721,,5.83,0.8
CPT,215289,,5.81,0.8
CPT,73435,,5.8,
CPT,86481,,5.8,0.8
CPT,94784,,5.8,
CPT,94785,,5.8,
CPT,94786,,5.8,
CPT,95016,,5.8,
CPT,121816,,5.8,0.81
CPT,123621,,5.8,
CPT,123622,,5.8,
CPT,125443,,5.8,
CPT,139005,,5.8,0.8
CPT,144761,,5.8,0.81
CPT,168498,,5.8,
CPT,169049,,5.8,0.8
CPT,213259,,5.8,0.79
CPT,220460,,5.8,0.8
CPT,158258,,5.78,0.8
CPT,141594,,5.77,0.85
CPT,141583,,5.76,0.85
CPT,203825,,5.75,0.75
CPT,86482,,5.74,0.8
CPT,174912,,5.74,0.8
CPT,125035,,5.72,0.8
CPT,155196,,5.71,0.8
CPT,55,,5.7,
CPT,264,,5.7,
CPT,48564,,5.7,
CPT,49378,,5.7,0.58
CPT,56703,,5.7,
CPT,92264,,5.7,
CPT,92340,,5.7,
CPT,100601,,5.7,0.85
