File Name,,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,1.76,3.0451,0.0561,82.5,3.0451,0.0561,-0.083,7,2,131.5951383,160.2027771,293.8485163,161.3596046,198.2965452,95.47131109,214.1007969,2.309773304,-0.466931782,-0.663642076,-1.27026609,-0.67083715,-0.87696532,-0.146027502,-0.953648625
SCPT_140250_Raw01_result.csv,140250,1.77,3.0451,0.0503,82.5,3.0451,0.0503,-0.0875,7,2,130.1058906,158.3897798,293.9816824,158.4992568,188.1009905,94.75958681,211.3875871,2.279649449,-0.455550368,-0.652260663,-1.270719167,-0.652951611,-0.824180709,-0.138544726,-0.940895061
SCPT_140250_Raw01_result.csv,140250,1.78,2.8421,0.044,82.5,2.8421,0.044,-0.0881,7,2,127.0031957,154.6125861,286.4475948,153.861338,177.6129372,92.93198697,207.9322223,2.286125382,-0.431413956,-0.62812425,-1.244757311,-0.623253501,-0.766808379,-0.119069609,-0.924413879
SCPT_140250_Raw01_result.csv,140250,1.79,2.5864,0.0366,82.5,2.5864,0.0366,-0.0881,7,2,122.8922281,149.6079298,276.4065757,147.7420186,164.3792407,90.42907226,203.1599333,2.295850513,-0.398509484,-0.595219778,-1.209074589,-0.582669342,-0.689377908,-0.091767518,-0.901195224
SCPT_140250_Raw01_result.csv,140250,1.8,2.5417,0.0281,82.5,2.5417,0.0281,-0.0881,7,2,119.3942946,145.349576,274.7113581,141.4844526,146.2171936,88.38205629,196.5501776,2.239569521,-0.369633122,-0.566343417,-1.202922646,-0.539391542,-0.57229485,-0.068870673,-0.868119462
SCPT_140250_Raw01_result.csv,140250,1.81,2.4808,0.0195,82.5,2.4808,0.0195,-0.0881,7,2,114.8855226,139.8606363,272.3104996,133.7313868,125.7189286,85.5749299,187.6622475,2.16819518,-0.331137884,-0.527848178,-1.194144665,-0.483034919,-0.421250396,-0.036594072,-0.821845498
SCPT_140250_Raw01_result.csv,140250,1.82,2.4199,0.0125,82.5,2.4199,0.0125,-0.0861,7,2,110.0599958,133.9860819,269.8831099,125.7735897,106.6118161,82.30534285,177.3357186,2.089376127,-0.28822734,-0.484937634,-1.185190646,-0.42168509,-0.256396058,0.002362269,-0.765246358
SCPT_140250_Raw01_result.csv,140250,1.83,2.2332,0.011,82.5,2.2332,0.011,-0.0855,7,2,107.7513426,131.1755475,261.821398,122.6420152,102.473203,80.62326763,174.5512626,2.112505671,-0.267027896,-0.46373819,-1.154864291,-0.396471373,-0.216803037,0.023011005,-0.749420174
SCPT_140250_Raw01_result.csv,140250,1.84,2.014,0.0109,82.5,2.014,0.0109,-0.0847,7,2,106.1493789,129.2253308,251.7561389,120.948868,102.6855327,79.49286328,174.4512756,2.172260719,-0.252049043,-0.448759337,-1.115662623,-0.382569585,-0.218872944,0.037131046,-0.748847186
SCPT_140250_Raw01_result.csv,140250,1.85,1.9084,0.0108,82.5,1.9084,0.0108,-0.0843,7,2,105.2956453,128.1860029,246.723664,120.0780238,102.7052267,78.93727499,174.4119527,2.202689693,-0.24397377,-0.440684064,-1.095470648,-0.375343436,-0.219064716,0.044144744,-0.748621752
SCPT_140250_Raw01_result.csv,140250,1.86,1.811,0.0108,82.5,1.811,0.0108,-0.0834,7,2,104.5338634,127.2586163,241.9312601,119.3736768,103.0534322,78.46154399,174.5823017,2.234080386,-0.236712777,-0.433423071,-1.075855343,-0.369460421,-0.22244932,0.050189674,-0.74959798
SCPT_140250_Raw01_result.csv,140250,1.87,1.7379,0.0108,82.5,1.7379,0.0108,-0.0828,7,2,103.9425524,126.5387595,238.2519798,118.8524151,103.3596298,78.11375768,174.7660029,2.258854386,-0.231040073,-0.427750367,-1.060530559,-0.365084221,-0.225416165,0.054632097,-0.750649659
SCPT_140250_Raw01_result.csv,140250,1.88,1.7264,0.0108,82.5,1.7264,0.0108,-0.0822,7,2,103.9071269,126.4956327,237.7745367,118.8826647,103.5091616,78.15490551,174.9933826,2.262865368,-0.230699196,-0.42740949,-1.058524607,-0.365338702,-0.226861834,0.054105468,-0.751949866
