Depth,Qc,Fs,u
7.12,0.64,0.02,0.026
7.13,0.67,0.019,0.026
7.14,0.64,0.017,0.015
7.15,0.56,0.016,0.012
7.16,0.56,0.015,0.026
7.17,0.47,0.013,0.045
7.18,0.54,0.013,0.064
7.19,0.71,0.012,0.06
7.2,0.79,0.011,0.052
7.21,0.89,0.012,0.031
7.22,0.7,0.012,0.029
7.23,0.56,0.012,0.036
7.24,0.48,0.011,0.046
7.25,0.5,0.012,0.043
7.26,0.47,0.013,0.035
7.27,0.41,0.012,0.045
7.28,0.44,0.011,0.063
7.29,0.57,0.008,0.06
7.3,0.53,0.011,0.057
7.31,0.5,0.014,0.057
7.32,0.56,0.015,0.06
7.33,0.65,0.014,0.071
7.34,0.63,0.014,0.067
7.35,0.59,0.015,0.078
7.36,0.61,0.016,0.082
7.37,0.6,0.017,0.067
7.38,0.57,0.02,0.053
7.39,1.67,0.016,0.027
7.4,1.83,0.013,0.002
7.41,1.76,0.01,-0.005
7.42,1.63,0.008,-0.008
7.43,1.52,0.008,-0.01
7.44,1.41,0.012,-0.012
7.45,1.42,0.014,-0.01
7.46,1.39,0.015,-0.008
7.47,1.31,0.018,-0.004
7.48,1.08,0.02,0.013
7.49,0.65,0.025,0.023
7.5,0.38,0.028,0.035
7.51,0.36,0.029,0.044
7.52,0.38,0.03,0.055
7.53,0.38,0.031,0.063
7.54,0.36,0.025,0.073
7.55,0.35,0.018,0.081
7.56,0.35,0.015,0.089
7.57,0.39,0.015,0.094
7.58,0.61,0.017,0.1
7.59,1.11,0.017,0.101
7.6,1.59,0.015,0.082
7.61,2.1,0.012,0.056
7.62,2.54,0.01,0.025
7.63,2.87,0.011,0.01
7.64,3.24,0.013,0.002
7.65,3.4,0.013,-0.003
7.66,3.5,0.013,-0.007
7.67,3.56,0.013,-0.007
7.68,3.57,0.013,-0.004
7.69,3.53,0.014,0.001
7.7,3.47,0.015,0.004
7.71,3.37,0.016,0.006
7.72,3.25,0.018,0.007
7.73,3.1,0.022,0.008
7.74,2.85,0.026,0.009
7.75,2.69,0.028,0.01
7.76,2.51,0.028,0.011
7.77,2.32,0.029,0.011
7.78,2.13,0.03,0.012
7.79,1.85,0.031,0.013
7.8,1.69,0.033,0.014
7.81,1.53,0.033,0.014
7.82,1.4,0.032,0.015
7.83,1.29,0.028,0.016
7.84,1.18,0.02,0.019
7.85,1.13,0.015,0.02
7.86,1.08,0.013,0.021
7.87,1.04,0.012,0.022
7.88,1,0.013,0.024
7.89,0.95,0.012,0.026
7.9,0.92,0.011,0.026
7.91,0.91,0.011,0.028
7.92,0.92,0.01,0.035
7.93,0.99,0.01,0.043
7.94,1.24,0.0105,0.046
7.95,1.47,0.011,0.048
7.96,1.76,0.012,0.046
7.97,2.01,0.015,0.031
7.98,2.19,0.017,0.004
7.99,2.21,0.02,0.004
8,2.22,0.017,0.007
8.01,2.18,0.014,0.008
8.02,2.11,0.012,0.011
8.03,1.88,0.013,0.016
8.04,1.645,0.015,0.0125
8.05,1.41,0.016,0.009
8.06,1.33,0.018,0.01
8.07,1.17,0.02,0.013
8.08,1.07,0.019,0.015
8.09,1.02,0.017,0.018
8.1,1.12,0.016,0.021
8.11,1.36,0.015,0.025
8.12,1.68,0.015,0.027
8.13,1.98,0.016,0.027
8.14,2.28,0.017,0.02
8.15,2.38,0.022,0.02
8.16,2.4,0.022,0.019
8.17,2.38,0.02,0.011
8.18,2.29,0.019,-0.001
8.19,2.16,0.02,-0.007
8.2,2.13,0.021,-0.004
8.21,2.15,0.023,0.002
8.22,2.19,0.028,0.006
8.23,2.15,0.029,0.01
8.24,1.81,0.028,0.009
8.25,1.5,0.027,0.009
