Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
15.0,14.751,0.129,0.1227,257.6950624385084,313.71572818601027,665.9548170635437,258.85805455573376,276.6936354705087,232.94877428929988,415.0847568810714,1.814099451750036,206.0
15.02,15.0938,0.1316,0.1231,258.94299520973937,315.2349506901175,671.8959736806676,260.5578587018927,278.9745283903263,234.1948282219658,416.3740200311952,1.805404333122712,206.0
15.04,15.5164,0.1361,0.1214,260.80278132183986,317.4990381309355,679.074315506476,263.0411336731746,283.089915950575,235.87224743467212,418.42427028703344,1.7977773597344753,206.0
15.06,15.9498,0.1412,0.1215,262.8046606519743,319.9361086197948,686.3260193372321,265.6994223628806,287.7432414336254,237.62175537974412,420.6572444783947,1.7911545703974343,206.0
15.08,16.3175,0.1443,0.1192,264.14172047345096,321.5638336198533,692.3839489305819,267.5298175752901,290.4172569297706,238.92116454696415,422.0593780828314,1.7832358726511022,206.0
15.1,16.5403,0.1469,0.1182,265.17469604040565,322.8213690926678,696.0538332887973,268.8642886971056,292.7408505091559,239.83163626507667,423.2246724614151,1.7801259917564611,206.0
15.12,16.3917,0.1482,0.1186,265.4647256593624,323.17444862878904,693.7591587714529,268.96711502893766,294.19412197580306,239.7836006748028,423.82331359764754,1.788890051246893,206.0
15.14,15.8377,0.1469,0.1166,264.593247094545,322.1135182020548,684.810471977805,267.3358054186458,293.555422058354,238.5125796185785,423.37202402203656,1.8088266740592431,206.0
15.16,15.32,0.1339,0.1144,260.4626679720478,317.08498709640605,676.2712421360159,262.0002397812456,281.04579214471295,235.6417563420488,418.3396639579938,1.8033058058293596,206.0
15.18,14.9306,0.1208,0.1143,256.2003380496302,311.8960637125933,669.760192385379,256.6705986044413,267.8373254907212,232.85740675417583,412.8367845348191,1.7904506969198135,206.0
15.2,14.4395,0.1116,0.1136,252.8139616712601,307.7735185563167,661.3663082297586,252.23934628817975,258.50109745019466,230.30426405163624,408.6422006696055,1.7898751095172043,206.0
15.22,13.7341,0.1123,0.1143,252.2671991436113,307.1078946096137,648.9645242572319,250.79193299476808,260.06559401253435,228.8515434033785,408.9589831587625,1.824312924237061,206.0
15.24,12.9734,0.1139,0.1149,251.79038447289315,306.52742457569605,635.1281836365603,249.43486099077805,262.7325701076278,227.33110418079295,409.6751622421895,1.8655067484336765,206.0
15.26,12.4344,0.1136,0.1145,250.9370157973456,305.4885409706816,625.0320966013174,247.89806543197457,263.0913158052365,225.9791449032433,409.5420117206188,1.8925914243947903,206.0
15.28,11.9228,0.1113,0.1141,249.4520589006813,303.6807673573511,615.196047034055,245.66809043324585,261.2303009875959,224.31673932291997,408.4628229627001,1.9143774407928231,206.0
15.3,11.4111,0.1081,0.1142,247.6251804856169,301.456741460751,605.0939035593531,243.0525002776678,258.3545842701883,222.44606877921268,406.9192648347957,1.934936454794681,206.0
15.32,11.0802,0.1051,0.1154,246.146948069006,299.6571541709638,598.4464116699755,240.98818599816917,255.4202755649827,221.06889453094692,405.4788707746605,1.9464418682112767,206.0
15.34,10.7571,0.104,0.1159,245.2334666421564,298.54508982523384,591.8295839057984,239.6139633323304,254.61782644515824,220.01644838191888,404.9696251090781,1.9630536494391384,206.0
15.36,10.5288,0.1025,0.1178,244.3701262138456,297.4940666951164,587.1141835258321,238.36412420520105,253.21887201025876,219.15289899784497,404.2745842497322,1.9732326372781108,206.0
15.38,10.3615,0.1011,0.1183,243.6532185336669,296.6213095192466,583.6293285964252,237.32747343235727,251.83941912246587,218.47758627076175,403.63747987835086,1.9801460454030488,206.0
15.4,10.2701,0.1,0.1183,243.18816518956436,296.05515762207835,581.7415822683037,236.6363952339475,250.68976711348745,218.07974778595093,403.1699458767336,1.9832128399690616,206.0
15.42,10.1871,0.0984,0.1208,242.58299213443064,295.318425207133,580.0470542660664,235.7813230147241,248.93758924212852,217.6121571510924,402.4334195623027,1.984293256338436,206.0
15.44,10.0513,0.0974,0.1225,242.0407931521072,294.65835688082615,577.1854361010443,234.97606966214573,247.9558442652121,217.0861750379721,401.99127793497,1.9905001492302048,206.0
15.46,9.9289,0.0965,0.1243,241.55420607876192,294.06599000892754,574.5943389457083,234.24640838972567,247.06798285406072,216.61453352608595,401.601545468414,1.9962092742775188,206.0
15.48,9.8619,0.0951,0.1262,241.0325686891212,293.43095318675626,573.2088528234191,233.50183155860253,245.5038577624972,216.21880232428845,400.9503371177918,1.9968802763652096,206.0
15.5,9.8555,0.0943,0.1272,240.8397490301961,293.1962162106735,573.1500207289073,233.18522771691767,244.55653155558568,216.12461516255013,400.6391789770051,1.995299846422556,190.0
15.52,9.9262,0.0937,0.1285,240.88801399055265,293.2549735537163,574.7941308912848,233.2002439898812,243.73424304695604,216.31013155450412,400.4586702880069,1.989206361683153,190.0
15.54,10.0594,0.0948,0.1305,241.62568382557689,294.15300639635444,577.8046252280714,234.08120831994327,244.83981316305147,217.01346246766283,401.2370043540272,1.984039691885097,190.0
15.56,10.3269,0.0975,0.1321,243.162967244178,296.0244818624776,583.6839582124123,236.0006905290669,247.62623750880095,218.4215822295412,402.9138164524247,1.975023009710396,190.0
15.58,10.8529,0.1007,0.1337,245.36057114644555,298.69982574349893,594.8975757522898,238.8803117169041,250.6016381973245,220.6589851717669,404.8891987303077,1.9519694451759089,190.0
15.6,11.3624,0.1044,0.1352,247.5975084358977,301.4230537480494,605.4513956316707,241.81689684562028,254.13281823204275,222.8672700861026,407.0631810860277,1.93251396333268,190.0
15.62,11.7627,0.1083,0.1355,249.62411357462295,303.89022522128016,613.5531304711548,244.4340908647981,257.979625787091,224.7441117420157,409.2460602324412,1.9206400110111552,190.0
15.64,12.0049,0.1125,0.1363,251.4160275367446,306.07168569690646,618.4106786396435,246.65340143054323,262.30130080079846,226.1980878112609,411.4705281207836,1.9184738939068284,190.0
15.66,12.1607,0.1163,0.135,252.90310311631544,307.88203857638405,621.517891710052,248.4457604595353,266.2370163868747,227.32493874727027,413.4244206535273,1.9199201030708517,190.0
15.68,12.2919,0.1193,0.1347,254.0913156685612,309.32855820520496,624.1355059193046,249.8679220693111,269.294675003083,228.23924535383867,414.96239979162885,1.9205809273503065,190.0
15.7,12.3417,0.1206,0.134,254.63475987741077,309.99014245945654,625.1690561444359,250.46725909841413,270.61397816957793,228.65871093864095,415.6939390261341,1.9214192769684928,190.0
15.72,12.2841,0.1208,0.1333,254.6721688968759,310.0356838744576,624.130923854818,250.387161139136,270.8941267964614,228.61705532402988,415.9030360258273,1.925295230583693,190.0
15.74,12.0801,0.1199,0.1333,254.13034046848145,309.3760666572818,620.2472721193836,249.5137197288382,270.18990119638494,228.0054803428845,415.5810799447644,1.9343879753233335,190.0
15.76,11.6456,0.118,0.1336,252.8533218627876,307.82143531121966,611.7481859295036,247.61019594027596,268.7183950524724,226.58542258374044,414.7398212121777,1.9540042489761065,190.0
15.78,11.1553,0.1152,0.1342,251.150014630962,305.74784389856245,601.9077198508608,245.1805313297692,266.34176822839,224.8171433231903,413.44810877403,1.975508414295062,190.0
15.8,10.7925,0.1107,0.1327,249.15508025912595,303.31922814154467,594.4530489801795,242.491109283914,261.88361506728273,223.08908486566224,411.3431716403607,1.9861166139465596,190.0
15.82,10.4768,0.1059,0.1322,247.11722840308403,300.83836501245014,587.8534105557917,239.78296504240907,256.9429331291943,221.399438439824,409.0205811911396,1.9933249973726577,190.0
15.84,10.2383,0.1021,0.1322,245.5047869044985,298.8753927533025,582.8052146816564,237.63311373492823,252.9469175168133,220.0755061808631,407.1428832317125,1.998455622992192,190.0
15.86,10.0506,0.0994,0.1323,244.31643249452185,297.4287004281136,578.7958156041699,236.0232528717826,250.09312939124348,219.07903748275308,405.8008117013509,2.0034111857703567,190.0
15.88,9.9584,0.0979,0.1334,243.7104223245092,296.6909489167938,576.8551049673741,235.16599188958,248.4719604732288,218.5891103398996,405.1009709944489,2.0055259324986063,190.0
15.9,9.9886,0.0969,0.1341,243.54238138315017,296.48637733600896,577.5974362368642,234.90143291728012,247.2546751521259,218.574635396109,404.6985544039865,2.0010300434016157,190.0
15.92,10.1177,0.0963,0.1359,243.72440559859265,296.70797203306927,580.5107193142554,235.11593074825453,246.3672839972431,218.94284412172857,404.53897811624864,1.9912192814612697,190.0
15.94,10.2359,0.0959,0.1371,243.9368600923024,296.96661228628125,583.1610347516639,235.36518382630888,245.73242602220387,219.31011796444025,404.48335189063386,1.9827964007679872,190.0
15.96,10.3295,0.0964,0.1377,244.38030485268632,297.5064580815312,585.2590970605784,235.87500808840312,246.1832777990484,219.76917537580047,404.9125867347488,1.9786169207227733,190.0
15.98,10.4128,0.0978,0.1387,245.0884872911865,298.3685932240532,587.1293428299686,236.69187091072115,247.6905055332925,220.3636794633921,405.82493736961993,1.9776788672485783,190.0
16.0,10.6382,0.1001,0.1395,246.3782219622932,299.93870499757435,592.0059287307431,238.2941254475853,250.03536274113588,221.5481971687222,407.24650456848696,1.970467598223371,209.0
16.02,11.0142,0.1025,0.1404,247.9825244683973,301.89176891804885,599.9524104704827,240.3807087782029,252.2762797731472,223.17487905971865,408.736973882158,1.9547066502212729,209.0
16.04,11.6594,0.1053,0.1396,250.1638151010092,304.547253166446,613.1420082028127,243.37469033468116,254.61470025859305,225.59401002605563,410.473903719965,1.925445262278792,209.0
16.06,12.1783,0.1084,0.1401,252.1193424556305,306.9278951633763,623.4561605973128,246.02463283600997,257.4245669884031,227.6391703112475,412.2878394036222,1.905513638848964,209.0
16.08,12.332,0.1118,0.1393,253.51033684465196,308.6212796369676,626.5066496248022,247.6927450507356,260.9627762115434,228.71510065972612,414.11523399853246,1.9064082675230531,209.0
16.1,12.2417,0.1132,0.1395,253.86536849252735,309.05349207785946,624.8370567752091,247.94487669788052,262.586859063209,228.78833588256515,414.8936293720213,1.9150649978249137,209.0
16.12,12.114,0.1122,0.1392,253.42061649535327,308.5120548639084,622.4250710535707,247.2408563522079,261.6457053888235,228.3537355908486,414.5133376972309,1.919730166533817,209.0
16.14,11.9899,0.1103,0.1391,252.70153808991748,307.63665506598653,620.068615053561,246.22327927307245,259.7110758217823,227.77088684745107,413.69226462190136,1.9219497751082708,209.0
16.16,11.8488,0.0975,0.1399,248.41534729327307,302.41868366137595,617.3668700954753,241.10323450924625,245.54988680593976,225.14432901342823,407.2032250537166,1.8955407384734904,209.0
16.18,11.6748,0.0819,0.1372,242.59612319949971,295.33441085156494,613.9575521311256,234.31280450618115,227.41971570955,221.51356947441303,398.1583916647265,1.8584858329951788,209.0
16.2,11.6237,0.0833,0.1372,243.1265199338627,295.98011122383286,613.0096474978878,234.7747665730281,229.15685255721849,221.76148681626697,399.148455190528,1.8661534527018864,209.0
16.22,11.636,0.0866,0.1387,244.4549055527669,297.59727632510754,613.3436735826305,236.20294706272523,233.08449459930125,222.5879649722658,401.2979062786662,1.8761224022202596,209.0
16.24,11.6624,0.0897,0.1399,245.70046268365064,299.11360674531386,613.9572151405357,237.55968115390183,236.7129797241935,223.3880684885691,403.26939900491885,1.884414129890649,209.0
16.26,11.6343,0.0934,0.1357,247.0324874167965,300.7352020726218,613.4339276278547,238.9591611733193,241.05485234572348,224.13760210056589,405.5130398858721,1.89739699356554,209.0
16.28,11.4895,0.0971,0.1286,248.11554441138156,302.0537062399428,610.5345396100511,239.96999120579227,245.47511821258271,224.53306517126043,407.6552567819504,1.9167330874821675,209.0
16.3,11.5256,0.1006,0.1309,249.41621738298545,303.6371342053736,611.356980441218,241.42045850314503,249.4099941279239,225.3726232017536,409.6729291095288,1.9247571737199087,209.0
16.32,11.6314,0.103,0.13,250.4602720822455,304.90815731751627,613.5514891322831,242.6425060242912,251.98399594214797,226.1885009441932,411.08579533726055,1.925697938107359,209.0
16.34,11.6783,0.1068,0.1331,251.8299082461998,306.57554047363453,614.591522542337,244.1875395786649,256.1544109248509,227.07847756215256,413.1667811373765,1.933475049930128,209.0
16.36,11.7469,0.1089,0.1357,252.6871279088535,307.61911223686513,616.0579464648946,245.1630330960404,258.3804795373035,227.7151080348863,414.360154871859,1.9353998322217056,209.0
16.38,11.8793,0.1098,0.1315,253.2782055944865,308.3386850715488,618.7284138642212,245.88560839539971,259.2042586332039,228.31632382263712,414.9663950606417,1.9308159334791597,209.0
