File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT,57343,16,16.5,16.25,201.5,2,1,15.53947318,0.175543894,283.2097223,344.7770532,684.6726005,277.4625596,315.8615766,246.153955,440.9815908,1.946044554,-0.34039831,-0.537108604,-1.223151387,-0.319896622,-0.449514687,-0.200167792,-0.783213749
SCPT,57343,16.5,17,16.75,229,2,1,17.84592711,0.201152248,294.0732564,358.0022251,723.9218626,290.0768088,335.1708347,256.1129606,452.7781204,1.902466963,-0.250106904,-0.446817198,-1.150961458,-0.236423742,-0.380918353,-0.111896596,-0.681680201
SCPT,57343,17,17.5,17.25,276,2,1,17.21611894,0.192583693,293.5315697,357.3427805,716.1960091,286.4801618,327.7444229,255.9582032,453.4676339,1.920521939,-0.061584331,-0.258294625,-0.95355302,-0.037268425,-0.17183324,0.075386703,-0.496523032
SCPT,57343,17.5,18,17.75,256.5,2,1,17.6612085,0.200405364,297.8687262,362.6227971,725.2756632,289.5818896,333.1208576,259.8079006,459.2165743,1.922676504,-0.149524209,-0.346234503,-1.039423143,-0.121309458,-0.261376695,-0.012813849,-0.582393274
SCPT,57343,18,18.5,18.25,259,2,1,9.046455055,0.125497194,264.4627191,321.9546146,563.7573846,241.0724643,272.0865493,228.7170125,433.0080454,2.244013146,-0.020872231,-0.217582525,-0.777795928,0.071730492,-0.04929215,0.124342576,-0.513928247
SCPT,57343,18.5,19,18.75,227.5,2,1,14.84497018,0.145272176,284.5694131,346.4323289,682.1242775,267.7287596,286.5528955,250.5029005,445.9853689,1.957918924,-0.223826968,-0.420537262,-1.098061628,-0.162824139,-0.230772907,-0.096320261,-0.673135908
SCPT,57343,19,19.5,19.25,244.5,2,1,19.23909138,0.185428734,301.9939071,367.6447565,755.2727014,290.3971467,318.4787434,267.3035396,464.3297716,1.860646824,-0.211191533,-0.407901827,-1.127863569,-0.172034149,-0.264340424,-0.089169556,-0.641379706
SCPT,57343,19.5,20,19.75,240.5,2,1,17.12274247,0.182146697,300.9554391,366.3805345,724.5172088,283.8624303,315.5528227,264.3447165,465.8679814,1.941915358,-0.224242121,-0.420952415,-1.102785425,-0.165769631,-0.271606004,-0.094533906,-0.661182203
SCPT,57348,0,0.5,0.25,84,2,1,4.69913022,0.083225312,113.8392323,138.5868915,284.5624377,109.4444176,140.0931784,59.91081617,135.6690394,2.143644111,-0.303970411,-0.500680706,-1.220135895,-0.26460002,-0.511490962,0.33795974,-0.479401587
SCPT,57348,0.5,1,0.75,84,2,1,7.80633612,0.058001135,131.7428498,160.3825998,386.4328289,144.8375322,148.6258142,85.69710541,173.047033,1.731267116,-0.450035116,-0.646745411,-1.526141261,-0.544795848,-0.570615034,-0.02000225,-0.722746626
SCPT,57348,1,1.5,1.25,89,2,1,9.888247469,0.100120462,155.8601161,189.74275,445.7064521,183.299368,214.5267299,107.4738721,212.7526149,1.748636715,-0.560322544,-0.757032838,-1.611024186,-0.722484337,-0.879797976,-0.188611398,-0.871493689
SCPT,57348,1.5,2,1.75,102,2,1,3.251063314,0.040408482,126.6765554,154.2149371,301.4763557,143.7997519,157.359033,93.39896919,204.4887161,2.15260223,-0.216664217,-0.413374512,-1.083718778,-0.343448907,-0.433557216,0.088092505,-0.695539983
SCPT,57348,2,2.5,2.25,117,2,1,0.799400846,0.017246623,96.63995593,117.648642,183.0743095,110.1246893,125.0740728,76.30976742,193.1950063,2.79948719,0.191181657,-0.005528638,-0.447718198,0.060560672,-0.066732209,0.427372991,-0.501526139
SCPT,57348,2.5,3,2.75,125,2,1,4.997258943,0.027875682,136.2837604,165.9106648,371.3144838,151.7664788,137.42526,109.3744588,219.3855357,1.821712817,-0.086425448,-0.283135742,-1.088735631,-0.194029279,-0.094766468,0.133536341,-0.562516882
